排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,25134,3085.0,2026-05-06,a2607,多单持仓,A
2,海通期货,19292,-531.0,2026-05-06,a2607,多单持仓,A
3,东证期货,13857,350.0,2026-05-06,a2607,多单持仓,A
4,中信期货,12900,-254.0,2026-05-06,a2607,多单持仓,A
5,广发期货,12147,-272.0,2026-05-06,a2607,多单持仓,A
6,高盛期货,11393,-1085.0,2026-05-06,a2607,多单持仓,A
7,中信建投,10685,-1110.0,2026-05-06,a2607,多单持仓,A
8,申银万国,10323,-56.0,2026-05-06,a2607,多单持仓,A
9,摩根大通,9948,1078.0,2026-05-06,a2607,多单持仓,A
10,永安期货,9710,1187.0,2026-05-06,a2607,多单持仓,A
11,国投期货,9498,203.0,2026-05-06,a2607,多单持仓,A
12,华泰期货,8126,2170.0,2026-05-06,a2607,多单持仓,A
13,平安期货,5571,61.0,2026-05-06,a2607,多单持仓,A
14,银河期货,5477,1384.0,2026-05-06,a2607,多单持仓,A
15,国信期货,5422,-248.0,2026-05-06,a2607,多单持仓,A
16,五矿期货,5315,89.0,2026-05-06,a2607,多单持仓,A
17,浙商期货,4934,645.0,2026-05-06,a2607,多单持仓,A
18,大地期货,4002,59.0,2026-05-06,a2607,多单持仓,A
19,徽商期货,3516,351.0,2026-05-06,a2607,多单持仓,A
20,中粮期货,3490,2575.0,2026-05-06,a2607,多单持仓,A
1,国泰君安,22184,-2950.0,2026-05-07,a2607,多单持仓,A
2,海通期货,20620,1328.0,2026-05-07,a2607,多单持仓,A
3,东证期货,14598,741.0,2026-05-07,a2607,多单持仓,A
4,中信建投,11912,1227.0,2026-05-07,a2607,多单持仓,A
5,广发期货,11294,-853.0,2026-05-07,a2607,多单持仓,A
6,永安期货,10358,648.0,2026-05-07,a2607,多单持仓,A
7,高盛期货,10344,-1049.0,2026-05-07,a2607,多单持仓,A
8,中信期货,10040,-2860.0,2026-05-07,a2607,多单持仓,A
9,国投期货,9838,340.0,2026-05-07,a2607,多单持仓,A
10,申银万国,9800,-523.0,2026-05-07,a2607,多单持仓,A
11,摩根大通,9063,-885.0,2026-05-07,a2607,多单持仓,A
12,中粮期货,7845,4355.0,2026-05-07,a2607,多单持仓,A
13,银河期货,7005,1528.0,2026-05-07,a2607,多单持仓,A
14,平安期货,5618,47.0,2026-05-07,a2607,多单持仓,A
15,华泰期货,5613,-2513.0,2026-05-07,a2607,多单持仓,A
16,五矿期货,5360,45.0,2026-05-07,a2607,多单持仓,A
17,浙商期货,5247,313.0,2026-05-07,a2607,多单持仓,A
18,国信期货,5142,-280.0,2026-05-07,a2607,多单持仓,A
19,徽商期货,4215,699.0,2026-05-07,a2607,多单持仓,A
20,大地期货,3819,-183.0,2026-05-07,a2607,多单持仓,A
1,国泰君安,22348,164.0,2026-05-08,a2607,多单持仓,A
2,海通期货,22327,1707.0,2026-05-08,a2607,多单持仓,A
3,东证期货,13520,-1078.0,2026-05-08,a2607,多单持仓,A
4,中信建投,12461,549.0,2026-05-08,a2607,多单持仓,A
5,广发期货,11415,121.0,2026-05-08,a2607,多单持仓,A
6,中信期货,11299,1259.0,2026-05-08,a2607,多单持仓,A
7,永安期货,11127,769.0,2026-05-08,a2607,多单持仓,A
8,申银万国,10228,428.0,2026-05-08,a2607,多单持仓,A
9,国投期货,9145,-693.0,2026-05-08,a2607,多单持仓,A
10,高盛期货,8480,-1864.0,2026-05-08,a2607,多单持仓,A
11,摩根大通,8305,-758.0,2026-05-08,a2607,多单持仓,A
12,中粮期货,7443,-402.0,2026-05-08,a2607,多单持仓,A
13,华泰期货,5792,179.0,2026-05-08,a2607,多单持仓,A
14,银河期货,5782,-1223.0,2026-05-08,a2607,多单持仓,A
15,浙商期货,5652,405.0,2026-05-08,a2607,多单持仓,A
16,国信期货,5450,308.0,2026-05-08,a2607,多单持仓,A
17,平安期货,5340,-278.0,2026-05-08,a2607,多单持仓,A
18,徽商期货,4228,13.0,2026-05-08,a2607,多单持仓,A
19,南华期货,4133,438.0,2026-05-08,a2607,多单持仓,A
20,五矿期货,3782,-1578.0,2026-05-08,a2607,多单持仓,A
