排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,银河期货,26126,2019.0,2026-05-06,a2607,空单持仓,A
2,东证期货,22286,3511.0,2026-05-06,a2607,空单持仓,A
3,海通期货,21072,666.0,2026-05-06,a2607,空单持仓,A
4,中信期货,20225,1112.0,2026-05-06,a2607,空单持仓,A
5,国泰君安,19584,-252.0,2026-05-06,a2607,空单持仓,A
6,申银万国,14203,700.0,2026-05-06,a2607,空单持仓,A
7,北京首创,13493,-174.0,2026-05-06,a2607,空单持仓,A
8,广发期货,10564,-4.0,2026-05-06,a2607,空单持仓,A
9,中信建投,10052,-433.0,2026-05-06,a2607,空单持仓,A
10,一德期货,9271,-199.0,2026-05-06,a2607,空单持仓,A
11,五矿期货,8362,-29.0,2026-05-06,a2607,空单持仓,A
12,中泰期货,8269,96.0,2026-05-06,a2607,空单持仓,A
13,中粮期货,8139,-269.0,2026-05-06,a2607,空单持仓,A
14,高盛期货,7498,5283.0,2026-05-06,a2607,空单持仓,A
15,南华期货,6944,-67.0,2026-05-06,a2607,空单持仓,A
16,永安期货,5661,-722.0,2026-05-06,a2607,空单持仓,A
17,国投期货,5221,304.0,2026-05-06,a2607,空单持仓,A
18,华泰期货,3310,523.0,2026-05-06,a2607,空单持仓,A
19,创元期货,3041,12.0,2026-05-06,a2607,空单持仓,A
20,中融汇信,2621,104.0,2026-05-06,a2607,空单持仓,A
1,银河期货,24933,-1193.0,2026-05-07,a2607,空单持仓,A
2,中信期货,22634,2409.0,2026-05-07,a2607,空单持仓,A
3,东证期货,22485,199.0,2026-05-07,a2607,空单持仓,A
4,海通期货,21488,416.0,2026-05-07,a2607,空单持仓,A
5,国泰君安,21240,1656.0,2026-05-07,a2607,空单持仓,A
6,申银万国,13510,-693.0,2026-05-07,a2607,空单持仓,A
7,北京首创,12610,-883.0,2026-05-07,a2607,空单持仓,A
8,广发期货,11317,753.0,2026-05-07,a2607,空单持仓,A
9,高盛期货,10332,2834.0,2026-05-07,a2607,空单持仓,A
10,中信建投,9881,-171.0,2026-05-07,a2607,空单持仓,A
11,一德期货,9469,198.0,2026-05-07,a2607,空单持仓,A
12,五矿期货,8263,-99.0,2026-05-07,a2607,空单持仓,A
13,中泰期货,7874,-395.0,2026-05-07,a2607,空单持仓,A
14,中粮期货,6932,-1207.0,2026-05-07,a2607,空单持仓,A
15,南华期货,6563,-381.0,2026-05-07,a2607,空单持仓,A
16,永安期货,4849,-812.0,2026-05-07,a2607,空单持仓,A
17,国投期货,4691,-530.0,2026-05-07,a2607,空单持仓,A
18,摩根大通,3618,1120.0,2026-05-07,a2607,空单持仓,A
19,华泰期货,3519,209.0,2026-05-07,a2607,空单持仓,A
20,中金财富,3284,1226.0,2026-05-07,a2607,空单持仓,A
1,银河期货,25341,408.0,2026-05-08,a2607,空单持仓,A
2,中信期货,24929,2295.0,2026-05-08,a2607,空单持仓,A
3,国泰君安,23588,2348.0,2026-05-08,a2607,空单持仓,A
4,海通期货,21593,105.0,2026-05-08,a2607,空单持仓,A
5,东证期货,20075,-2410.0,2026-05-08,a2607,空单持仓,A
6,申银万国,13699,189.0,2026-05-08,a2607,空单持仓,A
7,北京首创,13091,481.0,2026-05-08,a2607,空单持仓,A
8,高盛期货,11947,1615.0,2026-05-08,a2607,空单持仓,A
9,广发期货,11032,-285.0,2026-05-08,a2607,空单持仓,A
10,一德期货,10199,730.0,2026-05-08,a2607,空单持仓,A
11,中信建投,9856,-25.0,2026-05-08,a2607,空单持仓,A
12,中泰期货,7764,-110.0,2026-05-08,a2607,空单持仓,A
13,五矿期货,6347,-1916.0,2026-05-08,a2607,空单持仓,A
14,中粮期货,6177,-755.0,2026-05-08,a2607,空单持仓,A
15,南华期货,6176,-387.0,2026-05-08,a2607,空单持仓,A
16,国投期货,4836,145.0,2026-05-08,a2607,空单持仓,A
17,华泰期货,4601,1082.0,2026-05-08,a2607,空单持仓,A
18,中金财富,4463,1179.0,2026-05-08,a2607,空单持仓,A
19,永安期货,3825,-1024.0,2026-05-08,a2607,空单持仓,A
20,摩根大通,3634,16.0,2026-05-08,a2607,空单持仓,A
