排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,东证期货,68565,-7206.0,2026-05-06,a2607,成交量,A
2,国泰君安,62557,3406.0,2026-05-06,a2607,成交量,A
3,中信期货,49720,1714.0,2026-05-06,a2607,成交量,A
4,华泰期货,26741,-5870.0,2026-05-06,a2607,成交量,A
5,银河期货,19699,185.0,2026-05-06,a2607,成交量,A
6,海通期货,18935,-584.0,2026-05-06,a2607,成交量,A
7,永安期货,12833,-211.0,2026-05-06,a2607,成交量,A
8,华闻期货,11588,2687.0,2026-05-06,a2607,成交量,A
9,广发期货,10104,3255.0,2026-05-06,a2607,成交量,A
10,光大期货,8961,-1601.0,2026-05-06,a2607,成交量,A
11,中信建投,8551,-6177.0,2026-05-06,a2607,成交量,A
12,国信期货,8136,-32.0,2026-05-06,a2607,成交量,A
13,宏源期货,7665,-43.0,2026-05-06,a2607,成交量,A
14,徽商期货,7624,-2284.0,2026-05-06,a2607,成交量,A
15,高盛期货,7564,-2166.0,2026-05-06,a2607,成交量,A
16,国联期货,6841,-2079.0,2026-05-06,a2607,成交量,A
17,东方财富,6137,-3874.0,2026-05-06,a2607,成交量,A
18,齐盛期货,5881,-538.0,2026-05-06,a2607,成交量,A
19,中粮期货,5554,1529.0,2026-05-06,a2607,成交量,A
20,方正中期,5156,928.0,2026-05-06,a2607,成交量,A
1,东证期货,83650,15085.0,2026-05-07,a2607,成交量,A
2,国泰君安,76064,13507.0,2026-05-07,a2607,成交量,A
3,中信期货,55955,6235.0,2026-05-07,a2607,成交量,A
4,华泰期货,34368,7627.0,2026-05-07,a2607,成交量,A
5,海通期货,24928,5993.0,2026-05-07,a2607,成交量,A
6,银河期货,20089,390.0,2026-05-07,a2607,成交量,A
7,华闻期货,13271,1683.0,2026-05-07,a2607,成交量,A
8,中信建投,11596,3045.0,2026-05-07,a2607,成交量,A
9,徽商期货,11287,3663.0,2026-05-07,a2607,成交量,A
10,永安期货,11024,-1809.0,2026-05-07,a2607,成交量,A
11,光大期货,10790,1829.0,2026-05-07,a2607,成交量,A
12,国联期货,10333,3492.0,2026-05-07,a2607,成交量,A
13,广发期货,9800,-304.0,2026-05-07,a2607,成交量,A
14,国信期货,9627,1491.0,2026-05-07,a2607,成交量,A
15,东方财富,8968,2831.0,2026-05-07,a2607,成交量,A
16,中粮期货,7692,2138.0,2026-05-07,a2607,成交量,A
17,创元期货,7283,4227.0,2026-05-07,a2607,成交量,A
18,渤海期货,6989,2612.0,2026-05-07,a2607,成交量,A
19,国元期货,6728,2639.0,2026-05-07,a2607,成交量,A
20,中泰期货,5975,1278.0,2026-05-07,a2607,成交量,A
1,东证期货,86646,2996.0,2026-05-08,a2607,成交量,A
2,国泰君安,54752,-21312.0,2026-05-08,a2607,成交量,A
3,中信期货,53596,-2359.0,2026-05-08,a2607,成交量,A
4,华泰期货,32147,-2221.0,2026-05-08,a2607,成交量,A
5,银河期货,23783,3694.0,2026-05-08,a2607,成交量,A
6,海通期货,22978,-1950.0,2026-05-08,a2607,成交量,A
7,徽商期货,13472,2185.0,2026-05-08,a2607,成交量,A
8,国联期货,12099,1766.0,2026-05-08,a2607,成交量,A
9,永安期货,11225,201.0,2026-05-08,a2607,成交量,A
10,东方财富,10364,1396.0,2026-05-08,a2607,成交量,A
11,中信建投,10322,-1274.0,2026-05-08,a2607,成交量,A
12,广发期货,9472,-328.0,2026-05-08,a2607,成交量,A
13,光大期货,8607,-2183.0,2026-05-08,a2607,成交量,A
14,高盛期货,8425,2504.0,2026-05-08,a2607,成交量,A
15,华闻期货,7809,-5462.0,2026-05-08,a2607,成交量,A
16,瑞达期货,7498,1994.0,2026-05-08,a2607,成交量,A
17,国信期货,7024,-2603.0,2026-05-08,a2607,成交量,A
18,国投期货,6750,2026.0,2026-05-08,a2607,成交量,A
19,国元期货,6570,-158.0,2026-05-08,a2607,成交量,A
20,华安期货,6287,1083.0,2026-05-08,a2607,成交量,A
