排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,13948,1771.0,2026-05-06,ag2606,多单持仓,AG
2,国泰君安,12925,2109.0,2026-05-06,ag2606,多单持仓,AG
3,银河期货,8233,444.0,2026-05-06,ag2606,多单持仓,AG
4,东证期货,7457,830.0,2026-05-06,ag2606,多单持仓,AG
5,国投期货,6971,544.0,2026-05-06,ag2606,多单持仓,AG
6,永安期货,5866,-68.0,2026-05-06,ag2606,多单持仓,AG
7,平安期货,5509,-679.0,2026-05-06,ag2606,多单持仓,AG
8,方正中期,5439,-2.0,2026-05-06,ag2606,多单持仓,AG
9,华泰期货,5212,48.0,2026-05-06,ag2606,多单持仓,AG
10,中信建投,4638,-264.0,2026-05-06,ag2606,多单持仓,AG
11,广发期货,4569,282.0,2026-05-06,ag2606,多单持仓,AG
12,光大期货,4370,-305.0,2026-05-06,ag2606,多单持仓,AG
13,申万期货,4191,-57.0,2026-05-06,ag2606,多单持仓,AG
14,海通期货,3298,321.0,2026-05-06,ag2606,多单持仓,AG
15,浙商期货,3218,-205.0,2026-05-06,ag2606,多单持仓,AG
16,中泰期货,3066,3.0,2026-05-06,ag2606,多单持仓,AG
17,南华期货,2920,-192.0,2026-05-06,ag2606,多单持仓,AG
18,招商期货,2804,-42.0,2026-05-06,ag2606,多单持仓,AG
19,东方财富,2731,-322.0,2026-05-06,ag2606,多单持仓,AG
20,东吴期货,2727,854.0,2026-05-06,ag2606,多单持仓,AG
1,国泰君安,14453,1528.0,2026-05-07,ag2606,多单持仓,AG
2,中信期货,13478,-470.0,2026-05-07,ag2606,多单持仓,AG
3,银河期货,8903,670.0,2026-05-07,ag2606,多单持仓,AG
4,东证期货,7254,-203.0,2026-05-07,ag2606,多单持仓,AG
5,国投期货,6855,-116.0,2026-05-07,ag2606,多单持仓,AG
6,永安期货,6257,391.0,2026-05-07,ag2606,多单持仓,AG
7,平安期货,5533,24.0,2026-05-07,ag2606,多单持仓,AG
8,华泰期货,5165,-47.0,2026-05-07,ag2606,多单持仓,AG
9,方正中期,5009,-430.0,2026-05-07,ag2606,多单持仓,AG
10,中信建投,4828,190.0,2026-05-07,ag2606,多单持仓,AG
11,广发期货,4374,-195.0,2026-05-07,ag2606,多单持仓,AG
12,光大期货,4338,-32.0,2026-05-07,ag2606,多单持仓,AG
13,申万期货,4040,-151.0,2026-05-07,ag2606,多单持仓,AG
14,浙商期货,3169,-49.0,2026-05-07,ag2606,多单持仓,AG
15,海通期货,3029,-269.0,2026-05-07,ag2606,多单持仓,AG
16,招商期货,2799,-5.0,2026-05-07,ag2606,多单持仓,AG
17,东吴期货,2737,10.0,2026-05-07,ag2606,多单持仓,AG
18,南华期货,2703,-217.0,2026-05-07,ag2606,多单持仓,AG
19,东方财富,2590,-141.0,2026-05-07,ag2606,多单持仓,AG
20,中泰期货,2537,-529.0,2026-05-07,ag2606,多单持仓,AG
1,中信期货,14463,985.0,2026-05-08,ag2606,多单持仓,AG
2,国泰君安,14323,-130.0,2026-05-08,ag2606,多单持仓,AG
3,银河期货,9462,559.0,2026-05-08,ag2606,多单持仓,AG
4,东证期货,7561,307.0,2026-05-08,ag2606,多单持仓,AG
5,永安期货,6738,481.0,2026-05-08,ag2606,多单持仓,AG
6,国投期货,5745,-1110.0,2026-05-08,ag2606,多单持仓,AG
7,平安期货,5408,-125.0,2026-05-08,ag2606,多单持仓,AG
8,华泰期货,5237,72.0,2026-05-08,ag2606,多单持仓,AG
9,方正中期,4787,-222.0,2026-05-08,ag2606,多单持仓,AG
10,中信建投,4517,-311.0,2026-05-08,ag2606,多单持仓,AG
11,光大期货,4137,-201.0,2026-05-08,ag2606,多单持仓,AG
12,广发期货,3768,-606.0,2026-05-08,ag2606,多单持仓,AG
13,申万期货,3736,-304.0,2026-05-08,ag2606,多单持仓,AG
14,海通期货,2771,-258.0,2026-05-08,ag2606,多单持仓,AG
15,南华期货,2652,-51.0,2026-05-08,ag2606,多单持仓,AG
16,东吴期货,2577,-160.0,2026-05-08,ag2606,多单持仓,AG
17,国信期货,2576,266.0,2026-05-08,ag2606,多单持仓,AG
18,浙商期货,2451,-718.0,2026-05-08,ag2606,多单持仓,AG
19,中泰期货,2344,-193.0,2026-05-08,ag2606,多单持仓,AG
20,东方财富,2310,-280.0,2026-05-08,ag2606,多单持仓,AG
