排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,19642,227.0,2026-05-06,ag2606,空单持仓,AG
2,国泰君安,10784,255.0,2026-05-06,ag2606,空单持仓,AG
3,东证期货,9443,1491.0,2026-05-06,ag2606,空单持仓,AG
4,金瑞期货,7141,30.0,2026-05-06,ag2606,空单持仓,AG
5,华鑫期货,6353,12.0,2026-05-06,ag2606,空单持仓,AG
6,中粮期货,6037,-11.0,2026-05-06,ag2606,空单持仓,AG
7,华泰期货,5222,205.0,2026-05-06,ag2606,空单持仓,AG
8,云晨期货,4701,217.0,2026-05-06,ag2606,空单持仓,AG
9,宏源期货,4622,438.0,2026-05-06,ag2606,空单持仓,AG
10,五矿期货,4219,47.0,2026-05-06,ag2606,空单持仓,AG
11,齐盛期货,3897,346.0,2026-05-06,ag2606,空单持仓,AG
12,广发期货,3447,235.0,2026-05-06,ag2606,空单持仓,AG
13,银河期货,3400,131.0,2026-05-06,ag2606,空单持仓,AG
14,平安期货,3298,466.0,2026-05-06,ag2606,空单持仓,AG
15,中信建投,3083,273.0,2026-05-06,ag2606,空单持仓,AG
16,方正中期,3040,55.0,2026-05-06,ag2606,空单持仓,AG
17,南华期货,2651,194.0,2026-05-06,ag2606,空单持仓,AG
18,永安期货,2380,-2053.0,2026-05-06,ag2606,空单持仓,AG
19,光大期货,2073,127.0,2026-05-06,ag2606,空单持仓,AG
20,乾坤期货,2056,0.0,2026-05-06,ag2606,空单持仓,AG
1,中信期货,19195,-447.0,2026-05-07,ag2606,空单持仓,AG
2,国泰君安,11184,400.0,2026-05-07,ag2606,空单持仓,AG
3,东证期货,10018,575.0,2026-05-07,ag2606,空单持仓,AG
4,金瑞期货,7860,719.0,2026-05-07,ag2606,空单持仓,AG
5,中粮期货,6189,152.0,2026-05-07,ag2606,空单持仓,AG
6,华鑫期货,5206,-1147.0,2026-05-07,ag2606,空单持仓,AG
7,云晨期货,4790,89.0,2026-05-07,ag2606,空单持仓,AG
8,宏源期货,4625,3.0,2026-05-07,ag2606,空单持仓,AG
9,华泰期货,4405,-817.0,2026-05-07,ag2606,空单持仓,AG
10,五矿期货,4203,-16.0,2026-05-07,ag2606,空单持仓,AG
11,银河期货,4154,754.0,2026-05-07,ag2606,空单持仓,AG
12,齐盛期货,3986,89.0,2026-05-07,ag2606,空单持仓,AG
13,广发期货,3461,14.0,2026-05-07,ag2606,空单持仓,AG
14,平安期货,3350,52.0,2026-05-07,ag2606,空单持仓,AG
15,方正中期,3198,158.0,2026-05-07,ag2606,空单持仓,AG
16,中信建投,3187,104.0,2026-05-07,ag2606,空单持仓,AG
17,南华期货,2525,-126.0,2026-05-07,ag2606,空单持仓,AG
18,中泰期货,2127,166.0,2026-05-07,ag2606,空单持仓,AG
19,光大期货,2080,7.0,2026-05-07,ag2606,空单持仓,AG
20,永安期货,2076,-304.0,2026-05-07,ag2606,空单持仓,AG
1,中信期货,18560,-635.0,2026-05-08,ag2606,空单持仓,AG
2,国泰君安,9896,-1288.0,2026-05-08,ag2606,空单持仓,AG
3,东证期货,9194,-824.0,2026-05-08,ag2606,空单持仓,AG
4,金瑞期货,7516,-344.0,2026-05-08,ag2606,空单持仓,AG
5,中粮期货,6525,336.0,2026-05-08,ag2606,空单持仓,AG
6,宏源期货,5029,404.0,2026-05-08,ag2606,空单持仓,AG
7,云晨期货,4941,151.0,2026-05-08,ag2606,空单持仓,AG
8,华鑫期货,4895,-311.0,2026-05-08,ag2606,空单持仓,AG
9,银河期货,4821,667.0,2026-05-08,ag2606,空单持仓,AG
10,华泰期货,4235,-170.0,2026-05-08,ag2606,空单持仓,AG
11,五矿期货,4051,-152.0,2026-05-08,ag2606,空单持仓,AG
12,齐盛期货,3616,-370.0,2026-05-08,ag2606,空单持仓,AG
13,方正中期,3433,235.0,2026-05-08,ag2606,空单持仓,AG
14,平安期货,3319,-31.0,2026-05-08,ag2606,空单持仓,AG
15,广发期货,3313,-148.0,2026-05-08,ag2606,空单持仓,AG
16,中信建投,2924,-263.0,2026-05-08,ag2606,空单持仓,AG
17,南华期货,2511,-14.0,2026-05-08,ag2606,空单持仓,AG
18,永安期货,2132,56.0,2026-05-08,ag2606,空单持仓,AG
19,乾坤期货,2056,0.0,2026-05-08,ag2606,空单持仓,AG
20,国投期货,2036,19.0,2026-05-08,ag2606,空单持仓,AG
