排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,63338,-72399.0,2026-05-06,ag2606,成交量,AG
2,中信期货,45724,-60998.0,2026-05-06,ag2606,成交量,AG
3,东证期货,21033,-21092.0,2026-05-06,ag2606,成交量,AG
4,广发期货,18355,-35420.0,2026-05-06,ag2606,成交量,AG
5,华泰期货,17489,-27006.0,2026-05-06,ag2606,成交量,AG
6,中泰期货,16075,-16899.0,2026-05-06,ag2606,成交量,AG
7,银河期货,12985,-22617.0,2026-05-06,ag2606,成交量,AG
8,海通期货,12734,-19662.0,2026-05-06,ag2606,成交量,AG
9,方正中期,9677,-18439.0,2026-05-06,ag2606,成交量,AG
10,国信期货,9114,-21166.0,2026-05-06,ag2606,成交量,AG
11,浙商期货,7612,-3603.0,2026-05-06,ag2606,成交量,AG
12,华闻期货,7269,-4949.0,2026-05-06,ag2606,成交量,AG
13,中信建投,6675,-16757.0,2026-05-06,ag2606,成交量,AG
14,徽商期货,6312,-14442.0,2026-05-06,ag2606,成交量,AG
15,东方财富,6099,-16157.0,2026-05-06,ag2606,成交量,AG
16,平安期货,5883,-11143.0,2026-05-06,ag2606,成交量,AG
17,永安期货,5743,-8062.0,2026-05-06,ag2606,成交量,AG
18,国投期货,5556,-4845.0,2026-05-06,ag2606,成交量,AG
19,宏源期货,4999,-6606.0,2026-05-06,ag2606,成交量,AG
20,南华期货,4602,-8045.0,2026-05-06,ag2606,成交量,AG
1,国泰君安,132048,68710.0,2026-05-07,ag2606,成交量,AG
2,中信期货,90587,44863.0,2026-05-07,ag2606,成交量,AG
3,广发期货,38263,19908.0,2026-05-07,ag2606,成交量,AG
4,华泰期货,37770,20281.0,2026-05-07,ag2606,成交量,AG
5,东证期货,36541,15508.0,2026-05-07,ag2606,成交量,AG
6,银河期货,28696,15711.0,2026-05-07,ag2606,成交量,AG
7,海通期货,25650,12916.0,2026-05-07,ag2606,成交量,AG
8,国信期货,23030,13916.0,2026-05-07,ag2606,成交量,AG
9,中泰期货,21865,5790.0,2026-05-07,ag2606,成交量,AG
10,方正中期,20514,10837.0,2026-05-07,ag2606,成交量,AG
11,中信建投,18384,11709.0,2026-05-07,ag2606,成交量,AG
12,徽商期货,15862,9550.0,2026-05-07,ag2606,成交量,AG
13,东方财富,14546,8447.0,2026-05-07,ag2606,成交量,AG
14,华闻期货,14258,6989.0,2026-05-07,ag2606,成交量,AG
15,国元期货,12754,8541.0,2026-05-07,ag2606,成交量,AG
16,平安期货,11853,5970.0,2026-05-07,ag2606,成交量,AG
17,宝城期货,11310,6849.0,2026-05-07,ag2606,成交量,AG
18,宏源期货,10213,5214.0,2026-05-07,ag2606,成交量,AG
19,东吴期货,10062,5731.0,2026-05-07,ag2606,成交量,AG
20,五矿期货,10044,6124.0,2026-05-07,ag2606,成交量,AG
1,国泰君安,182040,49992.0,2026-05-08,ag2606,成交量,AG
2,中信期货,120353,29766.0,2026-05-08,ag2606,成交量,AG
3,东证期货,52867,16326.0,2026-05-08,ag2606,成交量,AG
4,广发期货,50924,12661.0,2026-05-08,ag2606,成交量,AG
5,华泰期货,48189,10419.0,2026-05-08,ag2606,成交量,AG
6,银河期货,43522,14826.0,2026-05-08,ag2606,成交量,AG
7,海通期货,42447,16797.0,2026-05-08,ag2606,成交量,AG
8,方正中期,32813,12299.0,2026-05-08,ag2606,成交量,AG
9,国信期货,32188,9158.0,2026-05-08,ag2606,成交量,AG
10,中泰期货,31657,9792.0,2026-05-08,ag2606,成交量,AG
11,中信建投,28050,9666.0,2026-05-08,ag2606,成交量,AG
12,徽商期货,25106,9244.0,2026-05-08,ag2606,成交量,AG
13,东方财富,23402,8856.0,2026-05-08,ag2606,成交量,AG
14,平安期货,18254,6401.0,2026-05-08,ag2606,成交量,AG
15,华闻期货,18089,3831.0,2026-05-08,ag2606,成交量,AG
16,宝城期货,15225,3915.0,2026-05-08,ag2606,成交量,AG
17,东吴期货,14832,4770.0,2026-05-08,ag2606,成交量,AG
18,宏源期货,14346,4133.0,2026-05-08,ag2606,成交量,AG
19,光大期货,14209,5596.0,2026-05-08,ag2606,成交量,AG
20,招商期货,13776,3891.0,2026-05-08,ag2606,成交量,AG
