排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,31133,1843.0,2026-05-06,al2606,多单持仓,AL
2,中信期货,30256,-489.0,2026-05-06,al2606,多单持仓,AL
3,东证期货,15613,32.0,2026-05-06,al2606,多单持仓,AL
4,永安期货,12976,275.0,2026-05-06,al2606,多单持仓,AL
5,华泰期货,11305,357.0,2026-05-06,al2606,多单持仓,AL
6,中信建投,8488,131.0,2026-05-06,al2606,多单持仓,AL
7,银河期货,7287,312.0,2026-05-06,al2606,多单持仓,AL
8,浙商期货,6980,-1196.0,2026-05-06,al2606,多单持仓,AL
9,广发期货,6548,-1000.0,2026-05-06,al2606,多单持仓,AL
10,南华期货,6455,-153.0,2026-05-06,al2606,多单持仓,AL
11,申万期货,6146,-1510.0,2026-05-06,al2606,多单持仓,AL
12,瑞达期货,5851,-411.0,2026-05-06,al2606,多单持仓,AL
13,国投期货,5415,283.0,2026-05-06,al2606,多单持仓,AL
14,金瑞期货,5164,99.0,2026-05-06,al2606,多单持仓,AL
15,光大期货,4895,-143.0,2026-05-06,al2606,多单持仓,AL
16,中泰期货,4724,-856.0,2026-05-06,al2606,多单持仓,AL
17,中粮期货,4702,1693.0,2026-05-06,al2606,多单持仓,AL
18,东吴期货,4605,-347.0,2026-05-06,al2606,多单持仓,AL
19,国信期货,4550,856.0,2026-05-06,al2606,多单持仓,AL
20,方正中期,4482,-102.0,2026-05-06,al2606,多单持仓,AL
1,中信期货,30460,204.0,2026-05-07,al2606,多单持仓,AL
2,国泰君安,27443,-3690.0,2026-05-07,al2606,多单持仓,AL
3,东证期货,13099,-2514.0,2026-05-07,al2606,多单持仓,AL
4,永安期货,11368,-1608.0,2026-05-07,al2606,多单持仓,AL
5,华泰期货,10951,-354.0,2026-05-07,al2606,多单持仓,AL
6,浙商期货,8431,1451.0,2026-05-07,al2606,多单持仓,AL
7,申万期货,8016,1870.0,2026-05-07,al2606,多单持仓,AL
8,广发期货,7655,1107.0,2026-05-07,al2606,多单持仓,AL
9,中泰期货,7355,2631.0,2026-05-07,al2606,多单持仓,AL
10,银河期货,6781,-506.0,2026-05-07,al2606,多单持仓,AL
11,南华期货,6703,248.0,2026-05-07,al2606,多单持仓,AL
12,中信建投,6395,-2093.0,2026-05-07,al2606,多单持仓,AL
13,瑞达期货,5878,27.0,2026-05-07,al2606,多单持仓,AL
14,国投期货,5612,197.0,2026-05-07,al2606,多单持仓,AL
15,金瑞期货,5438,274.0,2026-05-07,al2606,多单持仓,AL
16,国信期货,4888,338.0,2026-05-07,al2606,多单持仓,AL
17,光大期货,4864,-31.0,2026-05-07,al2606,多单持仓,AL
18,方正中期,4855,373.0,2026-05-07,al2606,多单持仓,AL
19,中粮期货,4845,143.0,2026-05-07,al2606,多单持仓,AL
20,东吴期货,4663,58.0,2026-05-07,al2606,多单持仓,AL
1,国泰君安,28713,1270.0,2026-05-08,al2606,多单持仓,AL
2,中信期货,28099,-2361.0,2026-05-08,al2606,多单持仓,AL
3,东证期货,13787,688.0,2026-05-08,al2606,多单持仓,AL
4,华泰期货,10638,-313.0,2026-05-08,al2606,多单持仓,AL
5,永安期货,10136,-1232.0,2026-05-08,al2606,多单持仓,AL
6,浙商期货,8708,277.0,2026-05-08,al2606,多单持仓,AL
7,银河期货,7460,679.0,2026-05-08,al2606,多单持仓,AL
8,广发期货,7025,-630.0,2026-05-08,al2606,多单持仓,AL
9,中泰期货,6793,-562.0,2026-05-08,al2606,多单持仓,AL
10,申万期货,6779,-1237.0,2026-05-08,al2606,多单持仓,AL
11,中信建投,6703,308.0,2026-05-08,al2606,多单持仓,AL
12,南华期货,6581,-122.0,2026-05-08,al2606,多单持仓,AL
13,瑞达期货,5897,19.0,2026-05-08,al2606,多单持仓,AL
14,国投期货,5585,-27.0,2026-05-08,al2606,多单持仓,AL
15,金瑞期货,5504,66.0,2026-05-08,al2606,多单持仓,AL
16,光大期货,5295,431.0,2026-05-08,al2606,多单持仓,AL
17,方正中期,4916,61.0,2026-05-08,al2606,多单持仓,AL
18,国信期货,4881,-7.0,2026-05-08,al2606,多单持仓,AL
19,中粮期货,4592,-253.0,2026-05-08,al2606,多单持仓,AL
20,东吴期货,4384,-279.0,2026-05-08,al2606,多单持仓,AL
