排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,32039,-908.0,2026-05-06,al2606,空单持仓,AL
2,中信期货,30819,339.0,2026-05-06,al2606,空单持仓,AL
3,浙商期货,24605,-82.0,2026-05-06,al2606,空单持仓,AL
4,华泰期货,12477,-34.0,2026-05-06,al2606,空单持仓,AL
5,国贸期货,10073,365.0,2026-05-06,al2606,空单持仓,AL
6,银河期货,9566,-619.0,2026-05-06,al2606,空单持仓,AL
7,瑞达期货,8888,1494.0,2026-05-06,al2606,空单持仓,AL
8,广发期货,8541,140.0,2026-05-06,al2606,空单持仓,AL
9,国海良时,7487,43.0,2026-05-06,al2606,空单持仓,AL
10,中粮期货,7077,117.0,2026-05-06,al2606,空单持仓,AL
11,东证期货,6082,-223.0,2026-05-06,al2606,空单持仓,AL
12,方正中期,5779,206.0,2026-05-06,al2606,空单持仓,AL
13,中泰期货,5470,518.0,2026-05-06,al2606,空单持仓,AL
14,国投期货,5426,-145.0,2026-05-06,al2606,空单持仓,AL
15,金瑞期货,5272,32.0,2026-05-06,al2606,空单持仓,AL
16,五矿期货,5140,-393.0,2026-05-06,al2606,空单持仓,AL
17,建信期货,4421,24.0,2026-05-06,al2606,空单持仓,AL
18,上海中期,4238,20.0,2026-05-06,al2606,空单持仓,AL
19,光大期货,4049,371.0,2026-05-06,al2606,空单持仓,AL
20,中信建投,3017,31.0,2026-05-06,al2606,空单持仓,AL
1,国泰君安,33691,1652.0,2026-05-07,al2606,空单持仓,AL
2,中信期货,31383,564.0,2026-05-07,al2606,空单持仓,AL
3,浙商期货,23842,-763.0,2026-05-07,al2606,空单持仓,AL
4,华泰期货,11428,-1049.0,2026-05-07,al2606,空单持仓,AL
5,银河期货,10203,637.0,2026-05-07,al2606,空单持仓,AL
6,瑞达期货,9644,756.0,2026-05-07,al2606,空单持仓,AL
7,国贸期货,8541,-1532.0,2026-05-07,al2606,空单持仓,AL
8,东证期货,7885,1803.0,2026-05-07,al2606,空单持仓,AL
9,广发期货,7167,-1374.0,2026-05-07,al2606,空单持仓,AL
10,国海良时,7139,-348.0,2026-05-07,al2606,空单持仓,AL
11,中粮期货,6440,-637.0,2026-05-07,al2606,空单持仓,AL
12,方正中期,5561,-218.0,2026-05-07,al2606,空单持仓,AL
13,国投期货,5097,-329.0,2026-05-07,al2606,空单持仓,AL
14,中泰期货,5009,-461.0,2026-05-07,al2606,空单持仓,AL
15,五矿期货,4434,-706.0,2026-05-07,al2606,空单持仓,AL
16,上海中期,4289,51.0,2026-05-07,al2606,空单持仓,AL
17,中金财富,4266,1368.0,2026-05-07,al2606,空单持仓,AL
18,海证期货,3982,1339.0,2026-05-07,al2606,空单持仓,AL
19,建信期货,3856,-565.0,2026-05-07,al2606,空单持仓,AL
20,光大期货,3684,-365.0,2026-05-07,al2606,空单持仓,AL
1,国泰君安,33586,-105.0,2026-05-08,al2606,空单持仓,AL
2,中信期货,30244,-1139.0,2026-05-08,al2606,空单持仓,AL
3,浙商期货,23764,-78.0,2026-05-08,al2606,空单持仓,AL
4,华泰期货,10795,-633.0,2026-05-08,al2606,空单持仓,AL
5,银河期货,9842,-361.0,2026-05-08,al2606,空单持仓,AL
6,瑞达期货,9189,-455.0,2026-05-08,al2606,空单持仓,AL
7,国贸期货,8301,-240.0,2026-05-08,al2606,空单持仓,AL
8,东证期货,7460,-425.0,2026-05-08,al2606,空单持仓,AL
9,中粮期货,7030,590.0,2026-05-08,al2606,空单持仓,AL
10,广发期货,6978,-189.0,2026-05-08,al2606,空单持仓,AL
11,国海良时,6701,-438.0,2026-05-08,al2606,空单持仓,AL
12,方正中期,5653,92.0,2026-05-08,al2606,空单持仓,AL
13,中泰期货,5114,105.0,2026-05-08,al2606,空单持仓,AL
14,国投期货,5048,-49.0,2026-05-08,al2606,空单持仓,AL
15,上海中期,4181,-108.0,2026-05-08,al2606,空单持仓,AL
16,五矿期货,4074,-360.0,2026-05-08,al2606,空单持仓,AL
17,海证期货,3896,-86.0,2026-05-08,al2606,空单持仓,AL
18,建信期货,3824,-32.0,2026-05-08,al2606,空单持仓,AL
19,金瑞期货,3768,318.0,2026-05-08,al2606,空单持仓,AL
20,光大期货,3556,-128.0,2026-05-08,al2606,空单持仓,AL
