排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,44641,-6366.0,2026-05-06,al2606,成交量,AL
2,中信期货,29860,-20882.0,2026-05-06,al2606,成交量,AL
3,华泰期货,23229,-7549.0,2026-05-06,al2606,成交量,AL
4,东证期货,15887,-9441.0,2026-05-06,al2606,成交量,AL
5,浙商期货,15782,7199.0,2026-05-06,al2606,成交量,AL
6,海通期货,13803,-6877.0,2026-05-06,al2606,成交量,AL
7,华闻期货,11783,-22917.0,2026-05-06,al2606,成交量,AL
8,中泰期货,8884,-71.0,2026-05-06,al2606,成交量,AL
9,银河期货,5893,-4860.0,2026-05-06,al2606,成交量,AL
10,广发期货,5092,-8194.0,2026-05-06,al2606,成交量,AL
11,国盛期货,3389,-1485.0,2026-05-06,al2606,成交量,AL
12,中粮期货,3352,1747.0,2026-05-06,al2606,成交量,AL
13,中信建投,3232,-2599.0,2026-05-06,al2606,成交量,AL
14,申万期货,3175,-715.0,2026-05-06,al2606,成交量,AL
15,国信期货,3145,-1419.0,2026-05-06,al2606,成交量,AL
16,方正中期,3140,-2335.0,2026-05-06,al2606,成交量,AL
17,瑞达期货,2877,-569.0,2026-05-06,al2606,成交量,AL
18,南华期货,2828,-1952.0,2026-05-06,al2606,成交量,AL
19,海证期货,2715,936.0,2026-05-06,al2606,成交量,AL
20,东吴期货,2545,-3983.0,2026-05-06,al2606,成交量,AL
1,国泰君安,79592,34951.0,2026-05-07,al2606,成交量,AL
2,中信期货,61122,31262.0,2026-05-07,al2606,成交量,AL
3,华泰期货,41883,18654.0,2026-05-07,al2606,成交量,AL
4,东证期货,37007,21120.0,2026-05-07,al2606,成交量,AL
5,华闻期货,31451,19668.0,2026-05-07,al2606,成交量,AL
6,海通期货,29103,15300.0,2026-05-07,al2606,成交量,AL
7,浙商期货,17646,1864.0,2026-05-07,al2606,成交量,AL
8,中泰期货,16252,7368.0,2026-05-07,al2606,成交量,AL
9,银河期货,14255,8362.0,2026-05-07,al2606,成交量,AL
10,广发期货,12247,7155.0,2026-05-07,al2606,成交量,AL
11,中信建投,8926,5694.0,2026-05-07,al2606,成交量,AL
12,金瑞期货,7516,6067.0,2026-05-07,al2606,成交量,AL
13,方正中期,6975,3835.0,2026-05-07,al2606,成交量,AL
14,申万期货,6554,3379.0,2026-05-07,al2606,成交量,AL
15,国盛期货,6143,2754.0,2026-05-07,al2606,成交量,AL
16,光大期货,5806,3632.0,2026-05-07,al2606,成交量,AL
17,国元期货,5724,3324.0,2026-05-07,al2606,成交量,AL
18,中辉期货,5304,3434.0,2026-05-07,al2606,成交量,AL
19,东方财富,5085,2714.0,2026-05-07,al2606,成交量,AL
20,国信期货,4970,1825.0,2026-05-07,al2606,成交量,AL
1,国泰君安,58973,-20619.0,2026-05-08,al2606,成交量,AL
2,中信期货,45452,-15670.0,2026-05-08,al2606,成交量,AL
3,华泰期货,31510,-10373.0,2026-05-08,al2606,成交量,AL
4,东证期货,24839,-12168.0,2026-05-08,al2606,成交量,AL
5,海通期货,21442,-7661.0,2026-05-08,al2606,成交量,AL
6,华闻期货,20539,-10912.0,2026-05-08,al2606,成交量,AL
7,银河期货,11280,-2975.0,2026-05-08,al2606,成交量,AL
8,浙商期货,8215,-9431.0,2026-05-08,al2606,成交量,AL
9,广发期货,6703,-5544.0,2026-05-08,al2606,成交量,AL
10,中泰期货,6469,-9783.0,2026-05-08,al2606,成交量,AL
11,金瑞期货,5638,-1878.0,2026-05-08,al2606,成交量,AL
12,东吴期货,5602,1123.0,2026-05-08,al2606,成交量,AL
13,国盛期货,5576,-567.0,2026-05-08,al2606,成交量,AL
14,中信建投,5383,-3543.0,2026-05-08,al2606,成交量,AL
15,方正中期,5109,-1866.0,2026-05-08,al2606,成交量,AL
16,国元期货,4106,-1618.0,2026-05-08,al2606,成交量,AL
17,申万期货,3966,-2588.0,2026-05-08,al2606,成交量,AL
18,国信期货,3895,-1075.0,2026-05-08,al2606,成交量,AL
19,东方财富,3844,-1241.0,2026-05-08,al2606,成交量,AL
20,永安期货,3811,-609.0,2026-05-08,al2606,成交量,AL
