排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,18217,256.0,2026-05-06,au2606,多单持仓,AU
2,中信期货,10047,-216.0,2026-05-06,au2606,多单持仓,AU
3,东证期货,8739,573.0,2026-05-06,au2606,多单持仓,AU
4,银河期货,6269,215.0,2026-05-06,au2606,多单持仓,AU
5,国投期货,5268,-155.0,2026-05-06,au2606,多单持仓,AU
6,广发期货,4914,370.0,2026-05-06,au2606,多单持仓,AU
7,方正中期,4899,-201.0,2026-05-06,au2606,多单持仓,AU
8,华泰期货,4520,115.0,2026-05-06,au2606,多单持仓,AU
9,平安期货,4329,-51.0,2026-05-06,au2606,多单持仓,AU
10,永安期货,4121,-2.0,2026-05-06,au2606,多单持仓,AU
11,兴业期货,3485,-123.0,2026-05-06,au2606,多单持仓,AU
12,南华期货,3065,122.0,2026-05-06,au2606,多单持仓,AU
13,中信建投,2871,17.0,2026-05-06,au2606,多单持仓,AU
14,招商期货,2576,-12.0,2026-05-06,au2606,多单持仓,AU
15,光大期货,2566,-83.0,2026-05-06,au2606,多单持仓,AU
16,申万期货,2457,-4.0,2026-05-06,au2606,多单持仓,AU
17,浙商期货,2367,-140.0,2026-05-06,au2606,多单持仓,AU
18,国贸期货,2360,-32.0,2026-05-06,au2606,多单持仓,AU
19,国信期货,2233,31.0,2026-05-06,au2606,多单持仓,AU
20,宝城期货,2149,34.0,2026-05-06,au2606,多单持仓,AU
1,国泰君安,19459,1242.0,2026-05-07,au2606,多单持仓,AU
2,中信期货,10139,92.0,2026-05-07,au2606,多单持仓,AU
3,东证期货,9151,412.0,2026-05-07,au2606,多单持仓,AU
4,银河期货,6511,242.0,2026-05-07,au2606,多单持仓,AU
5,广发期货,5003,89.0,2026-05-07,au2606,多单持仓,AU
6,国投期货,4981,-287.0,2026-05-07,au2606,多单持仓,AU
7,方正中期,4633,-266.0,2026-05-07,au2606,多单持仓,AU
8,永安期货,4559,438.0,2026-05-07,au2606,多单持仓,AU
9,平安期货,4509,180.0,2026-05-07,au2606,多单持仓,AU
10,华泰期货,4441,-79.0,2026-05-07,au2606,多单持仓,AU
11,兴业期货,3329,-156.0,2026-05-07,au2606,多单持仓,AU
12,南华期货,3037,-28.0,2026-05-07,au2606,多单持仓,AU
13,中信建投,2908,37.0,2026-05-07,au2606,多单持仓,AU
14,招商期货,2516,-60.0,2026-05-07,au2606,多单持仓,AU
15,申万期货,2488,31.0,2026-05-07,au2606,多单持仓,AU
16,光大期货,2452,-114.0,2026-05-07,au2606,多单持仓,AU
17,国贸期货,2357,-3.0,2026-05-07,au2606,多单持仓,AU
18,国信期货,2312,79.0,2026-05-07,au2606,多单持仓,AU
19,中财期货,2180,122.0,2026-05-07,au2606,多单持仓,AU
20,宝城期货,2172,23.0,2026-05-07,au2606,多单持仓,AU
1,国泰君安,18686,-773.0,2026-05-08,au2606,多单持仓,AU
2,中信期货,10174,35.0,2026-05-08,au2606,多单持仓,AU
3,东证期货,9199,48.0,2026-05-08,au2606,多单持仓,AU
4,银河期货,6506,-5.0,2026-05-08,au2606,多单持仓,AU
5,广发期货,4913,-90.0,2026-05-08,au2606,多单持仓,AU
6,国投期货,4840,-141.0,2026-05-08,au2606,多单持仓,AU
7,永安期货,4801,242.0,2026-05-08,au2606,多单持仓,AU
8,平安期货,4497,-12.0,2026-05-08,au2606,多单持仓,AU
9,方正中期,4431,-202.0,2026-05-08,au2606,多单持仓,AU
10,华泰期货,4431,-10.0,2026-05-08,au2606,多单持仓,AU
11,兴业期货,3275,-54.0,2026-05-08,au2606,多单持仓,AU
12,南华期货,3093,56.0,2026-05-08,au2606,多单持仓,AU
13,中信建投,3026,118.0,2026-05-08,au2606,多单持仓,AU
14,招商期货,2603,87.0,2026-05-08,au2606,多单持仓,AU
15,中财期货,2506,326.0,2026-05-08,au2606,多单持仓,AU
16,光大期货,2488,36.0,2026-05-08,au2606,多单持仓,AU
17,申万期货,2473,-15.0,2026-05-08,au2606,多单持仓,AU
18,国信期货,2374,62.0,2026-05-08,au2606,多单持仓,AU
19,国贸期货,2368,11.0,2026-05-08,au2606,多单持仓,AU
20,宝城期货,2170,-2.0,2026-05-08,au2606,多单持仓,AU
