排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,9049,-924.0,2026-05-06,au2606,空单持仓,AU
2,中信期货,3792,-318.0,2026-05-06,au2606,空单持仓,AU
3,华泰期货,2397,-234.0,2026-05-06,au2606,空单持仓,AU
4,东证期货,2380,-442.0,2026-05-06,au2606,空单持仓,AU
5,齐盛期货,1975,23.0,2026-05-06,au2606,空单持仓,AU
6,中信建投,1895,2.0,2026-05-06,au2606,空单持仓,AU
7,金瑞期货,1315,-11.0,2026-05-06,au2606,空单持仓,AU
8,广发期货,1258,-250.0,2026-05-06,au2606,空单持仓,AU
9,瑞达期货,831,-16.0,2026-05-06,au2606,空单持仓,AU
10,云晨期货,812,10.0,2026-05-06,au2606,空单持仓,AU
11,南华期货,745,63.0,2026-05-06,au2606,空单持仓,AU
12,国投期货,725,-2.0,2026-05-06,au2606,空单持仓,AU
13,银河期货,690,-1.0,2026-05-06,au2606,空单持仓,AU
14,平安期货,686,65.0,2026-05-06,au2606,空单持仓,AU
15,五矿期货,683,-36.0,2026-05-06,au2606,空单持仓,AU
16,中泰期货,627,-82.0,2026-05-06,au2606,空单持仓,AU
17,徽商期货,588,42.0,2026-05-06,au2606,空单持仓,AU
18,光大期货,561,16.0,2026-05-06,au2606,空单持仓,AU
19,方正中期,538,-105.0,2026-05-06,au2606,空单持仓,AU
20,永安期货,530,-401.0,2026-05-06,au2606,空单持仓,AU
1,国泰君安,8922,-127.0,2026-05-07,au2606,空单持仓,AU
2,中信期货,3964,172.0,2026-05-07,au2606,空单持仓,AU
3,华泰期货,2772,375.0,2026-05-07,au2606,空单持仓,AU
4,东证期货,2585,205.0,2026-05-07,au2606,空单持仓,AU
5,齐盛期货,2109,134.0,2026-05-07,au2606,空单持仓,AU
6,广发期货,1973,715.0,2026-05-07,au2606,空单持仓,AU
7,中信建投,1865,-30.0,2026-05-07,au2606,空单持仓,AU
8,金瑞期货,1352,37.0,2026-05-07,au2606,空单持仓,AU
9,南华期货,921,176.0,2026-05-07,au2606,空单持仓,AU
10,中泰期货,892,265.0,2026-05-07,au2606,空单持仓,AU
11,银河期货,859,169.0,2026-05-07,au2606,空单持仓,AU
12,瑞达期货,748,-83.0,2026-05-07,au2606,空单持仓,AU
13,国投期货,740,15.0,2026-05-07,au2606,空单持仓,AU
14,平安期货,692,6.0,2026-05-07,au2606,空单持仓,AU
15,五矿期货,634,-49.0,2026-05-07,au2606,空单持仓,AU
16,徽商期货,613,25.0,2026-05-07,au2606,空单持仓,AU
17,光大期货,558,-3.0,2026-05-07,au2606,空单持仓,AU
18,招商期货,539,84.0,2026-05-07,au2606,空单持仓,AU
19,永安期货,517,-13.0,2026-05-07,au2606,空单持仓,AU
20,云晨期货,516,-296.0,2026-05-07,au2606,空单持仓,AU
1,国泰君安,8925,3.0,2026-05-08,au2606,空单持仓,AU
2,中信期货,3830,-134.0,2026-05-08,au2606,空单持仓,AU
3,华泰期货,2559,-213.0,2026-05-08,au2606,空单持仓,AU
4,东证期货,2419,-166.0,2026-05-08,au2606,空单持仓,AU
5,齐盛期货,2093,-16.0,2026-05-08,au2606,空单持仓,AU
6,广发期货,1832,-141.0,2026-05-08,au2606,空单持仓,AU
7,中信建投,1831,-34.0,2026-05-08,au2606,空单持仓,AU
8,金瑞期货,1202,-150.0,2026-05-08,au2606,空单持仓,AU
9,南华期货,1034,113.0,2026-05-08,au2606,空单持仓,AU
10,银河期货,789,-70.0,2026-05-08,au2606,空单持仓,AU
11,中泰期货,780,-112.0,2026-05-08,au2606,空单持仓,AU
12,国投期货,745,5.0,2026-05-08,au2606,空单持仓,AU
13,平安期货,697,5.0,2026-05-08,au2606,空单持仓,AU
14,徽商期货,641,28.0,2026-05-08,au2606,空单持仓,AU
15,五矿期货,627,-7.0,2026-05-08,au2606,空单持仓,AU
16,瑞达期货,605,-143.0,2026-05-08,au2606,空单持仓,AU
17,光大期货,525,-33.0,2026-05-08,au2606,空单持仓,AU
18,云晨期货,516,0.0,2026-05-08,au2606,空单持仓,AU
19,方正中期,500,-5.0,2026-05-08,au2606,空单持仓,AU
20,国信期货,475,-35.0,2026-05-08,au2606,空单持仓,AU
