排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,43236,-33471.0,2026-05-06,au2606,成交量,AU
2,中信期货,16906,-42459.0,2026-05-06,au2606,成交量,AU
3,东证期货,10783,-16032.0,2026-05-06,au2606,成交量,AU
4,海通期货,9995,-11111.0,2026-05-06,au2606,成交量,AU
5,华泰期货,9937,-23215.0,2026-05-06,au2606,成交量,AU
6,国信期货,5748,-19512.0,2026-05-06,au2606,成交量,AU
7,银河期货,3864,-7812.0,2026-05-06,au2606,成交量,AU
8,南华期货,3729,-3984.0,2026-05-06,au2606,成交量,AU
9,浙商期货,3650,-2188.0,2026-05-06,au2606,成交量,AU
10,广发期货,3454,-10682.0,2026-05-06,au2606,成交量,AU
11,五矿期货,2805,-7447.0,2026-05-06,au2606,成交量,AU
12,中泰期货,2689,-4102.0,2026-05-06,au2606,成交量,AU
13,新湖期货,2277,-4370.0,2026-05-06,au2606,成交量,AU
14,方正中期,2192,-4161.0,2026-05-06,au2606,成交量,AU
15,招商期货,2102,-1114.0,2026-05-06,au2606,成交量,AU
16,中银期货,2097,-4847.0,2026-05-06,au2606,成交量,AU
17,中信建投,2061,-4129.0,2026-05-06,au2606,成交量,AU
18,东吴期货,1674,-1772.0,2026-05-06,au2606,成交量,AU
19,永安期货,1637,-1207.0,2026-05-06,au2606,成交量,AU
20,平安期货,1578,-3261.0,2026-05-06,au2606,成交量,AU
1,国泰君安,77962,34726.0,2026-05-07,au2606,成交量,AU
2,中信期货,47032,30126.0,2026-05-07,au2606,成交量,AU
3,华泰期货,24741,14804.0,2026-05-07,au2606,成交量,AU
4,海通期货,22471,12476.0,2026-05-07,au2606,成交量,AU
5,国信期货,20811,15063.0,2026-05-07,au2606,成交量,AU
6,东证期货,18514,7731.0,2026-05-07,au2606,成交量,AU
7,五矿期货,13506,10701.0,2026-05-07,au2606,成交量,AU
8,银河期货,10411,6547.0,2026-05-07,au2606,成交量,AU
9,广发期货,7964,4510.0,2026-05-07,au2606,成交量,AU
10,中信建投,5913,3852.0,2026-05-07,au2606,成交量,AU
11,方正中期,5703,3511.0,2026-05-07,au2606,成交量,AU
12,南华期货,5652,1923.0,2026-05-07,au2606,成交量,AU
13,中泰期货,5644,2955.0,2026-05-07,au2606,成交量,AU
14,浙商期货,5143,1493.0,2026-05-07,au2606,成交量,AU
15,民生期货,4265,2702.0,2026-05-07,au2606,成交量,AU
16,东方财富,4197,2689.0,2026-05-07,au2606,成交量,AU
17,中银期货,4185,2088.0,2026-05-07,au2606,成交量,AU
18,齐盛期货,3947,2880.0,2026-05-07,au2606,成交量,AU
19,新湖期货,3881,1604.0,2026-05-07,au2606,成交量,AU
20,徽商期货,3556,2585.0,2026-05-07,au2606,成交量,AU
1,国泰君安,89192,11230.0,2026-05-08,au2606,成交量,AU
2,中信期货,54477,7445.0,2026-05-08,au2606,成交量,AU
3,华泰期货,24627,-114.0,2026-05-08,au2606,成交量,AU
4,国信期货,23633,2822.0,2026-05-08,au2606,成交量,AU
5,海通期货,21944,-527.0,2026-05-08,au2606,成交量,AU
6,东证期货,20604,2090.0,2026-05-08,au2606,成交量,AU
7,五矿期货,15472,1966.0,2026-05-08,au2606,成交量,AU
8,银河期货,11175,764.0,2026-05-08,au2606,成交量,AU
9,中信建投,8382,2469.0,2026-05-08,au2606,成交量,AU
10,广发期货,7899,-65.0,2026-05-08,au2606,成交量,AU
11,南华期货,6637,985.0,2026-05-08,au2606,成交量,AU
12,中银期货,6505,2320.0,2026-05-08,au2606,成交量,AU
13,民生期货,6252,1987.0,2026-05-08,au2606,成交量,AU
14,新湖期货,5792,1911.0,2026-05-08,au2606,成交量,AU
15,方正中期,5697,-6.0,2026-05-08,au2606,成交量,AU
16,中泰期货,5068,-576.0,2026-05-08,au2606,成交量,AU
17,东方财富,4881,684.0,2026-05-08,au2606,成交量,AU
18,徽商期货,4655,1099.0,2026-05-08,au2606,成交量,AU
19,浙商期货,4474,-669.0,2026-05-08,au2606,成交量,AU
20,平安期货,4065,516.0,2026-05-08,au2606,成交量,AU
