排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,25538,673.0,2026-05-06,bu2606,多单持仓,BU
2,东证期货,15490,3659.0,2026-05-06,bu2606,多单持仓,BU
3,永安期货,15242,-880.0,2026-05-06,bu2606,多单持仓,BU
4,中信期货,13349,-200.0,2026-05-06,bu2606,多单持仓,BU
5,华泰期货,10392,-72.0,2026-05-06,bu2606,多单持仓,BU
6,银河期货,8404,-355.0,2026-05-06,bu2606,多单持仓,BU
7,广发期货,4713,-61.0,2026-05-06,bu2606,多单持仓,BU
8,国投期货,4133,30.0,2026-05-06,bu2606,多单持仓,BU
9,瑞达期货,3983,326.0,2026-05-06,bu2606,多单持仓,BU
10,平安期货,3525,-136.0,2026-05-06,bu2606,多单持仓,BU
11,国联期货,3467,361.0,2026-05-06,bu2606,多单持仓,BU
12,中金财富,3444,284.0,2026-05-06,bu2606,多单持仓,BU
13,申万期货,3312,721.0,2026-05-06,bu2606,多单持仓,BU
14,光大期货,2907,-88.0,2026-05-06,bu2606,多单持仓,BU
15,兴证期货,2870,505.0,2026-05-06,bu2606,多单持仓,BU
16,方正中期,2818,86.0,2026-05-06,bu2606,多单持仓,BU
17,创元期货,2687,220.0,2026-05-06,bu2606,多单持仓,BU
18,浙商期货,2649,-200.0,2026-05-06,bu2606,多单持仓,BU
19,中泰期货,2586,-371.0,2026-05-06,bu2606,多单持仓,BU
20,东海期货,2585,42.0,2026-05-06,bu2606,多单持仓,BU
1,国泰君安,23830,-1708.0,2026-05-07,bu2606,多单持仓,BU
2,中信期货,14925,1576.0,2026-05-07,bu2606,多单持仓,BU
3,永安期货,13249,-1993.0,2026-05-07,bu2606,多单持仓,BU
4,东证期货,12908,-2582.0,2026-05-07,bu2606,多单持仓,BU
5,华泰期货,10912,520.0,2026-05-07,bu2606,多单持仓,BU
6,银河期货,7178,-1226.0,2026-05-07,bu2606,多单持仓,BU
7,广发期货,4168,-545.0,2026-05-07,bu2606,多单持仓,BU
8,国投期货,3843,-290.0,2026-05-07,bu2606,多单持仓,BU
9,平安期货,3745,220.0,2026-05-07,bu2606,多单持仓,BU
10,国联期货,3508,41.0,2026-05-07,bu2606,多单持仓,BU
11,盛达期货,3446,1257.0,2026-05-07,bu2606,多单持仓,BU
12,中金财富,3112,-332.0,2026-05-07,bu2606,多单持仓,BU
13,东吴期货,3020,498.0,2026-05-07,bu2606,多单持仓,BU
14,宏源期货,2674,352.0,2026-05-07,bu2606,多单持仓,BU
15,中信建投,2661,189.0,2026-05-07,bu2606,多单持仓,BU
16,申万期货,2641,-671.0,2026-05-07,bu2606,多单持仓,BU
17,浙商期货,2485,-164.0,2026-05-07,bu2606,多单持仓,BU
18,中粮期货,2468,24.0,2026-05-07,bu2606,多单持仓,BU
19,创元期货,2463,-224.0,2026-05-07,bu2606,多单持仓,BU
20,光大期货,2361,-546.0,2026-05-07,bu2606,多单持仓,BU
1,国泰君安,20953,-2877.0,2026-05-08,bu2606,多单持仓,BU
2,中信期货,13710,-1215.0,2026-05-08,bu2606,多单持仓,BU
3,永安期货,12452,-797.0,2026-05-08,bu2606,多单持仓,BU
4,东证期货,10182,-2726.0,2026-05-08,bu2606,多单持仓,BU
5,华泰期货,7985,-2927.0,2026-05-08,bu2606,多单持仓,BU
6,银河期货,7033,-145.0,2026-05-08,bu2606,多单持仓,BU
7,平安期货,4162,417.0,2026-05-08,bu2606,多单持仓,BU
8,广发期货,4058,-110.0,2026-05-08,bu2606,多单持仓,BU
9,国投期货,4044,201.0,2026-05-08,bu2606,多单持仓,BU
10,国联期货,3334,-174.0,2026-05-08,bu2606,多单持仓,BU
11,申万期货,2980,339.0,2026-05-08,bu2606,多单持仓,BU
12,东吴期货,2943,-77.0,2026-05-08,bu2606,多单持仓,BU
13,创元期货,2824,361.0,2026-05-08,bu2606,多单持仓,BU
14,瑞达期货,2695,391.0,2026-05-08,bu2606,多单持仓,BU
15,中信建投,2656,-5.0,2026-05-08,bu2606,多单持仓,BU
16,中金财富,2609,-503.0,2026-05-08,bu2606,多单持仓,BU
17,浙商期货,2537,52.0,2026-05-08,bu2606,多单持仓,BU
18,中粮期货,2493,25.0,2026-05-08,bu2606,多单持仓,BU
19,宏源期货,2374,-300.0,2026-05-08,bu2606,多单持仓,BU
20,国信期货,2201,-63.0,2026-05-08,bu2606,多单持仓,BU
