排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,银河期货,16003,168.0,2026-05-06,bu2606,空单持仓,BU
2,国泰君安,15018,560.0,2026-05-06,bu2606,空单持仓,BU
3,中泰期货,14453,1303.0,2026-05-06,bu2606,空单持仓,BU
4,大地期货,7710,96.0,2026-05-06,bu2606,空单持仓,BU
5,海通期货,7562,356.0,2026-05-06,bu2606,空单持仓,BU
6,中信期货,7543,607.0,2026-05-06,bu2606,空单持仓,BU
7,广发期货,7003,645.0,2026-05-06,bu2606,空单持仓,BU
8,华泰期货,6694,-1251.0,2026-05-06,bu2606,空单持仓,BU
9,盛达期货,6509,-115.0,2026-05-06,bu2606,空单持仓,BU
10,创元期货,6442,-16.0,2026-05-06,bu2606,空单持仓,BU
11,永安期货,5396,253.0,2026-05-06,bu2606,空单持仓,BU
12,东证期货,5355,235.0,2026-05-06,bu2606,空单持仓,BU
13,浙商期货,4643,25.0,2026-05-06,bu2606,空单持仓,BU
14,中信建投,4396,397.0,2026-05-06,bu2606,空单持仓,BU
15,国投期货,4279,132.0,2026-05-06,bu2606,空单持仓,BU
16,格林大华,4157,60.0,2026-05-06,bu2606,空单持仓,BU
17,民生期货,3079,128.0,2026-05-06,bu2606,空单持仓,BU
18,国贸期货,2791,-60.0,2026-05-06,bu2606,空单持仓,BU
19,方正中期,2619,13.0,2026-05-06,bu2606,空单持仓,BU
20,物产中大,2571,-7.0,2026-05-06,bu2606,空单持仓,BU
1,银河期货,15866,-137.0,2026-05-07,bu2606,空单持仓,BU
2,国泰君安,14666,-352.0,2026-05-07,bu2606,空单持仓,BU
3,中泰期货,13796,-657.0,2026-05-07,bu2606,空单持仓,BU
4,大地期货,7045,-665.0,2026-05-07,bu2606,空单持仓,BU
5,华泰期货,7043,349.0,2026-05-07,bu2606,空单持仓,BU
6,中信期货,6951,-592.0,2026-05-07,bu2606,空单持仓,BU
7,创元期货,6581,139.0,2026-05-07,bu2606,空单持仓,BU
8,海通期货,6478,-1084.0,2026-05-07,bu2606,空单持仓,BU
9,永安期货,5307,-89.0,2026-05-07,bu2606,空单持仓,BU
10,东证期货,5052,-303.0,2026-05-07,bu2606,空单持仓,BU
11,广发期货,5012,-1991.0,2026-05-07,bu2606,空单持仓,BU
12,盛达期货,4278,-2231.0,2026-05-07,bu2606,空单持仓,BU
13,格林大华,4040,-117.0,2026-05-07,bu2606,空单持仓,BU
14,浙商期货,3961,-682.0,2026-05-07,bu2606,空单持仓,BU
15,中信建投,3893,-503.0,2026-05-07,bu2606,空单持仓,BU
16,国投期货,3847,-432.0,2026-05-07,bu2606,空单持仓,BU
17,方正中期,2836,217.0,2026-05-07,bu2606,空单持仓,BU
18,民生期货,2824,-255.0,2026-05-07,bu2606,空单持仓,BU
19,物产中大,2561,-10.0,2026-05-07,bu2606,空单持仓,BU
20,宏源期货,2546,16.0,2026-05-07,bu2606,空单持仓,BU
1,银河期货,15292,-574.0,2026-05-08,bu2606,空单持仓,BU
2,国泰君安,13846,-820.0,2026-05-08,bu2606,空单持仓,BU
3,中泰期货,12049,-1747.0,2026-05-08,bu2606,空单持仓,BU
4,创元期货,6579,-2.0,2026-05-08,bu2606,空单持仓,BU
5,海通期货,6509,31.0,2026-05-08,bu2606,空单持仓,BU
6,大地期货,6347,-698.0,2026-05-08,bu2606,空单持仓,BU
7,东证期货,5783,731.0,2026-05-08,bu2606,空单持仓,BU
8,永安期货,5291,-16.0,2026-05-08,bu2606,空单持仓,BU
9,中信期货,5214,-1737.0,2026-05-08,bu2606,空单持仓,BU
10,华泰期货,5101,-1942.0,2026-05-08,bu2606,空单持仓,BU
11,广发期货,4619,-393.0,2026-05-08,bu2606,空单持仓,BU
12,盛达期货,4026,-252.0,2026-05-08,bu2606,空单持仓,BU
13,格林大华,3998,-42.0,2026-05-08,bu2606,空单持仓,BU
14,中信建投,3667,-226.0,2026-05-08,bu2606,空单持仓,BU
15,国投期货,3638,-209.0,2026-05-08,bu2606,空单持仓,BU
16,民生期货,2629,-195.0,2026-05-08,bu2606,空单持仓,BU
17,方正中期,2307,-529.0,2026-05-08,bu2606,空单持仓,BU
18,物产中大,2301,-260.0,2026-05-08,bu2606,空单持仓,BU
19,南华期货,2164,-85.0,2026-05-08,bu2606,空单持仓,BU
20,浙商期货,2097,-1864.0,2026-05-08,bu2606,空单持仓,BU
