排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,59635,-40701.0,2026-05-06,bu2606,成交量,BU
2,东证期货,47588,-48949.0,2026-05-06,bu2606,成交量,BU
3,中泰期货,39830,-17140.0,2026-05-06,bu2606,成交量,BU
4,海通期货,34499,-7331.0,2026-05-06,bu2606,成交量,BU
5,中信期货,33759,-51946.0,2026-05-06,bu2606,成交量,BU
6,浙商期货,19885,-19906.0,2026-05-06,bu2606,成交量,BU
7,广发期货,14996,-45790.0,2026-05-06,bu2606,成交量,BU
8,银河期货,13365,-13759.0,2026-05-06,bu2606,成交量,BU
9,华闻期货,10761,-19590.0,2026-05-06,bu2606,成交量,BU
10,中信建投,9597,-7760.0,2026-05-06,bu2606,成交量,BU
11,华泰期货,9595,-18185.0,2026-05-06,bu2606,成交量,BU
12,方正中期,7903,-6741.0,2026-05-06,bu2606,成交量,BU
13,徽商期货,7612,-3831.0,2026-05-06,bu2606,成交量,BU
14,国信期货,5589,-6876.0,2026-05-06,bu2606,成交量,BU
15,平安期货,5041,-6108.0,2026-05-06,bu2606,成交量,BU
16,宏源期货,4266,-4762.0,2026-05-06,bu2606,成交量,BU
17,盛达期货,4245,-3168.0,2026-05-06,bu2606,成交量,BU
18,申万期货,3939,-3637.0,2026-05-06,bu2606,成交量,BU
19,国投期货,3874,-8305.0,2026-05-06,bu2606,成交量,BU
20,民生期货,3652,-4102.0,2026-05-06,bu2606,成交量,BU
1,国泰君安,121398,61763.0,2026-05-07,bu2606,成交量,BU
2,东证期货,111495,63907.0,2026-05-07,bu2606,成交量,BU
3,中信期货,81244,47485.0,2026-05-07,bu2606,成交量,BU
4,浙商期货,47160,27275.0,2026-05-07,bu2606,成交量,BU
5,中泰期货,39168,-662.0,2026-05-07,bu2606,成交量,BU
6,海通期货,38510,4011.0,2026-05-07,bu2606,成交量,BU
7,华泰期货,32049,22454.0,2026-05-07,bu2606,成交量,BU
8,广发期货,30326,15330.0,2026-05-07,bu2606,成交量,BU
9,银河期货,30033,16668.0,2026-05-07,bu2606,成交量,BU
10,华闻期货,29308,18547.0,2026-05-07,bu2606,成交量,BU
11,中信建投,19010,9413.0,2026-05-07,bu2606,成交量,BU
12,徽商期货,14110,6498.0,2026-05-07,bu2606,成交量,BU
13,方正中期,13422,5519.0,2026-05-07,bu2606,成交量,BU
14,盛达期货,13056,8811.0,2026-05-07,bu2606,成交量,BU
15,国信期货,12709,7120.0,2026-05-07,bu2606,成交量,BU
16,平安期货,10985,5944.0,2026-05-07,bu2606,成交量,BU
17,华金期货,9378,8168.0,2026-05-07,bu2606,成交量,BU
18,国投期货,9132,5258.0,2026-05-07,bu2606,成交量,BU
19,永安期货,8362,5133.0,2026-05-07,bu2606,成交量,BU
20,东吴期货,8349,4837.0,2026-05-07,bu2606,成交量,BU
1,东证期货,96545,-14950.0,2026-05-08,bu2606,成交量,BU
2,国泰君安,80455,-40943.0,2026-05-08,bu2606,成交量,BU
3,中信期货,55152,-26092.0,2026-05-08,bu2606,成交量,BU
4,中泰期货,30143,-9025.0,2026-05-08,bu2606,成交量,BU
5,浙商期货,29460,-17700.0,2026-05-08,bu2606,成交量,BU
6,海通期货,28326,-10184.0,2026-05-08,bu2606,成交量,BU
7,华闻期货,28111,-1197.0,2026-05-08,bu2606,成交量,BU
8,华泰期货,22933,-9116.0,2026-05-08,bu2606,成交量,BU
9,银河期货,20495,-9538.0,2026-05-08,bu2606,成交量,BU
10,广发期货,15199,-15127.0,2026-05-08,bu2606,成交量,BU
11,中信建投,13163,-5847.0,2026-05-08,bu2606,成交量,BU
12,徽商期货,9109,-5001.0,2026-05-08,bu2606,成交量,BU
13,方正中期,8873,-4549.0,2026-05-08,bu2606,成交量,BU
14,国信期货,8579,-4130.0,2026-05-08,bu2606,成交量,BU
15,平安期货,7669,-3316.0,2026-05-08,bu2606,成交量,BU
16,盛达期货,7041,-6015.0,2026-05-08,bu2606,成交量,BU
17,东吴期货,5695,-2654.0,2026-05-08,bu2606,成交量,BU
18,宏源期货,5398,-1880.0,2026-05-08,bu2606,成交量,BU
19,招商期货,5207,-1500.0,2026-05-08,bu2606,成交量,BU
20,光大期货,4838,-3293.0,2026-05-08,bu2606,成交量,BU
