排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,146917,-9625.0,2026-05-06,c2607,多单持仓,C
2,中信期货,141491,16594.0,2026-05-06,c2607,多单持仓,C
3,中粮期货,120825,6542.0,2026-05-06,c2607,多单持仓,C
4,银河期货,86732,1283.0,2026-05-06,c2607,多单持仓,C
5,广发期货,83950,-181.0,2026-05-06,c2607,多单持仓,C
6,东证期货,78636,-13951.0,2026-05-06,c2607,多单持仓,C
7,海通期货,44853,1114.0,2026-05-06,c2607,多单持仓,C
8,中信建投,41899,-4605.0,2026-05-06,c2607,多单持仓,C
9,五矿期货,40978,-1936.0,2026-05-06,c2607,多单持仓,C
10,浙商期货,40947,4866.0,2026-05-06,c2607,多单持仓,C
11,华泰期货,36356,-4421.0,2026-05-06,c2607,多单持仓,C
12,中金财富,33500,-1620.0,2026-05-06,c2607,多单持仓,C
13,中泰期货,32094,-1080.0,2026-05-06,c2607,多单持仓,C
14,永安期货,25643,352.0,2026-05-06,c2607,多单持仓,C
15,国投期货,22491,10430.0,2026-05-06,c2607,多单持仓,C
16,瑞达期货,18915,1545.0,2026-05-06,c2607,多单持仓,C
17,平安期货,16128,-2128.0,2026-05-06,c2607,多单持仓,C
18,光大期货,13939,-8167.0,2026-05-06,c2607,多单持仓,C
19,一德期货,12217,159.0,2026-05-06,c2607,多单持仓,C
20,海证期货,11822,3023.0,2026-05-06,c2607,多单持仓,C
1,中信期货,131823,-9668.0,2026-05-07,c2607,多单持仓,C
2,中粮期货,129712,8887.0,2026-05-07,c2607,多单持仓,C
3,国泰君安,121397,-25520.0,2026-05-07,c2607,多单持仓,C
4,广发期货,88125,4175.0,2026-05-07,c2607,多单持仓,C
5,银河期货,83707,-3025.0,2026-05-07,c2607,多单持仓,C
6,东证期货,68358,-10278.0,2026-05-07,c2607,多单持仓,C
7,海通期货,45689,836.0,2026-05-07,c2607,多单持仓,C
8,国投期货,44945,22454.0,2026-05-07,c2607,多单持仓,C
9,中信建投,43234,1335.0,2026-05-07,c2607,多单持仓,C
10,浙商期货,41965,1018.0,2026-05-07,c2607,多单持仓,C
11,五矿期货,35532,-5446.0,2026-05-07,c2607,多单持仓,C
12,中泰期货,31908,-186.0,2026-05-07,c2607,多单持仓,C
13,华泰期货,30547,-5809.0,2026-05-07,c2607,多单持仓,C
14,永安期货,28186,2543.0,2026-05-07,c2607,多单持仓,C
15,中金财富,20647,-12853.0,2026-05-07,c2607,多单持仓,C
16,平安期货,14882,-1246.0,2026-05-07,c2607,多单持仓,C
17,瑞达期货,14432,-4483.0,2026-05-07,c2607,多单持仓,C
18,北京首创,13937,3444.0,2026-05-07,c2607,多单持仓,C
19,一德期货,12192,-25.0,2026-05-07,c2607,多单持仓,C
20,光大期货,12118,-1821.0,2026-05-07,c2607,多单持仓,C
1,中粮期货,129818,106.0,2026-05-08,c2607,多单持仓,C
2,国泰君安,119786,-1611.0,2026-05-08,c2607,多单持仓,C
3,中信期货,115441,-16382.0,2026-05-08,c2607,多单持仓,C
4,东证期货,85969,17611.0,2026-05-08,c2607,多单持仓,C
5,广发期货,85249,-2876.0,2026-05-08,c2607,多单持仓,C
6,银河期货,71525,-12182.0,2026-05-08,c2607,多单持仓,C
7,海通期货,48673,2984.0,2026-05-08,c2607,多单持仓,C
8,国投期货,44675,-270.0,2026-05-08,c2607,多单持仓,C
9,中信建投,42832,-402.0,2026-05-08,c2607,多单持仓,C
10,浙商期货,36469,-5496.0,2026-05-08,c2607,多单持仓,C
11,中泰期货,29798,-2110.0,2026-05-08,c2607,多单持仓,C
12,永安期货,27979,-207.0,2026-05-08,c2607,多单持仓,C
13,五矿期货,27602,-7930.0,2026-05-08,c2607,多单持仓,C
14,华泰期货,22146,-8401.0,2026-05-08,c2607,多单持仓,C
15,瑞达期货,16298,1866.0,2026-05-08,c2607,多单持仓,C
16,平安期货,16238,1356.0,2026-05-08,c2607,多单持仓,C
17,北京首创,15801,1864.0,2026-05-08,c2607,多单持仓,C
18,中金财富,13545,-7102.0,2026-05-08,c2607,多单持仓,C
19,光大期货,12366,248.0,2026-05-08,c2607,多单持仓,C
20,一德期货,12349,157.0,2026-05-08,c2607,多单持仓,C
