排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,197485,7041.0,2026-05-06,c2607,空单持仓,C
2,银河期货,127426,-32207.0,2026-05-06,c2607,空单持仓,C
3,国贸期货,105873,469.0,2026-05-06,c2607,空单持仓,C
4,中粮期货,95837,-21457.0,2026-05-06,c2607,空单持仓,C
5,东证期货,94273,4054.0,2026-05-06,c2607,空单持仓,C
6,中信期货,79147,4633.0,2026-05-06,c2607,空单持仓,C
7,瑞达期货,49933,269.0,2026-05-06,c2607,空单持仓,C
8,广发期货,46500,1373.0,2026-05-06,c2607,空单持仓,C
9,新湖期货,38421,55.0,2026-05-06,c2607,空单持仓,C
10,华泰期货,37539,1673.0,2026-05-06,c2607,空单持仓,C
11,国投期货,33768,-4655.0,2026-05-06,c2607,空单持仓,C
12,海通期货,33057,4192.0,2026-05-06,c2607,空单持仓,C
13,五矿期货,31877,8.0,2026-05-06,c2607,空单持仓,C
14,东吴期货,28380,101.0,2026-05-06,c2607,空单持仓,C
15,浙商期货,28178,-150.0,2026-05-06,c2607,空单持仓,C
16,中信建投,27923,-491.0,2026-05-06,c2607,空单持仓,C
17,光大期货,15631,-287.0,2026-05-06,c2607,空单持仓,C
18,东海期货,14524,983.0,2026-05-06,c2607,空单持仓,C
19,兴证期货,13696,-1899.0,2026-05-06,c2607,空单持仓,C
20,一德期货,12347,205.0,2026-05-06,c2607,空单持仓,C
1,国泰君安,197933,448.0,2026-05-07,c2607,空单持仓,C
2,银河期货,110811,-16615.0,2026-05-07,c2607,空单持仓,C
3,国贸期货,98817,-7056.0,2026-05-07,c2607,空单持仓,C
4,中粮期货,89905,-5932.0,2026-05-07,c2607,空单持仓,C
5,中信期货,87166,8019.0,2026-05-07,c2607,空单持仓,C
6,东证期货,77482,-16791.0,2026-05-07,c2607,空单持仓,C
7,广发期货,48409,1909.0,2026-05-07,c2607,空单持仓,C
8,瑞达期货,45942,-3991.0,2026-05-07,c2607,空单持仓,C
9,华泰期货,38502,963.0,2026-05-07,c2607,空单持仓,C
10,新湖期货,36519,-1902.0,2026-05-07,c2607,空单持仓,C
11,海通期货,34291,1234.0,2026-05-07,c2607,空单持仓,C
12,中信建投,27432,-491.0,2026-05-07,c2607,空单持仓,C
13,东吴期货,26931,-1449.0,2026-05-07,c2607,空单持仓,C
14,五矿期货,26068,-5809.0,2026-05-07,c2607,空单持仓,C
15,国投期货,24631,-9137.0,2026-05-07,c2607,空单持仓,C
16,浙商期货,22398,-5780.0,2026-05-07,c2607,空单持仓,C
17,光大期货,13976,-1655.0,2026-05-07,c2607,空单持仓,C
18,东海期货,13593,-931.0,2026-05-07,c2607,空单持仓,C
19,兴证期货,13270,-426.0,2026-05-07,c2607,空单持仓,C
20,永安期货,12314,1421.0,2026-05-07,c2607,空单持仓,C
1,国泰君安,187613,-10320.0,2026-05-08,c2607,空单持仓,C
2,银河期货,103044,-7767.0,2026-05-08,c2607,空单持仓,C
3,国贸期货,92176,-6641.0,2026-05-08,c2607,空单持仓,C
4,中信期货,89666,2500.0,2026-05-08,c2607,空单持仓,C
5,中粮期货,89020,-885.0,2026-05-08,c2607,空单持仓,C
6,东证期货,77229,-253.0,2026-05-08,c2607,空单持仓,C
7,广发期货,51051,2642.0,2026-05-08,c2607,空单持仓,C
8,瑞达期货,42685,-3257.0,2026-05-08,c2607,空单持仓,C
9,华泰期货,38027,-475.0,2026-05-08,c2607,空单持仓,C
10,海通期货,34226,-65.0,2026-05-08,c2607,空单持仓,C
11,新湖期货,32304,-4215.0,2026-05-08,c2607,空单持仓,C
12,中信建投,28903,1471.0,2026-05-08,c2607,空单持仓,C
13,东吴期货,23613,-3318.0,2026-05-08,c2607,空单持仓,C
14,国投期货,22813,-1818.0,2026-05-08,c2607,空单持仓,C
15,五矿期货,17804,-8264.0,2026-05-08,c2607,空单持仓,C
16,浙商期货,17144,-5254.0,2026-05-08,c2607,空单持仓,C
17,中金财富,15289,6283.0,2026-05-08,c2607,空单持仓,C
18,光大期货,13210,-766.0,2026-05-08,c2607,空单持仓,C
19,永安期货,13087,773.0,2026-05-08,c2607,空单持仓,C
20,东海期货,12491,-1102.0,2026-05-08,c2607,空单持仓,C
