排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,279333,149668.0,2026-05-06,c2607,成交量,C
2,国泰君安,277892,99732.0,2026-05-06,c2607,成交量,C
3,东证期货,189925,73131.0,2026-05-06,c2607,成交量,C
4,五矿期货,133422,29579.0,2026-05-06,c2607,成交量,C
5,广发期货,103628,74177.0,2026-05-06,c2607,成交量,C
6,银河期货,101532,54706.0,2026-05-06,c2607,成交量,C
7,中粮期货,78303,52144.0,2026-05-06,c2607,成交量,C
8,华泰期货,71162,40402.0,2026-05-06,c2607,成交量,C
9,华闻期货,54623,40340.0,2026-05-06,c2607,成交量,C
10,中泰期货,46442,34079.0,2026-05-06,c2607,成交量,C
11,中信建投,40280,20988.0,2026-05-06,c2607,成交量,C
12,海通期货,39866,25596.0,2026-05-06,c2607,成交量,C
13,永安期货,33863,19504.0,2026-05-06,c2607,成交量,C
14,南华期货,30952,7787.0,2026-05-06,c2607,成交量,C
15,国投期货,28145,20047.0,2026-05-06,c2607,成交量,C
16,申银万国,28104,1245.0,2026-05-06,c2607,成交量,C
17,国信期货,21319,13639.0,2026-05-06,c2607,成交量,C
18,兴证期货,20164,8492.0,2026-05-06,c2607,成交量,C
19,光大期货,19994,14692.0,2026-05-06,c2607,成交量,C
20,宏源期货,17900,12484.0,2026-05-06,c2607,成交量,C
1,国泰君安,283434,5542.0,2026-05-07,c2607,成交量,C
2,东证期货,196045,6120.0,2026-05-07,c2607,成交量,C
3,中信期货,190493,-88840.0,2026-05-07,c2607,成交量,C
4,五矿期货,176065,42643.0,2026-05-07,c2607,成交量,C
5,广发期货,83658,-19970.0,2026-05-07,c2607,成交量,C
6,银河期货,73774,-27758.0,2026-05-07,c2607,成交量,C
7,华泰期货,66742,-4420.0,2026-05-07,c2607,成交量,C
8,中泰期货,41563,-4879.0,2026-05-07,c2607,成交量,C
9,国投期货,40585,12440.0,2026-05-07,c2607,成交量,C
10,中粮期货,28831,-49472.0,2026-05-07,c2607,成交量,C
11,中信建投,27812,-12468.0,2026-05-07,c2607,成交量,C
12,南华期货,26036,-4916.0,2026-05-07,c2607,成交量,C
13,国联期货,23550,11207.0,2026-05-07,c2607,成交量,C
14,海通期货,23392,-16474.0,2026-05-07,c2607,成交量,C
15,中金财富,22479,8648.0,2026-05-07,c2607,成交量,C
16,华闻期货,22437,-32186.0,2026-05-07,c2607,成交量,C
17,国信期货,19138,-2181.0,2026-05-07,c2607,成交量,C
18,东方财富,18383,1445.0,2026-05-07,c2607,成交量,C
19,兴证期货,15550,-4614.0,2026-05-07,c2607,成交量,C
20,永安期货,14536,-19327.0,2026-05-07,c2607,成交量,C
1,国泰君安,228603,-54831.0,2026-05-08,c2607,成交量,C
2,五矿期货,180976,4911.0,2026-05-08,c2607,成交量,C
3,中信期货,180922,-9571.0,2026-05-08,c2607,成交量,C
4,东证期货,157636,-38409.0,2026-05-08,c2607,成交量,C
5,银河期货,80059,6285.0,2026-05-08,c2607,成交量,C
6,广发期货,65636,-18022.0,2026-05-08,c2607,成交量,C
7,华泰期货,59494,-7248.0,2026-05-08,c2607,成交量,C
8,中泰期货,34630,-6933.0,2026-05-08,c2607,成交量,C
9,中粮期货,26865,-1966.0,2026-05-08,c2607,成交量,C
10,南华期货,26388,352.0,2026-05-08,c2607,成交量,C
11,瑞达期货,24657,10229.0,2026-05-08,c2607,成交量,C
12,中信建投,24233,-3579.0,2026-05-08,c2607,成交量,C
13,海通期货,21831,-1561.0,2026-05-08,c2607,成交量,C
14,国联期货,21367,-2183.0,2026-05-08,c2607,成交量,C
15,东方财富,17673,-710.0,2026-05-08,c2607,成交量,C
16,华闻期货,16903,-5534.0,2026-05-08,c2607,成交量,C
17,中金财富,16381,-6098.0,2026-05-08,c2607,成交量,C
18,浙商期货,16240,5800.0,2026-05-08,c2607,成交量,C
19,永安期货,15530,994.0,2026-05-08,c2607,成交量,C
20,国贸期货,13207,1320.0,2026-05-08,c2607,成交量,C
