排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,69249,-1167.0,2026-05-06,CF2609,多单持仓,CF
2,国泰君安,68559,291.0,2026-05-06,CF2609,多单持仓,CF
3,东证期货,60882,-3820.0,2026-05-06,CF2609,多单持仓,CF
4,永安期货,30394,-88.0,2026-05-06,CF2609,多单持仓,CF
5,中金财富,29135,98.0,2026-05-06,CF2609,多单持仓,CF
6,华泰期货,24361,-2348.0,2026-05-06,CF2609,多单持仓,CF
7,银河期货,23514,3406.0,2026-05-06,CF2609,多单持仓,CF
8,中信建投,21107,672.0,2026-05-06,CF2609,多单持仓,CF
9,海通期货,20137,1437.0,2026-05-06,CF2609,多单持仓,CF
10,广发期货,20011,-53.0,2026-05-06,CF2609,多单持仓,CF
11,国投期货,18425,-1207.0,2026-05-06,CF2609,多单持仓,CF
12,光大期货,18354,366.0,2026-05-06,CF2609,多单持仓,CF
13,中粮期货,15350,973.0,2026-05-06,CF2609,多单持仓,CF
14,东吴期货,15160,-1362.0,2026-05-06,CF2609,多单持仓,CF
15,方正中期,13971,501.0,2026-05-06,CF2609,多单持仓,CF
16,中国国际,13186,-157.0,2026-05-06,CF2609,多单持仓,CF
17,中辉期货,12431,1173.0,2026-05-06,CF2609,多单持仓,CF
18,平安期货,12405,-233.0,2026-05-06,CF2609,多单持仓,CF
19,中泰期货,11084,-1005.0,2026-05-06,CF2609,多单持仓,CF
20,创元期货,10846,159.0,2026-05-06,CF2609,多单持仓,CF
1,中信期货,71835,2586.0,2026-05-07,CF2609,多单持仓,CF
2,国泰君安,64455,-4104.0,2026-05-07,CF2609,多单持仓,CF
3,东证期货,63488,2606.0,2026-05-07,CF2609,多单持仓,CF
4,永安期货,33621,3227.0,2026-05-07,CF2609,多单持仓,CF
5,中金财富,27065,-2070.0,2026-05-07,CF2609,多单持仓,CF
6,银河期货,23643,129.0,2026-05-07,CF2609,多单持仓,CF
7,中信建投,22991,1884.0,2026-05-07,CF2609,多单持仓,CF
8,华泰期货,21855,-2506.0,2026-05-07,CF2609,多单持仓,CF
9,广发期货,20330,319.0,2026-05-07,CF2609,多单持仓,CF
10,海通期货,20033,-104.0,2026-05-07,CF2609,多单持仓,CF
11,光大期货,18541,187.0,2026-05-07,CF2609,多单持仓,CF
12,国投期货,17181,-1244.0,2026-05-07,CF2609,多单持仓,CF
13,中粮期货,16086,736.0,2026-05-07,CF2609,多单持仓,CF
14,中国国际,14755,1569.0,2026-05-07,CF2609,多单持仓,CF
15,方正中期,14619,648.0,2026-05-07,CF2609,多单持仓,CF
16,中泰期货,13132,2048.0,2026-05-07,CF2609,多单持仓,CF
17,东吴期货,12781,-2379.0,2026-05-07,CF2609,多单持仓,CF
18,平安期货,12769,364.0,2026-05-07,CF2609,多单持仓,CF
19,中辉期货,11410,-1021.0,2026-05-07,CF2609,多单持仓,CF
20,国贸期货,10670,1383.0,2026-05-07,CF2609,多单持仓,CF
1,中信期货,66680,-5155.0,2026-05-08,CF2609,多单持仓,CF
2,东证期货,61242,-2246.0,2026-05-08,CF2609,多单持仓,CF
3,国泰君安,56470,-7985.0,2026-05-08,CF2609,多单持仓,CF
4,永安期货,33566,-55.0,2026-05-08,CF2609,多单持仓,CF
5,光大期货,27564,9023.0,2026-05-08,CF2609,多单持仓,CF
6,中金财富,27452,387.0,2026-05-08,CF2609,多单持仓,CF
7,中信建投,22787,-204.0,2026-05-08,CF2609,多单持仓,CF
8,银河期货,22498,-1145.0,2026-05-08,CF2609,多单持仓,CF
9,华泰期货,21173,-682.0,2026-05-08,CF2609,多单持仓,CF
10,海通期货,19080,-953.0,2026-05-08,CF2609,多单持仓,CF
11,广发期货,19000,-1330.0,2026-05-08,CF2609,多单持仓,CF
12,中国国际,16835,2080.0,2026-05-08,CF2609,多单持仓,CF
13,中粮期货,16178,92.0,2026-05-08,CF2609,多单持仓,CF
14,中泰期货,15344,2212.0,2026-05-08,CF2609,多单持仓,CF
15,方正中期,14879,260.0,2026-05-08,CF2609,多单持仓,CF
16,平安期货,12902,133.0,2026-05-08,CF2609,多单持仓,CF
17,国贸期货,12595,1925.0,2026-05-08,CF2609,多单持仓,CF
18,国投期货,12300,-4881.0,2026-05-08,CF2609,多单持仓,CF
19,创元期货,9688,-329.0,2026-05-08,CF2609,多单持仓,CF
20,东吴期货,9498,-3283.0,2026-05-08,CF2609,多单持仓,CF
