排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,89977,21.0,2026-05-06,CF2609,空单持仓,CF
2,中粮期货,65471,706.0,2026-05-06,CF2609,空单持仓,CF
3,国泰君安,63710,-1966.0,2026-05-06,CF2609,空单持仓,CF
4,银河期货,61144,789.0,2026-05-06,CF2609,空单持仓,CF
5,国贸期货,54422,342.0,2026-05-06,CF2609,空单持仓,CF
6,国投期货,46473,-434.0,2026-05-06,CF2609,空单持仓,CF
7,永安期货,40839,-888.0,2026-05-06,CF2609,空单持仓,CF
8,中国国际,40308,600.0,2026-05-06,CF2609,空单持仓,CF
9,融达期货,20296,-533.0,2026-05-06,CF2609,空单持仓,CF
10,东证期货,19021,2295.0,2026-05-06,CF2609,空单持仓,CF
11,华泰期货,14001,-554.0,2026-05-06,CF2609,空单持仓,CF
12,中泰期货,13236,1151.0,2026-05-06,CF2609,空单持仓,CF
13,瑞达期货,13013,259.0,2026-05-06,CF2609,空单持仓,CF
14,长江期货,12949,-84.0,2026-05-06,CF2609,空单持仓,CF
15,金石期货,12610,-859.0,2026-05-06,CF2609,空单持仓,CF
16,中信建投,12519,-512.0,2026-05-06,CF2609,空单持仓,CF
17,新湖期货,12164,-804.0,2026-05-06,CF2609,空单持仓,CF
18,建信期货,11763,-224.0,2026-05-06,CF2609,空单持仓,CF
19,浙商期货,11424,-212.0,2026-05-06,CF2609,空单持仓,CF
20,大地期货,11211,-2232.0,2026-05-06,CF2609,空单持仓,CF
1,中信期货,91647,1670.0,2026-05-07,CF2609,空单持仓,CF
2,国泰君安,63798,88.0,2026-05-07,CF2609,空单持仓,CF
3,中粮期货,63029,-2442.0,2026-05-07,CF2609,空单持仓,CF
4,银河期货,59511,-1633.0,2026-05-07,CF2609,空单持仓,CF
5,国贸期货,55807,1385.0,2026-05-07,CF2609,空单持仓,CF
6,国投期货,44718,-1755.0,2026-05-07,CF2609,空单持仓,CF
7,永安期货,41066,227.0,2026-05-07,CF2609,空单持仓,CF
8,中国国际,40320,12.0,2026-05-07,CF2609,空单持仓,CF
9,东证期货,25228,6207.0,2026-05-07,CF2609,空单持仓,CF
10,融达期货,19468,-828.0,2026-05-07,CF2609,空单持仓,CF
11,华泰期货,15657,1656.0,2026-05-07,CF2609,空单持仓,CF
12,瑞达期货,14277,1264.0,2026-05-07,CF2609,空单持仓,CF
13,中信建投,13311,792.0,2026-05-07,CF2609,空单持仓,CF
14,长江期货,12842,-107.0,2026-05-07,CF2609,空单持仓,CF
15,金石期货,12411,-199.0,2026-05-07,CF2609,空单持仓,CF
16,一德期货,12406,3785.0,2026-05-07,CF2609,空单持仓,CF
17,新湖期货,12096,-68.0,2026-05-07,CF2609,空单持仓,CF
18,中泰期货,11953,-1283.0,2026-05-07,CF2609,空单持仓,CF
19,大地期货,11503,292.0,2026-05-07,CF2609,空单持仓,CF
20,建信期货,11459,-304.0,2026-05-07,CF2609,空单持仓,CF
1,中信期货,88812,-2835.0,2026-05-08,CF2609,空单持仓,CF
2,国泰君安,62538,-1260.0,2026-05-08,CF2609,空单持仓,CF
3,中粮期货,58507,-4522.0,2026-05-08,CF2609,空单持仓,CF
4,银河期货,57628,-1883.0,2026-05-08,CF2609,空单持仓,CF
5,国贸期货,57591,1784.0,2026-05-08,CF2609,空单持仓,CF
6,国投期货,42873,-1845.0,2026-05-08,CF2609,空单持仓,CF
7,永安期货,40173,-893.0,2026-05-08,CF2609,空单持仓,CF
8,中国国际,38779,-1541.0,2026-05-08,CF2609,空单持仓,CF
9,东证期货,24386,-842.0,2026-05-08,CF2609,空单持仓,CF
10,融达期货,19003,-465.0,2026-05-08,CF2609,空单持仓,CF
11,中信建投,14284,973.0,2026-05-08,CF2609,空单持仓,CF
12,瑞达期货,13728,-549.0,2026-05-08,CF2609,空单持仓,CF
13,一德期货,12976,570.0,2026-05-08,CF2609,空单持仓,CF
14,金石期货,12084,-327.0,2026-05-08,CF2609,空单持仓,CF
15,华泰期货,11999,-3658.0,2026-05-08,CF2609,空单持仓,CF
16,浙商期货,11852,795.0,2026-05-08,CF2609,空单持仓,CF
17,新湖期货,11614,-482.0,2026-05-08,CF2609,空单持仓,CF
18,长江期货,11386,-1456.0,2026-05-08,CF2609,空单持仓,CF
19,中泰期货,10675,-1278.0,2026-05-08,CF2609,空单持仓,CF
20,建信期货,10447,-1012.0,2026-05-08,CF2609,空单持仓,CF
