排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,132082,37874.0,2026-05-06,CF2609,成交量,CF
2,东证期货,120231,26253.0,2026-05-06,CF2609,成交量,CF
3,国泰君安,98781,30357.0,2026-05-06,CF2609,成交量,CF
4,华闻期货,72242,11370.0,2026-05-06,CF2609,成交量,CF
5,银河期货,64811,14997.0,2026-05-06,CF2609,成交量,CF
6,华泰期货,39524,14215.0,2026-05-06,CF2609,成交量,CF
7,广发期货,25477,4011.0,2026-05-06,CF2609,成交量,CF
8,南华期货,23981,12080.0,2026-05-06,CF2609,成交量,CF
9,海通期货,23533,10859.0,2026-05-06,CF2609,成交量,CF
10,中泰期货,23468,5500.0,2026-05-06,CF2609,成交量,CF
11,光大期货,18930,-1127.0,2026-05-06,CF2609,成交量,CF
12,国信期货,17838,519.0,2026-05-06,CF2609,成交量,CF
13,中信建投,17180,5903.0,2026-05-06,CF2609,成交量,CF
14,中辉期货,16491,-107.0,2026-05-06,CF2609,成交量,CF
15,国盛期货,14816,6405.0,2026-05-06,CF2609,成交量,CF
16,东吴期货,14257,-2202.0,2026-05-06,CF2609,成交量,CF
17,浙商期货,13498,5084.0,2026-05-06,CF2609,成交量,CF
18,方正中期,12150,794.0,2026-05-06,CF2609,成交量,CF
19,渤海期货,11234,4626.0,2026-05-06,CF2609,成交量,CF
20,招商期货,10844,-3355.0,2026-05-06,CF2609,成交量,CF
1,国泰君安,147680,48899.0,2026-05-07,CF2609,成交量,CF
2,东证期货,132509,12278.0,2026-05-07,CF2609,成交量,CF
3,中信期货,131648,-434.0,2026-05-07,CF2609,成交量,CF
4,华闻期货,102022,29780.0,2026-05-07,CF2609,成交量,CF
5,银河期货,78338,13527.0,2026-05-07,CF2609,成交量,CF
6,广发期货,58762,33285.0,2026-05-07,CF2609,成交量,CF
7,华泰期货,40804,1280.0,2026-05-07,CF2609,成交量,CF
8,南华期货,27258,3277.0,2026-05-07,CF2609,成交量,CF
9,国信期货,26055,8217.0,2026-05-07,CF2609,成交量,CF
10,中泰期货,24457,989.0,2026-05-07,CF2609,成交量,CF
11,中信建投,24422,7242.0,2026-05-07,CF2609,成交量,CF
12,招商期货,24247,13403.0,2026-05-07,CF2609,成交量,CF
13,光大期货,23804,4874.0,2026-05-07,CF2609,成交量,CF
14,国投期货,22967,12582.0,2026-05-07,CF2609,成交量,CF
15,中辉期货,22950,6459.0,2026-05-07,CF2609,成交量,CF
16,东方财富,21111,10676.0,2026-05-07,CF2609,成交量,CF
17,国盛期货,20970,6154.0,2026-05-07,CF2609,成交量,CF
18,东吴期货,20380,6123.0,2026-05-07,CF2609,成交量,CF
19,浙商期货,20282,6784.0,2026-05-07,CF2609,成交量,CF
20,徽商期货,19205,8814.0,2026-05-07,CF2609,成交量,CF
1,国泰君安,173409,25729.0,2026-05-08,CF2609,成交量,CF
2,中信期货,164450,32802.0,2026-05-08,CF2609,成交量,CF
3,华闻期货,138666,36644.0,2026-05-08,CF2609,成交量,CF
4,东证期货,133862,1353.0,2026-05-08,CF2609,成交量,CF
5,银河期货,104292,25954.0,2026-05-08,CF2609,成交量,CF
6,广发期货,79834,21072.0,2026-05-08,CF2609,成交量,CF
7,华泰期货,50308,9504.0,2026-05-08,CF2609,成交量,CF
8,南华期货,30757,3499.0,2026-05-08,CF2609,成交量,CF
9,中信建投,30337,5915.0,2026-05-08,CF2609,成交量,CF
10,光大期货,29548,5744.0,2026-05-08,CF2609,成交量,CF
11,中泰期货,29444,4987.0,2026-05-08,CF2609,成交量,CF
12,国信期货,29426,3371.0,2026-05-08,CF2609,成交量,CF
13,中辉期货,29267,6317.0,2026-05-08,CF2609,成交量,CF
14,东吴期货,27577,7197.0,2026-05-08,CF2609,成交量,CF
15,招商期货,26953,2706.0,2026-05-08,CF2609,成交量,CF
16,浙商期货,26364,6082.0,2026-05-08,CF2609,成交量,CF
17,海通期货,24702,6627.0,2026-05-08,CF2609,成交量,CF
18,国盛期货,23756,2786.0,2026-05-08,CF2609,成交量,CF
19,永安期货,23372,6278.0,2026-05-08,CF2609,成交量,CF
20,国投期货,22848,-119.0,2026-05-08,CF2609,成交量,CF
