排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,29162,1759.0,2026-05-06,cu2606,多单持仓,CU
2,中信期货,23546,1939.0,2026-05-06,cu2606,多单持仓,CU
3,东证期货,9903,1062.0,2026-05-06,cu2606,多单持仓,CU
4,永安期货,9277,573.0,2026-05-06,cu2606,多单持仓,CU
5,银河期货,5975,215.0,2026-05-06,cu2606,多单持仓,CU
6,铜冠金源,5602,-85.0,2026-05-06,cu2606,多单持仓,CU
7,华泰期货,4818,186.0,2026-05-06,cu2606,多单持仓,CU
8,金瑞期货,3598,-101.0,2026-05-06,cu2606,多单持仓,CU
9,中金财富,3595,273.0,2026-05-06,cu2606,多单持仓,CU
10,广发期货,3568,443.0,2026-05-06,cu2606,多单持仓,CU
11,光大期货,3456,-212.0,2026-05-06,cu2606,多单持仓,CU
12,招商期货,3412,450.0,2026-05-06,cu2606,多单持仓,CU
13,云晨期货,3114,-17.0,2026-05-06,cu2606,多单持仓,CU
14,海通期货,3043,1020.0,2026-05-06,cu2606,多单持仓,CU
15,国投期货,3025,-281.0,2026-05-06,cu2606,多单持仓,CU
16,信达期货,2967,108.0,2026-05-06,cu2606,多单持仓,CU
17,方正中期,2844,210.0,2026-05-06,cu2606,多单持仓,CU
18,东吴期货,2673,198.0,2026-05-06,cu2606,多单持仓,CU
19,南华期货,2621,44.0,2026-05-06,cu2606,多单持仓,CU
20,国信期货,2573,498.0,2026-05-06,cu2606,多单持仓,CU
1,国泰君安,29380,218.0,2026-05-07,cu2606,多单持仓,CU
2,中信期货,23580,34.0,2026-05-07,cu2606,多单持仓,CU
3,东证期货,11059,1156.0,2026-05-07,cu2606,多单持仓,CU
4,永安期货,8208,-1069.0,2026-05-07,cu2606,多单持仓,CU
5,银河期货,6238,263.0,2026-05-07,cu2606,多单持仓,CU
6,铜冠金源,5674,72.0,2026-05-07,cu2606,多单持仓,CU
7,华泰期货,4668,-150.0,2026-05-07,cu2606,多单持仓,CU
8,广发期货,3639,71.0,2026-05-07,cu2606,多单持仓,CU
9,中金财富,3595,0.0,2026-05-07,cu2606,多单持仓,CU
10,招商期货,3413,1.0,2026-05-07,cu2606,多单持仓,CU
11,金瑞期货,3395,-203.0,2026-05-07,cu2606,多单持仓,CU
12,光大期货,3388,-68.0,2026-05-07,cu2606,多单持仓,CU
13,南华期货,3240,619.0,2026-05-07,cu2606,多单持仓,CU
14,云晨期货,3115,1.0,2026-05-07,cu2606,多单持仓,CU
15,国投期货,3033,8.0,2026-05-07,cu2606,多单持仓,CU
16,方正中期,2890,46.0,2026-05-07,cu2606,多单持仓,CU
17,东吴期货,2720,47.0,2026-05-07,cu2606,多单持仓,CU
18,国信期货,2546,-27.0,2026-05-07,cu2606,多单持仓,CU
19,中信建投,2531,76.0,2026-05-07,cu2606,多单持仓,CU
20,海通期货,2478,-565.0,2026-05-07,cu2606,多单持仓,CU
1,国泰君安,30053,673.0,2026-05-08,cu2606,多单持仓,CU
2,中信期货,24279,699.0,2026-05-08,cu2606,多单持仓,CU
3,东证期货,10142,-917.0,2026-05-08,cu2606,多单持仓,CU
4,永安期货,9025,817.0,2026-05-08,cu2606,多单持仓,CU
5,银河期货,7120,882.0,2026-05-08,cu2606,多单持仓,CU
6,铜冠金源,5820,146.0,2026-05-08,cu2606,多单持仓,CU
7,华泰期货,5276,608.0,2026-05-08,cu2606,多单持仓,CU
8,广发期货,4406,767.0,2026-05-08,cu2606,多单持仓,CU
9,海通期货,3873,1395.0,2026-05-08,cu2606,多单持仓,CU
10,招商期货,3726,313.0,2026-05-08,cu2606,多单持仓,CU
11,金瑞期货,3603,208.0,2026-05-08,cu2606,多单持仓,CU
12,中金财富,3385,-210.0,2026-05-08,cu2606,多单持仓,CU
13,光大期货,3331,-57.0,2026-05-08,cu2606,多单持仓,CU
14,云晨期货,3107,-8.0,2026-05-08,cu2606,多单持仓,CU
15,东吴期货,3093,373.0,2026-05-08,cu2606,多单持仓,CU
16,国投期货,3074,41.0,2026-05-08,cu2606,多单持仓,CU
17,南华期货,3037,-203.0,2026-05-08,cu2606,多单持仓,CU
18,方正中期,2956,66.0,2026-05-08,cu2606,多单持仓,CU
19,中信建投,2587,56.0,2026-05-08,cu2606,多单持仓,CU
20,国信期货,2451,-95.0,2026-05-08,cu2606,多单持仓,CU
