排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,18793,260.0,2026-05-06,cu2606,空单持仓,CU
2,金瑞期货,18680,640.0,2026-05-06,cu2606,空单持仓,CU
3,银河期货,14107,565.0,2026-05-06,cu2606,空单持仓,CU
4,国泰君安,13751,576.0,2026-05-06,cu2606,空单持仓,CU
5,五矿期货,8581,215.0,2026-05-06,cu2606,空单持仓,CU
6,东证期货,7690,10.0,2026-05-06,cu2606,空单持仓,CU
7,光大期货,7403,-2.0,2026-05-06,cu2606,空单持仓,CU
8,云晨期货,6884,650.0,2026-05-06,cu2606,空单持仓,CU
9,紫金天风,5069,335.0,2026-05-06,cu2606,空单持仓,CU
10,建信期货,4486,441.0,2026-05-06,cu2606,空单持仓,CU
11,华泰期货,4237,484.0,2026-05-06,cu2606,空单持仓,CU
12,中粮期货,4202,166.0,2026-05-06,cu2606,空单持仓,CU
13,国联期货,4040,187.0,2026-05-06,cu2606,空单持仓,CU
14,广发期货,3908,-115.0,2026-05-06,cu2606,空单持仓,CU
15,国投期货,3429,-51.0,2026-05-06,cu2606,空单持仓,CU
16,国贸期货,3394,499.0,2026-05-06,cu2606,空单持仓,CU
17,方正中期,3341,514.0,2026-05-06,cu2606,空单持仓,CU
18,兴业期货,3206,104.0,2026-05-06,cu2606,空单持仓,CU
19,中金岭南,2834,8.0,2026-05-06,cu2606,空单持仓,CU
20,国信期货,2770,353.0,2026-05-06,cu2606,空单持仓,CU
1,中信期货,19622,829.0,2026-05-07,cu2606,空单持仓,CU
2,金瑞期货,19017,337.0,2026-05-07,cu2606,空单持仓,CU
3,银河期货,14245,138.0,2026-05-07,cu2606,空单持仓,CU
4,国泰君安,13361,-390.0,2026-05-07,cu2606,空单持仓,CU
5,五矿期货,9031,450.0,2026-05-07,cu2606,空单持仓,CU
6,光大期货,6885,-518.0,2026-05-07,cu2606,空单持仓,CU
7,东证期货,6606,-1084.0,2026-05-07,cu2606,空单持仓,CU
8,云晨期货,6454,-430.0,2026-05-07,cu2606,空单持仓,CU
9,紫金天风,5096,27.0,2026-05-07,cu2606,空单持仓,CU
10,中粮期货,4899,697.0,2026-05-07,cu2606,空单持仓,CU
11,建信期货,4365,-121.0,2026-05-07,cu2606,空单持仓,CU
12,华泰期货,4175,-62.0,2026-05-07,cu2606,空单持仓,CU
13,国联期货,3723,-317.0,2026-05-07,cu2606,空单持仓,CU
14,国贸期货,3635,241.0,2026-05-07,cu2606,空单持仓,CU
15,国投期货,3607,178.0,2026-05-07,cu2606,空单持仓,CU
16,兴业期货,3355,149.0,2026-05-07,cu2606,空单持仓,CU
17,广发期货,3215,-693.0,2026-05-07,cu2606,空单持仓,CU
18,方正中期,3206,-135.0,2026-05-07,cu2606,空单持仓,CU
19,中金岭南,2830,-4.0,2026-05-07,cu2606,空单持仓,CU
20,长江期货,2761,231.0,2026-05-07,cu2606,空单持仓,CU
1,中信期货,20938,1316.0,2026-05-08,cu2606,空单持仓,CU
2,金瑞期货,20555,1538.0,2026-05-08,cu2606,空单持仓,CU
3,银河期货,14842,597.0,2026-05-08,cu2606,空单持仓,CU
4,国泰君安,13286,-75.0,2026-05-08,cu2606,空单持仓,CU
5,五矿期货,8527,-504.0,2026-05-08,cu2606,空单持仓,CU
6,东证期货,7099,493.0,2026-05-08,cu2606,空单持仓,CU
7,光大期货,6998,113.0,2026-05-08,cu2606,空单持仓,CU
8,云晨期货,6214,-240.0,2026-05-08,cu2606,空单持仓,CU
9,华泰期货,5212,1037.0,2026-05-08,cu2606,空单持仓,CU
10,紫金天风,5120,24.0,2026-05-08,cu2606,空单持仓,CU
11,中粮期货,4751,-148.0,2026-05-08,cu2606,空单持仓,CU
12,建信期货,4440,75.0,2026-05-08,cu2606,空单持仓,CU
13,国贸期货,4150,515.0,2026-05-08,cu2606,空单持仓,CU
14,国联期货,3984,261.0,2026-05-08,cu2606,空单持仓,CU
15,国投期货,3531,-76.0,2026-05-08,cu2606,空单持仓,CU
16,兴业期货,3493,138.0,2026-05-08,cu2606,空单持仓,CU
17,方正中期,3423,217.0,2026-05-08,cu2606,空单持仓,CU
18,广发期货,3170,-45.0,2026-05-08,cu2606,空单持仓,CU
19,中金岭南,2841,11.0,2026-05-08,cu2606,空单持仓,CU
20,南华期货,2820,377.0,2026-05-08,cu2606,空单持仓,CU
