排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,16235,-6355.0,2026-05-06,cu2606,成交量,CU
2,东证期货,12350,-4723.0,2026-05-06,cu2606,成交量,CU
3,中信期货,9855,-3841.0,2026-05-06,cu2606,成交量,CU
4,华泰期货,5402,-3637.0,2026-05-06,cu2606,成交量,CU
5,银河期货,4752,-1771.0,2026-05-06,cu2606,成交量,CU
6,国信期货,3811,-761.0,2026-05-06,cu2606,成交量,CU
7,浙商期货,3678,1148.0,2026-05-06,cu2606,成交量,CU
8,海通期货,2608,-534.0,2026-05-06,cu2606,成交量,CU
9,中泰期货,2287,-438.0,2026-05-06,cu2606,成交量,CU
10,广发期货,2282,-2692.0,2026-05-06,cu2606,成交量,CU
11,方正中期,2236,23.0,2026-05-06,cu2606,成交量,CU
12,金瑞期货,2129,-2081.0,2026-05-06,cu2606,成交量,CU
13,永安期货,1761,-709.0,2026-05-06,cu2606,成交量,CU
14,南华期货,1649,-2677.0,2026-05-06,cu2606,成交量,CU
15,东吴期货,1615,-531.0,2026-05-06,cu2606,成交量,CU
16,国贸期货,1577,-83.0,2026-05-06,cu2606,成交量,CU
17,中信建投,1491,-1146.0,2026-05-06,cu2606,成交量,CU
18,光大期货,1410,-2212.0,2026-05-06,cu2606,成交量,CU
19,申万期货,1318,-283.0,2026-05-06,cu2606,成交量,CU
20,招商期货,1314,119.0,2026-05-06,cu2606,成交量,CU
1,国泰君安,23580,7345.0,2026-05-07,cu2606,成交量,CU
2,东证期货,17334,4984.0,2026-05-07,cu2606,成交量,CU
3,中信期货,15979,6124.0,2026-05-07,cu2606,成交量,CU
4,华泰期货,8614,3212.0,2026-05-07,cu2606,成交量,CU
5,国信期货,5184,1373.0,2026-05-07,cu2606,成交量,CU
6,银河期货,5157,405.0,2026-05-07,cu2606,成交量,CU
7,金瑞期货,3704,1575.0,2026-05-07,cu2606,成交量,CU
8,广发期货,3436,1154.0,2026-05-07,cu2606,成交量,CU
9,海通期货,3296,688.0,2026-05-07,cu2606,成交量,CU
10,光大期货,3106,1696.0,2026-05-07,cu2606,成交量,CU
11,浙商期货,2775,-903.0,2026-05-07,cu2606,成交量,CU
12,南华期货,2763,1114.0,2026-05-07,cu2606,成交量,CU
13,申万期货,2667,1349.0,2026-05-07,cu2606,成交量,CU
14,中泰期货,2451,164.0,2026-05-07,cu2606,成交量,CU
15,方正中期,2345,109.0,2026-05-07,cu2606,成交量,CU
16,国元期货,2284,1303.0,2026-05-07,cu2606,成交量,CU
17,永安期货,2041,280.0,2026-05-07,cu2606,成交量,CU
18,华闻期货,2040,904.0,2026-05-07,cu2606,成交量,CU
19,信达期货,1841,1283.0,2026-05-07,cu2606,成交量,CU
20,中信建投,1745,254.0,2026-05-07,cu2606,成交量,CU
1,国泰君安,44676,21096.0,2026-05-08,cu2606,成交量,CU
2,东证期货,30032,12698.0,2026-05-08,cu2606,成交量,CU
3,中信期货,29391,13412.0,2026-05-08,cu2606,成交量,CU
4,华泰期货,13923,5309.0,2026-05-08,cu2606,成交量,CU
5,银河期货,9463,4306.0,2026-05-08,cu2606,成交量,CU
6,海通期货,6935,3639.0,2026-05-08,cu2606,成交量,CU
7,浙商期货,6542,3767.0,2026-05-08,cu2606,成交量,CU
8,金瑞期货,6400,2696.0,2026-05-08,cu2606,成交量,CU
9,国信期货,6398,1214.0,2026-05-08,cu2606,成交量,CU
10,中泰期货,5797,3346.0,2026-05-08,cu2606,成交量,CU
11,国元期货,5474,3190.0,2026-05-08,cu2606,成交量,CU
12,南华期货,5070,2307.0,2026-05-08,cu2606,成交量,CU
13,广发期货,4632,1196.0,2026-05-08,cu2606,成交量,CU
14,中信建投,4596,2851.0,2026-05-08,cu2606,成交量,CU
15,方正中期,4209,1864.0,2026-05-08,cu2606,成交量,CU
16,国联期货,4074,2493.0,2026-05-08,cu2606,成交量,CU
17,申万期货,3973,1306.0,2026-05-08,cu2606,成交量,CU
18,光大期货,3952,846.0,2026-05-08,cu2606,成交量,CU
19,东吴期货,3838,2258.0,2026-05-08,cu2606,成交量,CU
20,永安期货,3607,1566.0,2026-05-08,cu2606,成交量,CU
