排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,宏源期货,1645,-8.0,2026-05-06,CY2607,多单持仓,CY
2,国投期货,1358,-43.0,2026-05-06,CY2607,多单持仓,CY
3,国泰君安,1329,100.0,2026-05-06,CY2607,多单持仓,CY
4,永安期货,1320,112.0,2026-05-06,CY2607,多单持仓,CY
5,锦泰期货,1000,0.0,2026-05-06,CY2607,多单持仓,CY
6,五矿期货,957,21.0,2026-05-06,CY2607,多单持仓,CY
7,浙商期货,861,37.0,2026-05-06,CY2607,多单持仓,CY
8,东证期货,853,33.0,2026-05-06,CY2607,多单持仓,CY
9,申银万国,844,-35.0,2026-05-06,CY2607,多单持仓,CY
10,中信建投,746,412.0,2026-05-06,CY2607,多单持仓,CY
11,弘业期货,652,1.0,2026-05-06,CY2607,多单持仓,CY
12,南华期货,629,-7.0,2026-05-06,CY2607,多单持仓,CY
13,国海良时,601,-7.0,2026-05-06,CY2607,多单持仓,CY
14,银河期货,501,-35.0,2026-05-06,CY2607,多单持仓,CY
15,中信期货,435,20.0,2026-05-06,CY2607,多单持仓,CY
16,瑞达期货,411,4.0,2026-05-06,CY2607,多单持仓,CY
17,平安期货,329,-62.0,2026-05-06,CY2607,多单持仓,CY
18,齐盛期货,169,-7.0,2026-05-06,CY2607,多单持仓,CY
19,创元期货,163,-5.0,2026-05-06,CY2607,多单持仓,CY
20,东航期货,112,-12.0,2026-05-06,CY2607,多单持仓,CY
1,永安期货,1663,343.0,2026-05-07,CY2607,多单持仓,CY
2,宏源期货,1646,1.0,2026-05-07,CY2607,多单持仓,CY
3,中信建投,1360,614.0,2026-05-07,CY2607,多单持仓,CY
4,国投期货,1339,-19.0,2026-05-07,CY2607,多单持仓,CY
5,国泰君安,1253,-76.0,2026-05-07,CY2607,多单持仓,CY
6,五矿期货,1134,177.0,2026-05-07,CY2607,多单持仓,CY
7,锦泰期货,1000,0.0,2026-05-07,CY2607,多单持仓,CY
8,浙商期货,859,-2.0,2026-05-07,CY2607,多单持仓,CY
9,东证期货,835,-18.0,2026-05-07,CY2607,多单持仓,CY
10,申银万国,817,-27.0,2026-05-07,CY2607,多单持仓,CY
11,弘业期货,651,-1.0,2026-05-07,CY2607,多单持仓,CY
12,南华期货,643,14.0,2026-05-07,CY2607,多单持仓,CY
13,国海良时,618,17.0,2026-05-07,CY2607,多单持仓,CY
14,银河期货,588,87.0,2026-05-07,CY2607,多单持仓,CY
15,瑞达期货,510,99.0,2026-05-07,CY2607,多单持仓,CY
16,平安期货,363,34.0,2026-05-07,CY2607,多单持仓,CY
17,中信期货,298,-137.0,2026-05-07,CY2607,多单持仓,CY
18,齐盛期货,169,0.0,2026-05-07,CY2607,多单持仓,CY
19,创元期货,164,1.0,2026-05-07,CY2607,多单持仓,CY
20,东航期货,131,19.0,2026-05-07,CY2607,多单持仓,CY
1,永安期货,1962,299.0,2026-05-08,CY2607,多单持仓,CY
2,中信建投,1931,571.0,2026-05-08,CY2607,多单持仓,CY
3,宏源期货,1648,2.0,2026-05-08,CY2607,多单持仓,CY
4,国泰君安,1597,344.0,2026-05-08,CY2607,多单持仓,CY
5,国投期货,1332,-7.0,2026-05-08,CY2607,多单持仓,CY
6,锦泰期货,1000,0.0,2026-05-08,CY2607,多单持仓,CY
7,五矿期货,947,-187.0,2026-05-08,CY2607,多单持仓,CY
8,浙商期货,842,-17.0,2026-05-08,CY2607,多单持仓,CY
9,申银万国,814,-3.0,2026-05-08,CY2607,多单持仓,CY
10,东证期货,784,-51.0,2026-05-08,CY2607,多单持仓,CY
11,南华期货,704,61.0,2026-05-08,CY2607,多单持仓,CY
12,弘业期货,651,0.0,2026-05-08,CY2607,多单持仓,CY
13,国海良时,605,-13.0,2026-05-08,CY2607,多单持仓,CY
14,银河期货,574,-14.0,2026-05-08,CY2607,多单持仓,CY
15,瑞达期货,509,-1.0,2026-05-08,CY2607,多单持仓,CY
16,平安期货,437,74.0,2026-05-08,CY2607,多单持仓,CY
17,中信期货,260,-38.0,2026-05-08,CY2607,多单持仓,CY
18,齐盛期货,173,4.0,2026-05-08,CY2607,多单持仓,CY
19,创元期货,157,-7.0,2026-05-08,CY2607,多单持仓,CY
20,东航期货,146,15.0,2026-05-08,CY2607,多单持仓,CY
