排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,永安期货,3702,39.0,2026-05-06,CY2607,空单持仓,CY
2,广州期货,1879,70.0,2026-05-06,CY2607,空单持仓,CY
3,宏源期货,1593,0.0,2026-05-06,CY2607,空单持仓,CY
4,国投期货,1014,-3.0,2026-05-06,CY2607,空单持仓,CY
5,锦泰期货,1001,0.0,2026-05-06,CY2607,空单持仓,CY
6,五矿期货,945,21.0,2026-05-06,CY2607,空单持仓,CY
7,申银万国,853,-24.0,2026-05-06,CY2607,空单持仓,CY
8,中信建投,769,406.0,2026-05-06,CY2607,空单持仓,CY
9,浙商期货,762,34.0,2026-05-06,CY2607,空单持仓,CY
10,弘业期货,681,0.0,2026-05-06,CY2607,空单持仓,CY
11,南华期货,649,17.0,2026-05-06,CY2607,空单持仓,CY
12,国泰君安,645,-51.0,2026-05-06,CY2607,空单持仓,CY
13,国海良时,594,-5.0,2026-05-06,CY2607,空单持仓,CY
14,中融汇信,449,153.0,2026-05-06,CY2607,空单持仓,CY
15,中粮期货,154,0.0,2026-05-06,CY2607,空单持仓,CY
16,中信期货,125,-17.0,2026-05-06,CY2607,空单持仓,CY
17,方正中期,120,18.0,2026-05-06,CY2607,空单持仓,CY
18,金石期货,100,0.0,2026-05-06,CY2607,空单持仓,CY
19,东方财富,78,-2.0,2026-05-06,CY2607,空单持仓,CY
20,东吴期货,71,4.0,2026-05-06,CY2607,空单持仓,CY
1,永安期货,4038,336.0,2026-05-07,CY2607,空单持仓,CY
2,广州期货,1876,-3.0,2026-05-07,CY2607,空单持仓,CY
3,宏源期货,1595,2.0,2026-05-07,CY2607,空单持仓,CY
4,中信建投,1393,624.0,2026-05-07,CY2607,空单持仓,CY
5,五矿期货,1107,162.0,2026-05-07,CY2607,空单持仓,CY
6,国投期货,1014,0.0,2026-05-07,CY2607,空单持仓,CY
7,锦泰期货,1001,0.0,2026-05-07,CY2607,空单持仓,CY
8,申银万国,811,-42.0,2026-05-07,CY2607,空单持仓,CY
9,浙商期货,764,2.0,2026-05-07,CY2607,空单持仓,CY
10,国泰君安,696,51.0,2026-05-07,CY2607,空单持仓,CY
11,弘业期货,681,0.0,2026-05-07,CY2607,空单持仓,CY
12,南华期货,624,-25.0,2026-05-07,CY2607,空单持仓,CY
13,国海良时,611,17.0,2026-05-07,CY2607,空单持仓,CY
14,中融汇信,449,0.0,2026-05-07,CY2607,空单持仓,CY
15,中粮期货,138,-16.0,2026-05-07,CY2607,空单持仓,CY
16,方正中期,137,17.0,2026-05-07,CY2607,空单持仓,CY
17,金石期货,100,0.0,2026-05-07,CY2607,空单持仓,CY
18,中信期货,94,-31.0,2026-05-07,CY2607,空单持仓,CY
19,东吴期货,83,12.0,2026-05-07,CY2607,空单持仓,CY
20,东方财富,77,-1.0,2026-05-07,CY2607,空单持仓,CY
1,永安期货,4188,150.0,2026-05-08,CY2607,空单持仓,CY
2,中信建投,1977,584.0,2026-05-08,CY2607,空单持仓,CY
3,广州期货,1826,-50.0,2026-05-08,CY2607,空单持仓,CY
4,宏源期货,1603,8.0,2026-05-08,CY2607,空单持仓,CY
5,国投期货,1011,-3.0,2026-05-08,CY2607,空单持仓,CY
6,锦泰期货,1001,0.0,2026-05-08,CY2607,空单持仓,CY
7,五矿期货,921,-186.0,2026-05-08,CY2607,空单持仓,CY
8,申银万国,812,1.0,2026-05-08,CY2607,空单持仓,CY
9,浙商期货,761,-3.0,2026-05-08,CY2607,空单持仓,CY
10,国泰君安,682,-14.0,2026-05-08,CY2607,空单持仓,CY
11,弘业期货,681,0.0,2026-05-08,CY2607,空单持仓,CY
12,南华期货,627,3.0,2026-05-08,CY2607,空单持仓,CY
13,国海良时,601,-10.0,2026-05-08,CY2607,空单持仓,CY
14,中融汇信,449,0.0,2026-05-08,CY2607,空单持仓,CY
15,中信期货,271,177.0,2026-05-08,CY2607,空单持仓,CY
16,中金岭南,270,270.0,2026-05-08,CY2607,空单持仓,CY
17,中粮期货,129,-9.0,2026-05-08,CY2607,空单持仓,CY
18,创元期货,112,109.0,2026-05-08,CY2607,空单持仓,CY
19,金石期货,102,2.0,2026-05-08,CY2607,空单持仓,CY
20,银河期货,88,33.0,2026-05-08,CY2607,空单持仓,CY
