排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,东证期货,3123,-225.0,2026-05-06,CY2607,成交量,CY
2,海通期货,2611,-334.0,2026-05-06,CY2607,成交量,CY
3,中信期货,1209,124.0,2026-05-06,CY2607,成交量,CY
4,国投期货,1096,-105.0,2026-05-06,CY2607,成交量,CY
5,南华期货,1068,862.0,2026-05-06,CY2607,成交量,CY
6,国泰君安,907,-125.0,2026-05-06,CY2607,成交量,CY
7,中信建投,892,211.0,2026-05-06,CY2607,成交量,CY
8,国海良时,826,773.0,2026-05-06,CY2607,成交量,CY
9,国信期货,690,558.0,2026-05-06,CY2607,成交量,CY
10,弘业期货,487,70.0,2026-05-06,CY2607,成交量,CY
11,永安期货,375,-241.0,2026-05-06,CY2607,成交量,CY
12,浙商期货,353,-63.0,2026-05-06,CY2607,成交量,CY
13,银河期货,334,-57.0,2026-05-06,CY2607,成交量,CY
14,招商期货,237,-140.0,2026-05-06,CY2607,成交量,CY
15,锦泰期货,216,-645.0,2026-05-06,CY2607,成交量,CY
16,五矿期货,214,-112.0,2026-05-06,CY2607,成交量,CY
17,东方财富,204,-101.0,2026-05-06,CY2607,成交量,CY
18,方正中期,189,-67.0,2026-05-06,CY2607,成交量,CY
19,申银万国,169,-47.0,2026-05-06,CY2607,成交量,CY
20,东吴期货,160,-60.0,2026-05-06,CY2607,成交量,CY
1,海通期货,5409,2798.0,2026-05-07,CY2607,成交量,CY
2,东证期货,4277,1154.0,2026-05-07,CY2607,成交量,CY
3,中信期货,2036,827.0,2026-05-07,CY2607,成交量,CY
4,国投期货,1907,811.0,2026-05-07,CY2607,成交量,CY
5,国信期货,1662,972.0,2026-05-07,CY2607,成交量,CY
6,中信建投,1346,454.0,2026-05-07,CY2607,成交量,CY
7,锦泰期货,1222,1006.0,2026-05-07,CY2607,成交量,CY
8,南华期货,1211,143.0,2026-05-07,CY2607,成交量,CY
9,五矿期货,1083,869.0,2026-05-07,CY2607,成交量,CY
10,国泰君安,1005,98.0,2026-05-07,CY2607,成交量,CY
11,国海良时,850,24.0,2026-05-07,CY2607,成交量,CY
12,永安期货,775,400.0,2026-05-07,CY2607,成交量,CY
13,浙商期货,710,357.0,2026-05-07,CY2607,成交量,CY
14,弘业期货,543,56.0,2026-05-07,CY2607,成交量,CY
15,银河期货,469,135.0,2026-05-07,CY2607,成交量,CY
16,招商期货,467,230.0,2026-05-07,CY2607,成交量,CY
17,创元期货,390,257.0,2026-05-07,CY2607,成交量,CY
18,瑞达期货,387,339.0,2026-05-07,CY2607,成交量,CY
19,宝城期货,386,247.0,2026-05-07,CY2607,成交量,CY
20,东方财富,353,149.0,2026-05-07,CY2607,成交量,CY
1,东证期货,4449,172.0,2026-05-08,CY2607,成交量,CY
2,海通期货,3644,-1765.0,2026-05-08,CY2607,成交量,CY
3,中信期货,2445,409.0,2026-05-08,CY2607,成交量,CY
4,国投期货,1348,-559.0,2026-05-08,CY2607,成交量,CY
5,南华期货,1244,33.0,2026-05-08,CY2607,成交量,CY
6,国泰君安,1236,231.0,2026-05-08,CY2607,成交量,CY
7,中信建投,1199,-147.0,2026-05-08,CY2607,成交量,CY
8,浙商期货,1180,470.0,2026-05-08,CY2607,成交量,CY
9,国信期货,1169,-493.0,2026-05-08,CY2607,成交量,CY
10,永安期货,1093,318.0,2026-05-08,CY2607,成交量,CY
11,国海良时,847,-3.0,2026-05-08,CY2607,成交量,CY
12,银河期货,813,344.0,2026-05-08,CY2607,成交量,CY
13,五矿期货,789,-294.0,2026-05-08,CY2607,成交量,CY
14,东方财富,549,196.0,2026-05-08,CY2607,成交量,CY
15,弘业期货,540,-3.0,2026-05-08,CY2607,成交量,CY
16,招商期货,539,72.0,2026-05-08,CY2607,成交量,CY
17,锦泰期货,518,-704.0,2026-05-08,CY2607,成交量,CY
18,创元期货,456,66.0,2026-05-08,CY2607,成交量,CY
19,方正中期,328,58.0,2026-05-08,CY2607,成交量,CY
20,宝城期货,318,-68.0,2026-05-08,CY2607,成交量,CY
