排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信建投,31488,976.0,2026-05-06,eb2606,多单持仓,EB
2,国泰君安,29164,-1257.0,2026-05-06,eb2606,多单持仓,EB
3,中信期货,27312,335.0,2026-05-06,eb2606,多单持仓,EB
4,东证期货,13152,-1595.0,2026-05-06,eb2606,多单持仓,EB
5,海通期货,10989,1523.0,2026-05-06,eb2606,多单持仓,EB
6,华泰期货,9291,-2665.0,2026-05-06,eb2606,多单持仓,EB
7,永安期货,8794,-84.0,2026-05-06,eb2606,多单持仓,EB
8,锦泰期货,7295,-214.0,2026-05-06,eb2606,多单持仓,EB
9,广发期货,6477,-2905.0,2026-05-06,eb2606,多单持仓,EB
10,中粮期货,6357,-1231.0,2026-05-06,eb2606,多单持仓,EB
11,光大期货,4960,-773.0,2026-05-06,eb2606,多单持仓,EB
12,银河期货,4309,-382.0,2026-05-06,eb2606,多单持仓,EB
13,中泰期货,3061,24.0,2026-05-06,eb2606,多单持仓,EB
14,瑞银期货,2758,48.0,2026-05-06,eb2606,多单持仓,EB
15,国贸期货,2689,-27.0,2026-05-06,eb2606,多单持仓,EB
16,浙商期货,2413,-178.0,2026-05-06,eb2606,多单持仓,EB
17,平安期货,2252,-583.0,2026-05-06,eb2606,多单持仓,EB
18,方正中期,2219,562.0,2026-05-06,eb2606,多单持仓,EB
19,南华期货,2087,124.0,2026-05-06,eb2606,多单持仓,EB
20,华源期货,2022,-103.0,2026-05-06,eb2606,多单持仓,EB
1,国泰君安,33636,5780.0,2026-05-07,eb2607,多单持仓,EB
2,中信建投,28915,826.0,2026-05-07,eb2607,多单持仓,EB
3,广发期货,19121,509.0,2026-05-07,eb2607,多单持仓,EB
4,中信期货,13799,158.0,2026-05-07,eb2607,多单持仓,EB
5,中粮期货,12518,540.0,2026-05-07,eb2607,多单持仓,EB
6,弘业期货,11512,98.0,2026-05-07,eb2607,多单持仓,EB
7,华泰期货,11249,-213.0,2026-05-07,eb2607,多单持仓,EB
8,锦泰期货,11017,19.0,2026-05-07,eb2607,多单持仓,EB
9,海通期货,8292,-127.0,2026-05-07,eb2607,多单持仓,EB
10,高盛期货,7742,-781.0,2026-05-07,eb2607,多单持仓,EB
11,永安期货,5902,1191.0,2026-05-07,eb2607,多单持仓,EB
12,东证期货,4254,-516.0,2026-05-07,eb2607,多单持仓,EB
13,中金财富,3786,-627.0,2026-05-07,eb2607,多单持仓,EB
14,浙商期货,3672,591.0,2026-05-07,eb2607,多单持仓,EB
15,申银万国,3180,275.0,2026-05-07,eb2607,多单持仓,EB
16,瑞银期货,2293,-49.0,2026-05-07,eb2607,多单持仓,EB
17,中泰期货,2275,87.0,2026-05-07,eb2607,多单持仓,EB
18,徽商期货,2099,-315.0,2026-05-07,eb2607,多单持仓,EB
19,国投期货,2017,-667.0,2026-05-07,eb2607,多单持仓,EB
20,光大期货,1814,157.0,2026-05-07,eb2607,多单持仓,EB
1,国泰君安,35775,2139.0,2026-05-08,eb2607,多单持仓,EB
2,中信建投,30805,1890.0,2026-05-08,eb2607,多单持仓,EB
3,广发期货,19459,338.0,2026-05-08,eb2607,多单持仓,EB
4,中信期货,13213,-586.0,2026-05-08,eb2607,多单持仓,EB
5,中粮期货,12946,428.0,2026-05-08,eb2607,多单持仓,EB
6,华泰期货,11505,256.0,2026-05-08,eb2607,多单持仓,EB
7,弘业期货,11493,-19.0,2026-05-08,eb2607,多单持仓,EB
8,锦泰期货,11055,38.0,2026-05-08,eb2607,多单持仓,EB
9,永安期货,9852,3950.0,2026-05-08,eb2607,多单持仓,EB
10,高盛期货,8576,834.0,2026-05-08,eb2607,多单持仓,EB
11,海通期货,8495,203.0,2026-05-08,eb2607,多单持仓,EB
12,东证期货,5343,1089.0,2026-05-08,eb2607,多单持仓,EB
13,中金财富,4677,891.0,2026-05-08,eb2607,多单持仓,EB
14,申银万国,4149,969.0,2026-05-08,eb2607,多单持仓,EB
15,浙商期货,4080,408.0,2026-05-08,eb2607,多单持仓,EB
16,中泰期货,2888,613.0,2026-05-08,eb2607,多单持仓,EB
17,光大期货,2602,788.0,2026-05-08,eb2607,多单持仓,EB
18,徽商期货,2312,213.0,2026-05-08,eb2607,多单持仓,EB
19,国信期货,1973,411.0,2026-05-08,eb2607,多单持仓,EB
20,银河期货,1870,350.0,2026-05-08,eb2607,多单持仓,EB
