排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,40108,-1991.0,2026-05-06,eb2606,空单持仓,EB
2,中信建投,33084,1484.0,2026-05-06,eb2606,空单持仓,EB
3,中信期货,14390,-1865.0,2026-05-06,eb2606,空单持仓,EB
4,华泰期货,11088,-1725.0,2026-05-06,eb2606,空单持仓,EB
5,东证期货,9573,1026.0,2026-05-06,eb2606,空单持仓,EB
6,海通期货,9492,178.0,2026-05-06,eb2606,空单持仓,EB
7,永安期货,9332,-46.0,2026-05-06,eb2606,空单持仓,EB
8,中粮期货,8221,-1194.0,2026-05-06,eb2606,空单持仓,EB
9,广发期货,7724,-1920.0,2026-05-06,eb2606,空单持仓,EB
10,锦泰期货,7197,-515.0,2026-05-06,eb2606,空单持仓,EB
11,浙商期货,5002,-116.0,2026-05-06,eb2606,空单持仓,EB
12,南华期货,4852,-582.0,2026-05-06,eb2606,空单持仓,EB
13,东海期货,4614,-65.0,2026-05-06,eb2606,空单持仓,EB
14,中泰期货,3032,-270.0,2026-05-06,eb2606,空单持仓,EB
15,国投期货,2845,-295.0,2026-05-06,eb2606,空单持仓,EB
16,创元期货,2835,483.0,2026-05-06,eb2606,空单持仓,EB
17,国海良时,2238,-63.0,2026-05-06,eb2606,空单持仓,EB
18,大地期货,2012,1183.0,2026-05-06,eb2606,空单持仓,EB
19,弘业期货,2007,-112.0,2026-05-06,eb2606,空单持仓,EB
20,恒力期货,1878,18.0,2026-05-06,eb2606,空单持仓,EB
1,国泰君安,32014,-1565.0,2026-05-07,eb2607,空单持仓,EB
2,中信建投,27754,-649.0,2026-05-07,eb2607,空单持仓,EB
3,广发期货,19087,-1163.0,2026-05-07,eb2607,空单持仓,EB
4,中粮期货,13664,633.0,2026-05-07,eb2607,空单持仓,EB
5,华泰期货,11220,166.0,2026-05-07,eb2607,空单持仓,EB
6,锦泰期货,11039,3.0,2026-05-07,eb2607,空单持仓,EB
7,中信期货,10979,1608.0,2026-05-07,eb2607,空单持仓,EB
8,海通期货,9395,569.0,2026-05-07,eb2607,空单持仓,EB
9,永安期货,7580,2209.0,2026-05-07,eb2607,空单持仓,EB
10,东证期货,5486,1437.0,2026-05-07,eb2607,空单持仓,EB
11,高盛期货,5090,3351.0,2026-05-07,eb2607,空单持仓,EB
12,银河期货,4580,-285.0,2026-05-07,eb2607,空单持仓,EB
13,南华期货,3365,-330.0,2026-05-07,eb2607,空单持仓,EB
14,建信期货,3081,28.0,2026-05-07,eb2607,空单持仓,EB
15,中泰期货,2918,468.0,2026-05-07,eb2607,空单持仓,EB
16,中金财富,2345,1002.0,2026-05-07,eb2607,空单持仓,EB
17,浙商期货,2229,140.0,2026-05-07,eb2607,空单持仓,EB
18,中银期货,2227,141.0,2026-05-07,eb2607,空单持仓,EB
19,宏源期货,2125,1355.0,2026-05-07,eb2607,空单持仓,EB
20,国信期货,2040,440.0,2026-05-07,eb2607,空单持仓,EB
1,国泰君安,32296,282.0,2026-05-08,eb2607,空单持仓,EB
2,中信建投,29504,1750.0,2026-05-08,eb2607,空单持仓,EB
3,广发期货,19472,385.0,2026-05-08,eb2607,空单持仓,EB
4,中粮期货,14097,433.0,2026-05-08,eb2607,空单持仓,EB
5,中信期货,13464,2485.0,2026-05-08,eb2607,空单持仓,EB
6,华泰期货,12510,1290.0,2026-05-08,eb2607,空单持仓,EB
7,永安期货,11745,4165.0,2026-05-08,eb2607,空单持仓,EB
8,锦泰期货,11011,-28.0,2026-05-08,eb2607,空单持仓,EB
9,海通期货,9425,30.0,2026-05-08,eb2607,空单持仓,EB
10,银河期货,5891,1311.0,2026-05-08,eb2607,空单持仓,EB
11,东证期货,4903,-583.0,2026-05-08,eb2607,空单持仓,EB
12,南华期货,3437,72.0,2026-05-08,eb2607,空单持仓,EB
13,建信期货,3091,10.0,2026-05-08,eb2607,空单持仓,EB
14,中金财富,3014,669.0,2026-05-08,eb2607,空单持仓,EB
15,高盛期货,3004,-2086.0,2026-05-08,eb2607,空单持仓,EB
16,中泰期货,2785,-133.0,2026-05-08,eb2607,空单持仓,EB
17,国信期货,2451,411.0,2026-05-08,eb2607,空单持仓,EB
18,浙商期货,2285,56.0,2026-05-08,eb2607,空单持仓,EB
19,国投期货,2248,289.0,2026-05-08,eb2607,空单持仓,EB
20,方正中期,2205,690.0,2026-05-08,eb2607,空单持仓,EB
