排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,61048,-2058.0,2026-05-06,eb2606,成交量,EB
2,华泰期货,59486,20916.0,2026-05-06,eb2606,成交量,EB
3,国泰君安,58362,-1171.0,2026-05-06,eb2606,成交量,EB
4,东证期货,50601,-6233.0,2026-05-06,eb2606,成交量,EB
5,南华期货,18398,-8848.0,2026-05-06,eb2606,成交量,EB
6,中信建投,17734,302.0,2026-05-06,eb2606,成交量,EB
7,广发期货,15029,-552.0,2026-05-06,eb2606,成交量,EB
8,永安期货,14570,4875.0,2026-05-06,eb2606,成交量,EB
9,海通期货,14169,694.0,2026-05-06,eb2606,成交量,EB
10,银河期货,9804,-2851.0,2026-05-06,eb2606,成交量,EB
11,华闻期货,8003,-436.0,2026-05-06,eb2606,成交量,EB
12,中泰期货,7718,-47.0,2026-05-06,eb2606,成交量,EB
13,兴证期货,6244,1451.0,2026-05-06,eb2606,成交量,EB
14,国信期货,6007,-916.0,2026-05-06,eb2606,成交量,EB
15,宏源期货,5336,-952.0,2026-05-06,eb2606,成交量,EB
16,国投期货,5140,-196.0,2026-05-06,eb2606,成交量,EB
17,徽商期货,4137,-2180.0,2026-05-06,eb2606,成交量,EB
18,国联期货,4069,1006.0,2026-05-06,eb2606,成交量,EB
19,东吴期货,3711,188.0,2026-05-06,eb2606,成交量,EB
20,光大期货,3499,-1524.0,2026-05-06,eb2606,成交量,EB
1,国泰君安,53563,31620.0,2026-05-07,eb2607,成交量,EB
2,东证期货,47047,25957.0,2026-05-07,eb2607,成交量,EB
3,中信期货,46114,18803.0,2026-05-07,eb2607,成交量,EB
4,华泰期货,35631,7697.0,2026-05-07,eb2607,成交量,EB
5,广发期货,22544,9782.0,2026-05-07,eb2607,成交量,EB
6,永安期货,21480,6199.0,2026-05-07,eb2607,成交量,EB
7,中信建投,19255,6740.0,2026-05-07,eb2607,成交量,EB
8,南华期货,13360,7373.0,2026-05-07,eb2607,成交量,EB
9,国信期货,11911,5721.0,2026-05-07,eb2607,成交量,EB
10,银河期货,10455,6305.0,2026-05-07,eb2607,成交量,EB
11,徽商期货,10316,6756.0,2026-05-07,eb2607,成交量,EB
12,锦泰期货,9688,6953.0,2026-05-07,eb2607,成交量,EB
13,申银万国,7957,3614.0,2026-05-07,eb2607,成交量,EB
14,国联期货,7237,4478.0,2026-05-07,eb2607,成交量,EB
15,华闻期货,6836,4723.0,2026-05-07,eb2607,成交量,EB
16,海通期货,6740,1844.0,2026-05-07,eb2607,成交量,EB
17,浙商期货,6309,1533.0,2026-05-07,eb2607,成交量,EB
18,东吴期货,5227,2548.0,2026-05-07,eb2607,成交量,EB
19,高盛期货,4996,967.0,2026-05-07,eb2607,成交量,EB
20,方正中期,4483,2522.0,2026-05-07,eb2607,成交量,EB
1,中信期货,41477,-4637.0,2026-05-08,eb2607,成交量,EB
2,国泰君安,38491,-15072.0,2026-05-08,eb2607,成交量,EB
3,东证期货,28734,-18313.0,2026-05-08,eb2607,成交量,EB
4,华泰期货,28442,-7189.0,2026-05-08,eb2607,成交量,EB
5,中信建投,16742,-2513.0,2026-05-08,eb2607,成交量,EB
6,永安期货,12743,-8737.0,2026-05-08,eb2607,成交量,EB
7,广发期货,12533,-10011.0,2026-05-08,eb2607,成交量,EB
8,南华期货,10349,-3011.0,2026-05-08,eb2607,成交量,EB
9,徽商期货,9031,-1285.0,2026-05-08,eb2607,成交量,EB
10,国信期货,8972,-2939.0,2026-05-08,eb2607,成交量,EB
11,银河期货,8587,-1868.0,2026-05-08,eb2607,成交量,EB
12,锦泰期货,8106,-1582.0,2026-05-08,eb2607,成交量,EB
13,海通期货,7325,585.0,2026-05-08,eb2607,成交量,EB
14,申银万国,6732,-1225.0,2026-05-08,eb2607,成交量,EB
15,华闻期货,5078,-1758.0,2026-05-08,eb2607,成交量,EB
16,浙商期货,4762,-1547.0,2026-05-08,eb2607,成交量,EB
17,高盛期货,4592,-404.0,2026-05-08,eb2607,成交量,EB
18,方正中期,4582,99.0,2026-05-08,eb2607,成交量,EB
19,国联期货,4223,-3014.0,2026-05-08,eb2607,成交量,EB
20,瑞达期货,3908,818.0,2026-05-08,eb2607,成交量,EB
