排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,东证期货,35217,591.0,2026-05-06,eg2609,多单持仓,EG
2,国泰君安,32670,1097.0,2026-05-06,eg2609,多单持仓,EG
3,申银万国,24601,3704.0,2026-05-06,eg2609,多单持仓,EG
4,永安期货,23940,3039.0,2026-05-06,eg2609,多单持仓,EG
5,中信期货,19885,-329.0,2026-05-06,eg2609,多单持仓,EG
6,华泰期货,10820,1873.0,2026-05-06,eg2609,多单持仓,EG
7,浙商期货,10306,3667.0,2026-05-06,eg2609,多单持仓,EG
8,银河期货,9830,351.0,2026-05-06,eg2609,多单持仓,EG
9,东吴期货,7648,968.0,2026-05-06,eg2609,多单持仓,EG
10,国贸期货,7037,-23.0,2026-05-06,eg2609,多单持仓,EG
11,南华期货,6762,672.0,2026-05-06,eg2609,多单持仓,EG
12,瑞达期货,6339,1338.0,2026-05-06,eg2609,多单持仓,EG
13,广发期货,6305,153.0,2026-05-06,eg2609,多单持仓,EG
14,创元期货,6263,460.0,2026-05-06,eg2609,多单持仓,EG
15,中金财富,5524,156.0,2026-05-06,eg2609,多单持仓,EG
16,徽商期货,4418,724.0,2026-05-06,eg2609,多单持仓,EG
17,国投期货,3647,-335.0,2026-05-06,eg2609,多单持仓,EG
18,平安期货,3551,543.0,2026-05-06,eg2609,多单持仓,EG
19,中信建投,3549,773.0,2026-05-06,eg2609,多单持仓,EG
20,物产中大,3390,1092.0,2026-05-06,eg2609,多单持仓,EG
1,东证期货,34256,-961.0,2026-05-07,eg2609,多单持仓,EG
2,国泰君安,29995,-2675.0,2026-05-07,eg2609,多单持仓,EG
3,申银万国,25097,496.0,2026-05-07,eg2609,多单持仓,EG
4,永安期货,21129,-2811.0,2026-05-07,eg2609,多单持仓,EG
5,中信期货,20973,1088.0,2026-05-07,eg2609,多单持仓,EG
6,华泰期货,9640,-1180.0,2026-05-07,eg2609,多单持仓,EG
7,银河期货,8989,-841.0,2026-05-07,eg2609,多单持仓,EG
8,浙商期货,8202,-2104.0,2026-05-07,eg2609,多单持仓,EG
9,国贸期货,7787,750.0,2026-05-07,eg2609,多单持仓,EG
10,东吴期货,6651,-997.0,2026-05-07,eg2609,多单持仓,EG
11,南华期货,6267,-495.0,2026-05-07,eg2609,多单持仓,EG
12,创元期货,5776,-487.0,2026-05-07,eg2609,多单持仓,EG
13,广发期货,5411,-894.0,2026-05-07,eg2609,多单持仓,EG
14,徽商期货,5221,803.0,2026-05-07,eg2609,多单持仓,EG
15,瑞达期货,4751,-1588.0,2026-05-07,eg2609,多单持仓,EG
16,中金财富,4383,-1141.0,2026-05-07,eg2609,多单持仓,EG
17,平安期货,4064,513.0,2026-05-07,eg2609,多单持仓,EG
18,中信建投,3892,343.0,2026-05-07,eg2609,多单持仓,EG
19,新湖期货,3812,733.0,2026-05-07,eg2609,多单持仓,EG
20,国投期货,3709,62.0,2026-05-07,eg2609,多单持仓,EG
1,东证期货,34006,-250.0,2026-05-08,eg2609,多单持仓,EG
2,国泰君安,29195,-800.0,2026-05-08,eg2609,多单持仓,EG
3,申银万国,25831,734.0,2026-05-08,eg2609,多单持仓,EG
4,永安期货,19211,-1918.0,2026-05-08,eg2609,多单持仓,EG
5,中信期货,16815,-4158.0,2026-05-08,eg2609,多单持仓,EG
6,银河期货,9061,72.0,2026-05-08,eg2609,多单持仓,EG
7,华泰期货,8687,-953.0,2026-05-08,eg2609,多单持仓,EG
8,国贸期货,7925,138.0,2026-05-08,eg2609,多单持仓,EG
9,东吴期货,6693,42.0,2026-05-08,eg2609,多单持仓,EG
10,南华期货,6186,-81.0,2026-05-08,eg2609,多单持仓,EG
11,浙商期货,5861,-2341.0,2026-05-08,eg2609,多单持仓,EG
12,广发期货,5721,310.0,2026-05-08,eg2609,多单持仓,EG
13,创元期货,5448,-328.0,2026-05-08,eg2609,多单持仓,EG
14,徽商期货,5237,16.0,2026-05-08,eg2609,多单持仓,EG
15,平安期货,4697,633.0,2026-05-08,eg2609,多单持仓,EG
16,瑞达期货,4328,-423.0,2026-05-08,eg2609,多单持仓,EG
17,中信建投,4168,276.0,2026-05-08,eg2609,多单持仓,EG
18,国投期货,3903,194.0,2026-05-08,eg2609,多单持仓,EG
19,新湖期货,3782,-30.0,2026-05-08,eg2609,多单持仓,EG
20,物产中大,3550,28.0,2026-05-08,eg2609,多单持仓,EG
