排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,46951,2480.0,2026-05-06,eg2609,空单持仓,EG
2,中信期货,32581,354.0,2026-05-06,eg2609,空单持仓,EG
3,国贸期货,15637,1171.0,2026-05-06,eg2609,空单持仓,EG
4,华泰期货,10870,-330.0,2026-05-06,eg2609,空单持仓,EG
5,东证期货,8565,1367.0,2026-05-06,eg2609,空单持仓,EG
6,银河期货,8361,813.0,2026-05-06,eg2609,空单持仓,EG
7,兴业期货,7727,57.0,2026-05-06,eg2609,空单持仓,EG
8,高盛期货,7072,767.0,2026-05-06,eg2609,空单持仓,EG
9,东吴期货,6842,431.0,2026-05-06,eg2609,空单持仓,EG
10,华金期货,6815,84.0,2026-05-06,eg2609,空单持仓,EG
11,中信建投,6753,1315.0,2026-05-06,eg2609,空单持仓,EG
12,方正中期,6417,1357.0,2026-05-06,eg2609,空单持仓,EG
13,东海期货,6020,535.0,2026-05-06,eg2609,空单持仓,EG
14,永安期货,5496,-338.0,2026-05-06,eg2609,空单持仓,EG
15,光大期货,5348,25.0,2026-05-06,eg2609,空单持仓,EG
16,弘业期货,5343,304.0,2026-05-06,eg2609,空单持仓,EG
17,浙商期货,5287,650.0,2026-05-06,eg2609,空单持仓,EG
18,恒力期货,4844,197.0,2026-05-06,eg2609,空单持仓,EG
19,海证期货,4818,587.0,2026-05-06,eg2609,空单持仓,EG
20,大地期货,4191,41.0,2026-05-06,eg2609,空单持仓,EG
1,国泰君安,48393,1442.0,2026-05-07,eg2609,空单持仓,EG
2,中信期货,29760,-2821.0,2026-05-07,eg2609,空单持仓,EG
3,国贸期货,14699,-938.0,2026-05-07,eg2609,空单持仓,EG
4,高盛期货,14661,7589.0,2026-05-07,eg2609,空单持仓,EG
5,华泰期货,13414,2544.0,2026-05-07,eg2609,空单持仓,EG
6,东证期货,10851,2286.0,2026-05-07,eg2609,空单持仓,EG
7,兴业期货,8357,630.0,2026-05-07,eg2609,空单持仓,EG
8,东吴期货,7008,166.0,2026-05-07,eg2609,空单持仓,EG
9,华金期货,6822,7.0,2026-05-07,eg2609,空单持仓,EG
10,永安期货,6053,557.0,2026-05-07,eg2609,空单持仓,EG
11,东海期货,5653,-367.0,2026-05-07,eg2609,空单持仓,EG
12,中信建投,5374,-1379.0,2026-05-07,eg2609,空单持仓,EG
13,弘业期货,5264,-79.0,2026-05-07,eg2609,空单持仓,EG
14,浙商期货,4689,-598.0,2026-05-07,eg2609,空单持仓,EG
15,光大期货,4645,-703.0,2026-05-07,eg2609,空单持仓,EG
16,方正中期,4525,-1892.0,2026-05-07,eg2609,空单持仓,EG
17,海证期货,4480,-338.0,2026-05-07,eg2609,空单持仓,EG
18,银河期货,4293,-4068.0,2026-05-07,eg2609,空单持仓,EG
19,恒力期货,3780,-1064.0,2026-05-07,eg2609,空单持仓,EG
20,大地期货,3758,-433.0,2026-05-07,eg2609,空单持仓,EG
1,国泰君安,44918,-3475.0,2026-05-08,eg2609,空单持仓,EG
2,中信期货,27298,-2462.0,2026-05-08,eg2609,空单持仓,EG
3,国贸期货,14279,-420.0,2026-05-08,eg2609,空单持仓,EG
4,高盛期货,13861,-800.0,2026-05-08,eg2609,空单持仓,EG
5,华泰期货,12919,-495.0,2026-05-08,eg2609,空单持仓,EG
6,东证期货,10660,-191.0,2026-05-08,eg2609,空单持仓,EG
7,永安期货,9624,3571.0,2026-05-08,eg2609,空单持仓,EG
8,兴业期货,8698,341.0,2026-05-08,eg2609,空单持仓,EG
9,东海期货,7310,1657.0,2026-05-08,eg2609,空单持仓,EG
10,华金期货,6931,109.0,2026-05-08,eg2609,空单持仓,EG
11,东吴期货,6720,-288.0,2026-05-08,eg2609,空单持仓,EG
12,中信建投,5415,41.0,2026-05-08,eg2609,空单持仓,EG
13,弘业期货,5316,52.0,2026-05-08,eg2609,空单持仓,EG
14,银河期货,4484,191.0,2026-05-08,eg2609,空单持仓,EG
15,中金财富,4321,1177.0,2026-05-08,eg2609,空单持仓,EG
16,海证期货,4121,-359.0,2026-05-08,eg2609,空单持仓,EG
17,光大期货,4116,-529.0,2026-05-08,eg2609,空单持仓,EG
18,五矿期货,4009,260.0,2026-05-08,eg2609,空单持仓,EG
19,方正中期,3878,-647.0,2026-05-08,eg2609,空单持仓,EG
20,浙商期货,3828,-861.0,2026-05-08,eg2609,空单持仓,EG
