排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,92611,-199.0,2026-05-06,eg2609,成交量,EG
2,中信期货,74409,5422.0,2026-05-06,eg2609,成交量,EG
3,华泰期货,61257,20876.0,2026-05-06,eg2609,成交量,EG
4,东证期货,59556,-1688.0,2026-05-06,eg2609,成交量,EG
5,广发期货,28088,7311.0,2026-05-06,eg2609,成交量,EG
6,海通期货,23177,5285.0,2026-05-06,eg2609,成交量,EG
7,南华期货,20065,-10840.0,2026-05-06,eg2609,成交量,EG
8,银河期货,17056,-1620.0,2026-05-06,eg2609,成交量,EG
9,中信建投,15808,-6068.0,2026-05-06,eg2609,成交量,EG
10,华闻期货,15292,5444.0,2026-05-06,eg2609,成交量,EG
11,徽商期货,13258,-4331.0,2026-05-06,eg2609,成交量,EG
12,国信期货,12877,3948.0,2026-05-06,eg2609,成交量,EG
13,国联期货,12835,3310.0,2026-05-06,eg2609,成交量,EG
14,永安期货,11859,5571.0,2026-05-06,eg2609,成交量,EG
15,方正中期,8472,-2409.0,2026-05-06,eg2609,成交量,EG
16,申银万国,8167,4069.0,2026-05-06,eg2609,成交量,EG
17,中辉期货,7346,2025.0,2026-05-06,eg2609,成交量,EG
18,东吴期货,6835,-4592.0,2026-05-06,eg2609,成交量,EG
19,中泰期货,6667,-1275.0,2026-05-06,eg2609,成交量,EG
20,安粮期货,6626,1253.0,2026-05-06,eg2609,成交量,EG
1,国泰君安,128193,35582.0,2026-05-07,eg2609,成交量,EG
2,中信期货,113773,39364.0,2026-05-07,eg2609,成交量,EG
3,东证期货,89449,29893.0,2026-05-07,eg2609,成交量,EG
4,华泰期货,74022,12765.0,2026-05-07,eg2609,成交量,EG
5,南华期货,38323,18258.0,2026-05-07,eg2609,成交量,EG
6,银河期货,36759,19703.0,2026-05-07,eg2609,成交量,EG
7,广发期货,36518,8430.0,2026-05-07,eg2609,成交量,EG
8,海通期货,26401,3224.0,2026-05-07,eg2609,成交量,EG
9,中信建投,25668,9860.0,2026-05-07,eg2609,成交量,EG
10,中泰期货,25020,18353.0,2026-05-07,eg2609,成交量,EG
11,华闻期货,23011,7719.0,2026-05-07,eg2609,成交量,EG
12,国联期货,20978,8143.0,2026-05-07,eg2609,成交量,EG
13,徽商期货,19492,6234.0,2026-05-07,eg2609,成交量,EG
14,永安期货,18808,6949.0,2026-05-07,eg2609,成交量,EG
15,国信期货,16196,3319.0,2026-05-07,eg2609,成交量,EG
16,东吴期货,15105,8270.0,2026-05-07,eg2609,成交量,EG
17,方正中期,14554,6082.0,2026-05-07,eg2609,成交量,EG
18,创元期货,14131,8571.0,2026-05-07,eg2609,成交量,EG
19,光大期货,10683,4490.0,2026-05-07,eg2609,成交量,EG
20,国元期货,10576,6856.0,2026-05-07,eg2609,成交量,EG
1,国泰君安,87229,-40964.0,2026-05-08,eg2609,成交量,EG
2,中信期货,81926,-31847.0,2026-05-08,eg2609,成交量,EG
3,东证期货,62341,-27108.0,2026-05-08,eg2609,成交量,EG
4,华泰期货,52954,-21068.0,2026-05-08,eg2609,成交量,EG
5,南华期货,29494,-8829.0,2026-05-08,eg2609,成交量,EG
6,广发期货,25305,-11213.0,2026-05-08,eg2609,成交量,EG
7,中信建投,19931,-5737.0,2026-05-08,eg2609,成交量,EG
8,银河期货,19317,-17442.0,2026-05-08,eg2609,成交量,EG
9,海通期货,17928,-8473.0,2026-05-08,eg2609,成交量,EG
10,徽商期货,14757,-4735.0,2026-05-08,eg2609,成交量,EG
11,华闻期货,13798,-9213.0,2026-05-08,eg2609,成交量,EG
12,永安期货,11823,-6985.0,2026-05-08,eg2609,成交量,EG
13,国联期货,11161,-9817.0,2026-05-08,eg2609,成交量,EG
14,中泰期货,11087,-13933.0,2026-05-08,eg2609,成交量,EG
15,平安期货,10856,1406.0,2026-05-08,eg2609,成交量,EG
16,国信期货,10834,-5362.0,2026-05-08,eg2609,成交量,EG
17,方正中期,10147,-4407.0,2026-05-08,eg2609,成交量,EG
18,兴证期货,9082,2081.0,2026-05-08,eg2609,成交量,EG
19,申银万国,8887,396.0,2026-05-08,eg2609,成交量,EG
20,创元期货,8773,-5358.0,2026-05-08,eg2609,成交量,EG
