排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,94435,2158.0,2026-05-06,FG2609,多单持仓,FG
2,东证期货,70965,3067.0,2026-05-06,FG2609,多单持仓,FG
3,中信期货,68034,231.0,2026-05-06,FG2609,多单持仓,FG
4,银河期货,41691,-1423.0,2026-05-06,FG2609,多单持仓,FG
5,方正中期,41438,-3423.0,2026-05-06,FG2609,多单持仓,FG
6,华泰期货,40196,-3615.0,2026-05-06,FG2609,多单持仓,FG
7,永安期货,38475,-794.0,2026-05-06,FG2609,多单持仓,FG
8,广发期货,36300,1027.0,2026-05-06,FG2609,多单持仓,FG
9,光大期货,32160,1019.0,2026-05-06,FG2609,多单持仓,FG
10,中泰期货,31532,-4047.0,2026-05-06,FG2609,多单持仓,FG
11,信达期货,29644,775.0,2026-05-06,FG2609,多单持仓,FG
12,徽商期货,28734,154.0,2026-05-06,FG2609,多单持仓,FG
13,国投期货,27436,-240.0,2026-05-06,FG2609,多单持仓,FG
14,中信建投,26383,-3219.0,2026-05-06,FG2609,多单持仓,FG
15,招商期货,21600,-935.0,2026-05-06,FG2609,多单持仓,FG
16,海通期货,21265,1071.0,2026-05-06,FG2609,多单持仓,FG
17,宏源期货,20606,556.0,2026-05-06,FG2609,多单持仓,FG
18,先锋期货,19775,40.0,2026-05-06,FG2609,多单持仓,FG
19,东吴期货,19651,424.0,2026-05-06,FG2609,多单持仓,FG
20,中财期货,19439,2034.0,2026-05-06,FG2609,多单持仓,FG
1,国泰君安,85675,-8760.0,2026-05-07,FG2609,多单持仓,FG
2,东证期货,79917,8952.0,2026-05-07,FG2609,多单持仓,FG
3,中信期货,75837,7803.0,2026-05-07,FG2609,多单持仓,FG
4,方正中期,42096,658.0,2026-05-07,FG2609,多单持仓,FG
5,银河期货,41644,-47.0,2026-05-07,FG2609,多单持仓,FG
6,华泰期货,39055,-1141.0,2026-05-07,FG2609,多单持仓,FG
7,广发期货,34146,-2154.0,2026-05-07,FG2609,多单持仓,FG
8,永安期货,33977,-4498.0,2026-05-07,FG2609,多单持仓,FG
9,光大期货,33147,987.0,2026-05-07,FG2609,多单持仓,FG
10,中泰期货,30968,-564.0,2026-05-07,FG2609,多单持仓,FG
11,徽商期货,29966,1232.0,2026-05-07,FG2609,多单持仓,FG
12,信达期货,28497,-1147.0,2026-05-07,FG2609,多单持仓,FG
13,国投期货,27270,-166.0,2026-05-07,FG2609,多单持仓,FG
14,中信建投,23828,-2555.0,2026-05-07,FG2609,多单持仓,FG
15,海通期货,23399,2134.0,2026-05-07,FG2609,多单持仓,FG
16,东吴期货,22591,2940.0,2026-05-07,FG2609,多单持仓,FG
17,招商期货,22305,705.0,2026-05-07,FG2609,多单持仓,FG
18,宏源期货,19825,-781.0,2026-05-07,FG2609,多单持仓,FG
19,先锋期货,19810,35.0,2026-05-07,FG2609,多单持仓,FG
20,中财期货,19056,-383.0,2026-05-07,FG2609,多单持仓,FG
1,国泰君安,84882,-793.0,2026-05-08,FG2609,多单持仓,FG
2,东证期货,63300,-16617.0,2026-05-08,FG2609,多单持仓,FG
3,中信期货,57248,-18589.0,2026-05-08,FG2609,多单持仓,FG
4,银河期货,43184,1540.0,2026-05-08,FG2609,多单持仓,FG
5,方正中期,40496,-1600.0,2026-05-08,FG2609,多单持仓,FG
6,永安期货,39782,5805.0,2026-05-08,FG2609,多单持仓,FG
7,华泰期货,39173,118.0,2026-05-08,FG2609,多单持仓,FG
8,光大期货,36672,3525.0,2026-05-08,FG2609,多单持仓,FG
9,广发期货,33045,-1101.0,2026-05-08,FG2609,多单持仓,FG
10,徽商期货,32602,2636.0,2026-05-08,FG2609,多单持仓,FG
11,中泰期货,31936,968.0,2026-05-08,FG2609,多单持仓,FG
12,国投期货,30058,2788.0,2026-05-08,FG2609,多单持仓,FG
13,信达期货,28124,-373.0,2026-05-08,FG2609,多单持仓,FG
14,中信建投,27669,3841.0,2026-05-08,FG2609,多单持仓,FG
15,招商期货,23713,1408.0,2026-05-08,FG2609,多单持仓,FG
16,东吴期货,21810,-781.0,2026-05-08,FG2609,多单持仓,FG
17,海通期货,21446,-1953.0,2026-05-08,FG2609,多单持仓,FG
18,先锋期货,20400,590.0,2026-05-08,FG2609,多单持仓,FG
19,宏源期货,20355,530.0,2026-05-08,FG2609,多单持仓,FG
20,中辉期货,19866,1754.0,2026-05-08,FG2609,多单持仓,FG
