排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,135236,741.0,2026-05-06,FG2609,空单持仓,FG
2,中信期货,122656,-7307.0,2026-05-06,FG2609,空单持仓,FG
3,乾坤期货,91612,-3337.0,2026-05-06,FG2609,空单持仓,FG
4,东证期货,79909,-2622.0,2026-05-06,FG2609,空单持仓,FG
5,中金财富,65920,-80.0,2026-05-06,FG2609,空单持仓,FG
6,永安期货,64222,9780.0,2026-05-06,FG2609,空单持仓,FG
7,银河期货,51612,49.0,2026-05-06,FG2609,空单持仓,FG
8,华泰期货,45680,-2005.0,2026-05-06,FG2609,空单持仓,FG
9,浙商期货,35609,115.0,2026-05-06,FG2609,空单持仓,FG
10,瑞银期货,30442,1205.0,2026-05-06,FG2609,空单持仓,FG
11,平安期货,30045,-178.0,2026-05-06,FG2609,空单持仓,FG
12,中信建投,29240,-1353.0,2026-05-06,FG2609,空单持仓,FG
13,瑞达期货,25183,3106.0,2026-05-06,FG2609,空单持仓,FG
14,广发期货,22343,-36.0,2026-05-06,FG2609,空单持仓,FG
15,光大期货,21685,-1074.0,2026-05-06,FG2609,空单持仓,FG
16,方正中期,20401,5240.0,2026-05-06,FG2609,空单持仓,FG
17,中泰期货,20179,854.0,2026-05-06,FG2609,空单持仓,FG
18,海通期货,18943,-2743.0,2026-05-06,FG2609,空单持仓,FG
19,国投期货,17509,2816.0,2026-05-06,FG2609,空单持仓,FG
20,国信期货,17418,-4057.0,2026-05-06,FG2609,空单持仓,FG
1,国泰君安,125196,-10040.0,2026-05-07,FG2609,空单持仓,FG
2,中信期货,114455,-8201.0,2026-05-07,FG2609,空单持仓,FG
3,乾坤期货,77750,-13862.0,2026-05-07,FG2609,空单持仓,FG
4,东证期货,74463,-5446.0,2026-05-07,FG2609,空单持仓,FG
5,永安期货,64089,-133.0,2026-05-07,FG2609,空单持仓,FG
6,中金财富,60980,-4940.0,2026-05-07,FG2609,空单持仓,FG
7,银河期货,49611,-2001.0,2026-05-07,FG2609,空单持仓,FG
8,华泰期货,41566,-4114.0,2026-05-07,FG2609,空单持仓,FG
9,浙商期货,35816,207.0,2026-05-07,FG2609,空单持仓,FG
10,中信建投,32528,3288.0,2026-05-07,FG2609,空单持仓,FG
11,瑞银期货,30434,-8.0,2026-05-07,FG2609,空单持仓,FG
12,平安期货,29188,-857.0,2026-05-07,FG2609,空单持仓,FG
13,广发期货,26142,3799.0,2026-05-07,FG2609,空单持仓,FG
14,长江期货,23858,12922.0,2026-05-07,FG2609,空单持仓,FG
15,方正中期,23736,3335.0,2026-05-07,FG2609,空单持仓,FG
16,中泰期货,21188,1009.0,2026-05-07,FG2609,空单持仓,FG
17,建信期货,19465,5919.0,2026-05-07,FG2609,空单持仓,FG
18,光大期货,19089,-2596.0,2026-05-07,FG2609,空单持仓,FG
19,国投期货,18281,772.0,2026-05-07,FG2609,空单持仓,FG
20,国信期货,18188,770.0,2026-05-07,FG2609,空单持仓,FG
1,国泰君安,130667,5471.0,2026-05-08,FG2609,空单持仓,FG
2,中信期货,130335,15880.0,2026-05-08,FG2609,空单持仓,FG
3,东证期货,80912,6449.0,2026-05-08,FG2609,空单持仓,FG
4,乾坤期货,78281,531.0,2026-05-08,FG2609,空单持仓,FG
5,永安期货,77529,13440.0,2026-05-08,FG2609,空单持仓,FG
6,中金财富,62147,1167.0,2026-05-08,FG2609,空单持仓,FG
7,银河期货,46236,-3375.0,2026-05-08,FG2609,空单持仓,FG
8,华泰期货,39743,-1823.0,2026-05-08,FG2609,空单持仓,FG
9,浙商期货,37131,1315.0,2026-05-08,FG2609,空单持仓,FG
10,瑞达期货,31957,15559.0,2026-05-08,FG2609,空单持仓,FG
11,平安期货,31807,2619.0,2026-05-08,FG2609,空单持仓,FG
12,瑞银期货,30434,0.0,2026-05-08,FG2609,空单持仓,FG
13,中信建投,28006,-4522.0,2026-05-08,FG2609,空单持仓,FG
14,广发期货,23681,-2461.0,2026-05-08,FG2609,空单持仓,FG
15,海通期货,22003,3968.0,2026-05-08,FG2609,空单持仓,FG
16,国投期货,20060,1779.0,2026-05-08,FG2609,空单持仓,FG
17,中泰期货,20025,-1163.0,2026-05-08,FG2609,空单持仓,FG
18,方正中期,19100,-4636.0,2026-05-08,FG2609,空单持仓,FG
19,光大期货,18902,-187.0,2026-05-08,FG2609,空单持仓,FG
20,国信期货,16743,-1445.0,2026-05-08,FG2609,空单持仓,FG
