排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,167751,-28966.0,2026-05-06,FG2609,成交量,FG
2,中信期货,150462,-117166.0,2026-05-06,FG2609,成交量,FG
3,东证期货,143097,-90649.0,2026-05-06,FG2609,成交量,FG
4,华闻期货,71536,-23681.0,2026-05-06,FG2609,成交量,FG
5,广发期货,51785,-35041.0,2026-05-06,FG2609,成交量,FG
6,银河期货,47862,-26471.0,2026-05-06,FG2609,成交量,FG
7,中信建投,46414,-53950.0,2026-05-06,FG2609,成交量,FG
8,光大期货,41495,-34975.0,2026-05-06,FG2609,成交量,FG
9,华泰期货,36678,-66248.0,2026-05-06,FG2609,成交量,FG
10,永安期货,35488,-20102.0,2026-05-06,FG2609,成交量,FG
11,中泰期货,34865,-31012.0,2026-05-06,FG2609,成交量,FG
12,方正中期,29775,-30940.0,2026-05-06,FG2609,成交量,FG
13,瑞达期货,29056,-30596.0,2026-05-06,FG2609,成交量,FG
14,徽商期货,27750,-18746.0,2026-05-06,FG2609,成交量,FG
15,国信期货,25879,-11590.0,2026-05-06,FG2609,成交量,FG
16,海通期货,25100,-23052.0,2026-05-06,FG2609,成交量,FG
17,安粮期货,20904,-6256.0,2026-05-06,FG2609,成交量,FG
18,新湖期货,20731,-14186.0,2026-05-06,FG2609,成交量,FG
19,招商期货,20598,-9008.0,2026-05-06,FG2609,成交量,FG
20,平安期货,20355,-9455.0,2026-05-06,FG2609,成交量,FG
1,中信期货,240676,90214.0,2026-05-07,FG2609,成交量,FG
2,国泰君安,217714,49963.0,2026-05-07,FG2609,成交量,FG
3,东证期货,187570,44473.0,2026-05-07,FG2609,成交量,FG
4,华闻期货,79490,7954.0,2026-05-07,FG2609,成交量,FG
5,广发期货,59949,8164.0,2026-05-07,FG2609,成交量,FG
6,中信建投,55321,8907.0,2026-05-07,FG2609,成交量,FG
7,银河期货,48464,602.0,2026-05-07,FG2609,成交量,FG
8,华泰期货,47969,11291.0,2026-05-07,FG2609,成交量,FG
9,光大期货,45537,4042.0,2026-05-07,FG2609,成交量,FG
10,徽商期货,43796,16046.0,2026-05-07,FG2609,成交量,FG
11,方正中期,43339,13564.0,2026-05-07,FG2609,成交量,FG
12,中泰期货,41193,6328.0,2026-05-07,FG2609,成交量,FG
13,瑞达期货,37440,8384.0,2026-05-07,FG2609,成交量,FG
14,海通期货,37416,12316.0,2026-05-07,FG2609,成交量,FG
15,新湖期货,36478,15747.0,2026-05-07,FG2609,成交量,FG
16,国信期货,29464,3585.0,2026-05-07,FG2609,成交量,FG
17,永安期货,27725,-7763.0,2026-05-07,FG2609,成交量,FG
18,招商期货,26996,6398.0,2026-05-07,FG2609,成交量,FG
19,南华期货,25711,6963.0,2026-05-07,FG2609,成交量,FG
20,长江期货,25708,13410.0,2026-05-07,FG2609,成交量,FG
1,中信期货,214483,-26193.0,2026-05-08,FG2609,成交量,FG
2,国泰君安,205740,-11974.0,2026-05-08,FG2609,成交量,FG
3,东证期货,194766,7196.0,2026-05-08,FG2609,成交量,FG
4,华闻期货,79210,-280.0,2026-05-08,FG2609,成交量,FG
5,银河期货,64395,15931.0,2026-05-08,FG2609,成交量,FG
6,广发期货,59272,-677.0,2026-05-08,FG2609,成交量,FG
7,中信建投,56413,1092.0,2026-05-08,FG2609,成交量,FG
8,永安期货,49725,22000.0,2026-05-08,FG2609,成交量,FG
9,光大期货,49364,3827.0,2026-05-08,FG2609,成交量,FG
10,方正中期,43206,-133.0,2026-05-08,FG2609,成交量,FG
11,中泰期货,39865,-1328.0,2026-05-08,FG2609,成交量,FG
12,华泰期货,39833,-8136.0,2026-05-08,FG2609,成交量,FG
13,瑞达期货,39142,1702.0,2026-05-08,FG2609,成交量,FG
14,徽商期货,38641,-5155.0,2026-05-08,FG2609,成交量,FG
15,海通期货,35861,-1555.0,2026-05-08,FG2609,成交量,FG
16,新湖期货,35744,-734.0,2026-05-08,FG2609,成交量,FG
17,冠通期货,35085,24268.0,2026-05-08,FG2609,成交量,FG
18,国信期货,34975,5511.0,2026-05-08,FG2609,成交量,FG
19,长江期货,28128,2420.0,2026-05-08,FG2609,成交量,FG
20,建信期货,26859,11056.0,2026-05-08,FG2609,成交量,FG
