排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,19349,-158.0,2026-05-06,fu2606,多单持仓,FU
2,中信期货,14752,981.0,2026-05-06,fu2606,多单持仓,FU
3,银河期货,8413,211.0,2026-05-06,fu2606,多单持仓,FU
4,东证期货,8190,171.0,2026-05-06,fu2606,多单持仓,FU
5,永安期货,8123,976.0,2026-05-06,fu2606,多单持仓,FU
6,华泰期货,6666,571.0,2026-05-06,fu2606,多单持仓,FU
7,西部期货,5017,732.0,2026-05-06,fu2606,多单持仓,FU
8,方正中期,4362,1057.0,2026-05-06,fu2606,多单持仓,FU
9,国联期货,4326,112.0,2026-05-06,fu2606,多单持仓,FU
10,瑞达期货,3949,769.0,2026-05-06,fu2606,多单持仓,FU
11,广发期货,3658,-444.0,2026-05-06,fu2606,多单持仓,FU
12,海通期货,3428,-406.0,2026-05-06,fu2606,多单持仓,FU
13,华闻期货,2810,457.0,2026-05-06,fu2606,多单持仓,FU
14,兴证期货,2455,296.0,2026-05-06,fu2606,多单持仓,FU
15,南华期货,2434,24.0,2026-05-06,fu2606,多单持仓,FU
16,创元期货,2395,246.0,2026-05-06,fu2606,多单持仓,FU
17,光大期货,2221,-6.0,2026-05-06,fu2606,多单持仓,FU
18,中泰期货,2202,43.0,2026-05-06,fu2606,多单持仓,FU
19,平安期货,2177,58.0,2026-05-06,fu2606,多单持仓,FU
20,国投期货,2096,110.0,2026-05-06,fu2606,多单持仓,FU
1,国泰君安,20661,1312.0,2026-05-07,fu2606,多单持仓,FU
2,中信期货,14629,-123.0,2026-05-07,fu2606,多单持仓,FU
3,银河期货,8694,281.0,2026-05-07,fu2606,多单持仓,FU
4,华泰期货,8342,1676.0,2026-05-07,fu2606,多单持仓,FU
5,永安期货,8276,153.0,2026-05-07,fu2606,多单持仓,FU
6,东证期货,7776,-414.0,2026-05-07,fu2606,多单持仓,FU
7,西部期货,5037,20.0,2026-05-07,fu2606,多单持仓,FU
8,国联期货,3996,-330.0,2026-05-07,fu2606,多单持仓,FU
9,海通期货,3678,250.0,2026-05-07,fu2606,多单持仓,FU
10,方正中期,3383,-979.0,2026-05-07,fu2606,多单持仓,FU
11,广发期货,3144,-514.0,2026-05-07,fu2606,多单持仓,FU
12,瑞达期货,2541,-1408.0,2026-05-07,fu2606,多单持仓,FU
13,华闻期货,2533,-277.0,2026-05-07,fu2606,多单持仓,FU
14,光大期货,2457,236.0,2026-05-07,fu2606,多单持仓,FU
15,中泰期货,2269,67.0,2026-05-07,fu2606,多单持仓,FU
16,国投期货,2206,110.0,2026-05-07,fu2606,多单持仓,FU
17,宏源期货,2170,83.0,2026-05-07,fu2606,多单持仓,FU
18,创元期货,2090,-305.0,2026-05-07,fu2606,多单持仓,FU
19,国信期货,1860,15.0,2026-05-07,fu2606,多单持仓,FU
20,国盛期货,1787,-129.0,2026-05-07,fu2606,多单持仓,FU
1,国泰君安,19716,-945.0,2026-05-08,fu2606,多单持仓,FU
2,中信期货,12464,-2165.0,2026-05-08,fu2606,多单持仓,FU
3,银河期货,9379,685.0,2026-05-08,fu2606,多单持仓,FU
4,永安期货,7260,-1016.0,2026-05-08,fu2606,多单持仓,FU
5,东证期货,7063,-713.0,2026-05-08,fu2606,多单持仓,FU
6,华泰期货,6401,-1941.0,2026-05-08,fu2606,多单持仓,FU
7,西部期货,4790,-247.0,2026-05-08,fu2606,多单持仓,FU
8,国联期货,3891,-105.0,2026-05-08,fu2606,多单持仓,FU
9,方正中期,3647,264.0,2026-05-08,fu2606,多单持仓,FU
10,海通期货,3468,-210.0,2026-05-08,fu2606,多单持仓,FU
11,广发期货,3158,14.0,2026-05-08,fu2606,多单持仓,FU
12,华闻期货,2805,272.0,2026-05-08,fu2606,多单持仓,FU
13,宏源期货,2142,-28.0,2026-05-08,fu2606,多单持仓,FU
14,国投期货,2010,-196.0,2026-05-08,fu2606,多单持仓,FU
15,光大期货,1947,-510.0,2026-05-08,fu2606,多单持仓,FU
16,创元期货,1772,-318.0,2026-05-08,fu2606,多单持仓,FU
17,国盛期货,1769,-18.0,2026-05-08,fu2606,多单持仓,FU
18,国信期货,1723,-137.0,2026-05-08,fu2606,多单持仓,FU
19,浙商期货,1684,-37.0,2026-05-08,fu2606,多单持仓,FU
20,中信建投,1681,137.0,2026-05-08,fu2606,多单持仓,FU
