排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,11435,-144.0,2026-05-06,fu2606,空单持仓,FU
2,国泰君安,11068,-398.0,2026-05-06,fu2606,空单持仓,FU
3,银河期货,7825,162.0,2026-05-06,fu2606,空单持仓,FU
4,中信建投,6970,525.0,2026-05-06,fu2606,空单持仓,FU
5,东方财富,6369,470.0,2026-05-06,fu2606,空单持仓,FU
6,东证期货,5899,-269.0,2026-05-06,fu2606,空单持仓,FU
7,广发期货,5804,-105.0,2026-05-06,fu2606,空单持仓,FU
8,华泰期货,5575,190.0,2026-05-06,fu2606,空单持仓,FU
9,方正中期,4320,860.0,2026-05-06,fu2606,空单持仓,FU
10,平安期货,4171,669.0,2026-05-06,fu2606,空单持仓,FU
11,海通期货,3629,-145.0,2026-05-06,fu2606,空单持仓,FU
12,中泰期货,3186,239.0,2026-05-06,fu2606,空单持仓,FU
13,徽商期货,3167,98.0,2026-05-06,fu2606,空单持仓,FU
14,国信期货,3110,96.0,2026-05-06,fu2606,空单持仓,FU
15,光大期货,3086,-533.0,2026-05-06,fu2606,空单持仓,FU
16,永安期货,3076,382.0,2026-05-06,fu2606,空单持仓,FU
17,五矿期货,3049,-552.0,2026-05-06,fu2606,空单持仓,FU
18,招商期货,2626,341.0,2026-05-06,fu2606,空单持仓,FU
19,申万期货,2420,343.0,2026-05-06,fu2606,空单持仓,FU
20,宏源期货,2383,249.0,2026-05-06,fu2606,空单持仓,FU
1,国泰君安,11836,768.0,2026-05-07,fu2606,空单持仓,FU
2,中信期货,11322,-113.0,2026-05-07,fu2606,空单持仓,FU
3,银河期货,7588,-237.0,2026-05-07,fu2606,空单持仓,FU
4,华泰期货,6469,894.0,2026-05-07,fu2606,空单持仓,FU
5,中信建投,6465,-505.0,2026-05-07,fu2606,空单持仓,FU
6,东方财富,5382,-987.0,2026-05-07,fu2606,空单持仓,FU
7,东证期货,5368,-531.0,2026-05-07,fu2606,空单持仓,FU
8,广发期货,4950,-854.0,2026-05-07,fu2606,空单持仓,FU
9,方正中期,4183,-137.0,2026-05-07,fu2606,空单持仓,FU
10,平安期货,3884,-287.0,2026-05-07,fu2606,空单持仓,FU
11,海通期货,3810,181.0,2026-05-07,fu2606,空单持仓,FU
12,五矿期货,3693,644.0,2026-05-07,fu2606,空单持仓,FU
13,光大期货,3253,167.0,2026-05-07,fu2606,空单持仓,FU
14,招商期货,3217,591.0,2026-05-07,fu2606,空单持仓,FU
15,国信期货,3141,31.0,2026-05-07,fu2606,空单持仓,FU
16,徽商期货,2869,-298.0,2026-05-07,fu2606,空单持仓,FU
17,东吴期货,2760,429.0,2026-05-07,fu2606,空单持仓,FU
18,中泰期货,2459,-727.0,2026-05-07,fu2606,空单持仓,FU
19,永安期货,2441,-635.0,2026-05-07,fu2606,空单持仓,FU
20,申万期货,2227,-193.0,2026-05-07,fu2606,空单持仓,FU
1,中信期货,11234,-88.0,2026-05-08,fu2606,空单持仓,FU
2,国泰君安,11017,-819.0,2026-05-08,fu2606,空单持仓,FU
3,银河期货,5796,-1792.0,2026-05-08,fu2606,空单持仓,FU
4,华泰期货,5594,-875.0,2026-05-08,fu2606,空单持仓,FU
5,中信建投,5367,-1098.0,2026-05-08,fu2606,空单持仓,FU
6,东证期货,4730,-638.0,2026-05-08,fu2606,空单持仓,FU
7,广发期货,4689,-261.0,2026-05-08,fu2606,空单持仓,FU
8,东方财富,4535,-847.0,2026-05-08,fu2606,空单持仓,FU
9,方正中期,4147,-36.0,2026-05-08,fu2606,空单持仓,FU
10,五矿期货,4141,448.0,2026-05-08,fu2606,空单持仓,FU
11,海通期货,3583,-227.0,2026-05-08,fu2606,空单持仓,FU
12,平安期货,3326,-558.0,2026-05-08,fu2606,空单持仓,FU
13,光大期货,3175,-78.0,2026-05-08,fu2606,空单持仓,FU
14,国信期货,3071,-70.0,2026-05-08,fu2606,空单持仓,FU
15,徽商期货,2818,-51.0,2026-05-08,fu2606,空单持仓,FU
16,东吴期货,2569,-191.0,2026-05-08,fu2606,空单持仓,FU
17,中泰期货,2489,30.0,2026-05-08,fu2606,空单持仓,FU
18,华闻期货,2462,319.0,2026-05-08,fu2606,空单持仓,FU
19,招商期货,2457,-760.0,2026-05-08,fu2606,空单持仓,FU
20,申万期货,2284,57.0,2026-05-08,fu2606,空单持仓,FU
