排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,43142,-32046.0,2026-05-06,fu2606,成交量,FU
2,中信期货,25545,-36877.0,2026-05-06,fu2606,成交量,FU
3,东证期货,22910,-17269.0,2026-05-06,fu2606,成交量,FU
4,银河期货,14241,-16981.0,2026-05-06,fu2606,成交量,FU
5,广发期货,11493,-21285.0,2026-05-06,fu2606,成交量,FU
6,中信建投,11048,-17857.0,2026-05-06,fu2606,成交量,FU
7,海通期货,10474,-12517.0,2026-05-06,fu2606,成交量,FU
8,华泰期货,9525,-11161.0,2026-05-06,fu2606,成交量,FU
9,方正中期,8213,-10511.0,2026-05-06,fu2606,成交量,FU
10,东方财富,8060,-12907.0,2026-05-06,fu2606,成交量,FU
11,华闻期货,7472,-3650.0,2026-05-06,fu2606,成交量,FU
12,中泰期货,6806,-7135.0,2026-05-06,fu2606,成交量,FU
13,光大期货,5699,-6501.0,2026-05-06,fu2606,成交量,FU
14,浙商期货,5451,-2679.0,2026-05-06,fu2606,成交量,FU
15,东吴期货,5427,-7158.0,2026-05-06,fu2606,成交量,FU
16,平安期货,5317,-8955.0,2026-05-06,fu2606,成交量,FU
17,徽商期货,5222,-9477.0,2026-05-06,fu2606,成交量,FU
18,国信期货,4669,-7107.0,2026-05-06,fu2606,成交量,FU
19,永安期货,4604,-5423.0,2026-05-06,fu2606,成交量,FU
20,华安期货,3925,-4836.0,2026-05-06,fu2606,成交量,FU
1,国泰君安,63639,20497.0,2026-05-07,fu2606,成交量,FU
2,中信期货,41310,15765.0,2026-05-07,fu2606,成交量,FU
3,东证期货,30777,7867.0,2026-05-07,fu2606,成交量,FU
4,华泰期货,23560,14035.0,2026-05-07,fu2606,成交量,FU
5,银河期货,20941,6700.0,2026-05-07,fu2606,成交量,FU
6,中信建投,20572,9524.0,2026-05-07,fu2606,成交量,FU
7,广发期货,19495,8002.0,2026-05-07,fu2606,成交量,FU
8,海通期货,15381,4907.0,2026-05-07,fu2606,成交量,FU
9,东方财富,14417,6357.0,2026-05-07,fu2606,成交量,FU
10,方正中期,13002,4789.0,2026-05-07,fu2606,成交量,FU
11,中泰期货,12167,5361.0,2026-05-07,fu2606,成交量,FU
12,东吴期货,10104,4677.0,2026-05-07,fu2606,成交量,FU
13,华闻期货,8996,1524.0,2026-05-07,fu2606,成交量,FU
14,平安期货,8920,3603.0,2026-05-07,fu2606,成交量,FU
15,徽商期货,8888,3666.0,2026-05-07,fu2606,成交量,FU
16,浙商期货,8496,3045.0,2026-05-07,fu2606,成交量,FU
17,光大期货,8077,2378.0,2026-05-07,fu2606,成交量,FU
18,招商期货,7555,4362.0,2026-05-07,fu2606,成交量,FU
19,国信期货,7418,2749.0,2026-05-07,fu2606,成交量,FU
20,宏源期货,6658,2822.0,2026-05-07,fu2606,成交量,FU
1,国泰君安,52492,-11147.0,2026-05-08,fu2606,成交量,FU
2,中信期货,39876,-1434.0,2026-05-08,fu2606,成交量,FU
3,东证期货,27915,-2862.0,2026-05-08,fu2606,成交量,FU
4,银河期货,17815,-3126.0,2026-05-08,fu2606,成交量,FU
5,中信建投,17344,-3228.0,2026-05-08,fu2606,成交量,FU
6,华泰期货,16855,-6705.0,2026-05-08,fu2606,成交量,FU
7,广发期货,15685,-3810.0,2026-05-08,fu2606,成交量,FU
8,东方财富,12157,-2260.0,2026-05-08,fu2606,成交量,FU
9,海通期货,11461,-3920.0,2026-05-08,fu2606,成交量,FU
10,方正中期,9634,-3368.0,2026-05-08,fu2606,成交量,FU
11,华闻期货,9159,163.0,2026-05-08,fu2606,成交量,FU
12,中泰期货,9108,-3059.0,2026-05-08,fu2606,成交量,FU
13,平安期货,8067,-853.0,2026-05-08,fu2606,成交量,FU
14,浙商期货,7545,-951.0,2026-05-08,fu2606,成交量,FU
15,光大期货,7500,-577.0,2026-05-08,fu2606,成交量,FU
16,东吴期货,7397,-2707.0,2026-05-08,fu2606,成交量,FU
17,徽商期货,7110,-1778.0,2026-05-08,fu2606,成交量,FU
18,国信期货,7047,-371.0,2026-05-08,fu2606,成交量,FU
19,永安期货,5899,-295.0,2026-05-08,fu2606,成交量,FU
20,申万期货,5363,-440.0,2026-05-08,fu2606,成交量,FU
