排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,225371,6767.0,2026-05-06,hc2610,多单持仓,HC
2,中信期货,212860,22983.0,2026-05-06,hc2610,多单持仓,HC
3,东证期货,179599,20573.0,2026-05-06,hc2610,多单持仓,HC
4,乾坤期货,128569,5837.0,2026-05-06,hc2610,多单持仓,HC
5,光大期货,115392,1806.0,2026-05-06,hc2610,多单持仓,HC
6,永安期货,79314,8287.0,2026-05-06,hc2610,多单持仓,HC
7,中金财富,71203,9651.0,2026-05-06,hc2610,多单持仓,HC
8,银河期货,70596,8691.0,2026-05-06,hc2610,多单持仓,HC
9,华泰期货,67991,6464.0,2026-05-06,hc2610,多单持仓,HC
10,五矿期货,47432,-2737.0,2026-05-06,hc2610,多单持仓,HC
11,国投期货,35471,2404.0,2026-05-06,hc2610,多单持仓,HC
12,瑞达期货,35284,4107.0,2026-05-06,hc2610,多单持仓,HC
13,海通期货,32796,4733.0,2026-05-06,hc2610,多单持仓,HC
14,中泰期货,29095,-572.0,2026-05-06,hc2610,多单持仓,HC
15,中信建投,27144,645.0,2026-05-06,hc2610,多单持仓,HC
16,广发期货,24360,3955.0,2026-05-06,hc2610,多单持仓,HC
17,平安期货,22741,1839.0,2026-05-06,hc2610,多单持仓,HC
18,国贸期货,22411,-1438.0,2026-05-06,hc2610,多单持仓,HC
19,东吴期货,21994,996.0,2026-05-06,hc2610,多单持仓,HC
20,中财期货,21735,1646.0,2026-05-06,hc2610,多单持仓,HC
1,国泰君安,227729,2358.0,2026-05-07,hc2610,多单持仓,HC
2,中信期货,213536,676.0,2026-05-07,hc2610,多单持仓,HC
3,东证期货,180406,807.0,2026-05-07,hc2610,多单持仓,HC
4,乾坤期货,129830,1261.0,2026-05-07,hc2610,多单持仓,HC
5,光大期货,116235,843.0,2026-05-07,hc2610,多单持仓,HC
6,永安期货,80757,1443.0,2026-05-07,hc2610,多单持仓,HC
7,华泰期货,72020,4029.0,2026-05-07,hc2610,多单持仓,HC
8,银河期货,69627,-969.0,2026-05-07,hc2610,多单持仓,HC
9,中金财富,69027,-2176.0,2026-05-07,hc2610,多单持仓,HC
10,五矿期货,46210,-1222.0,2026-05-07,hc2610,多单持仓,HC
11,瑞达期货,36927,1643.0,2026-05-07,hc2610,多单持仓,HC
12,国投期货,36793,1322.0,2026-05-07,hc2610,多单持仓,HC
13,海通期货,31919,-877.0,2026-05-07,hc2610,多单持仓,HC
14,中泰期货,27370,-1725.0,2026-05-07,hc2610,多单持仓,HC
15,中信建投,26606,-538.0,2026-05-07,hc2610,多单持仓,HC
16,浙商期货,24342,3766.0,2026-05-07,hc2610,多单持仓,HC
17,广发期货,24329,-31.0,2026-05-07,hc2610,多单持仓,HC
18,平安期货,23185,444.0,2026-05-07,hc2610,多单持仓,HC
19,东吴期货,22375,381.0,2026-05-07,hc2610,多单持仓,HC
20,国贸期货,22093,-318.0,2026-05-07,hc2610,多单持仓,HC
1,国泰君安,230009,2280.0,2026-05-08,hc2610,多单持仓,HC
2,中信期货,217326,3790.0,2026-05-08,hc2610,多单持仓,HC
3,东证期货,179836,-570.0,2026-05-08,hc2610,多单持仓,HC
4,乾坤期货,129801,-29.0,2026-05-08,hc2610,多单持仓,HC
5,光大期货,113933,-2302.0,2026-05-08,hc2610,多单持仓,HC
6,永安期货,81138,381.0,2026-05-08,hc2610,多单持仓,HC
7,中金财富,69862,835.0,2026-05-08,hc2610,多单持仓,HC
8,银河期货,69392,-235.0,2026-05-08,hc2610,多单持仓,HC
9,华泰期货,69322,-2698.0,2026-05-08,hc2610,多单持仓,HC
10,五矿期货,44861,-1349.0,2026-05-08,hc2610,多单持仓,HC
11,国投期货,36933,140.0,2026-05-08,hc2610,多单持仓,HC
12,瑞达期货,34895,-2032.0,2026-05-08,hc2610,多单持仓,HC
13,海通期货,33785,1866.0,2026-05-08,hc2610,多单持仓,HC
14,中泰期货,27363,-7.0,2026-05-08,hc2610,多单持仓,HC
15,中信建投,26549,-57.0,2026-05-08,hc2610,多单持仓,HC
16,平安期货,25030,1845.0,2026-05-08,hc2610,多单持仓,HC
17,中财期货,24176,2992.0,2026-05-08,hc2610,多单持仓,HC
18,广发期货,23549,-780.0,2026-05-08,hc2610,多单持仓,HC
19,宏源期货,22651,1249.0,2026-05-08,hc2610,多单持仓,HC
20,浙商期货,22533,-1809.0,2026-05-08,hc2610,多单持仓,HC
