排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,393989,16827.0,2026-05-06,hc2610,空单持仓,HC
2,国贸期货,178784,4113.0,2026-05-06,hc2610,空单持仓,HC
3,东证期货,115434,16932.0,2026-05-06,hc2610,空单持仓,HC
4,永安期货,114288,10865.0,2026-05-06,hc2610,空单持仓,HC
5,银河期货,93215,7761.0,2026-05-06,hc2610,空单持仓,HC
6,中信期货,68352,5599.0,2026-05-06,hc2610,空单持仓,HC
7,南华期货,54934,2618.0,2026-05-06,hc2610,空单持仓,HC
8,光大期货,49665,3326.0,2026-05-06,hc2610,空单持仓,HC
9,中泰期货,47513,5675.0,2026-05-06,hc2610,空单持仓,HC
10,方正中期,44180,7351.0,2026-05-06,hc2610,空单持仓,HC
11,一德期货,42733,-6778.0,2026-05-06,hc2610,空单持仓,HC
12,物产中大,42617,539.0,2026-05-06,hc2610,空单持仓,HC
13,华闻期货,41164,2754.0,2026-05-06,hc2610,空单持仓,HC
14,五矿期货,37572,1428.0,2026-05-06,hc2610,空单持仓,HC
15,华泰期货,36762,6061.0,2026-05-06,hc2610,空单持仓,HC
16,国投期货,35380,3872.0,2026-05-06,hc2610,空单持仓,HC
17,浙商期货,33533,5625.0,2026-05-06,hc2610,空单持仓,HC
18,瑞达期货,33497,5537.0,2026-05-06,hc2610,空单持仓,HC
19,华宝期货,31073,5863.0,2026-05-06,hc2610,空单持仓,HC
20,北金期货,27489,17.0,2026-05-06,hc2610,空单持仓,HC
1,国泰君安,395186,1197.0,2026-05-07,hc2610,空单持仓,HC
2,国贸期货,178268,-516.0,2026-05-07,hc2610,空单持仓,HC
3,永安期货,117679,3391.0,2026-05-07,hc2610,空单持仓,HC
4,东证期货,116513,1079.0,2026-05-07,hc2610,空单持仓,HC
5,银河期货,101173,7958.0,2026-05-07,hc2610,空单持仓,HC
6,中信期货,70174,1822.0,2026-05-07,hc2610,空单持仓,HC
7,南华期货,54375,-559.0,2026-05-07,hc2610,空单持仓,HC
8,光大期货,52317,2652.0,2026-05-07,hc2610,空单持仓,HC
9,中泰期货,49430,1917.0,2026-05-07,hc2610,空单持仓,HC
10,一德期货,45180,2447.0,2026-05-07,hc2610,空单持仓,HC
11,物产中大,45106,2489.0,2026-05-07,hc2610,空单持仓,HC
12,方正中期,41488,-2692.0,2026-05-07,hc2610,空单持仓,HC
13,华闻期货,40489,-675.0,2026-05-07,hc2610,空单持仓,HC
14,华泰期货,38522,1760.0,2026-05-07,hc2610,空单持仓,HC
15,五矿期货,37372,-200.0,2026-05-07,hc2610,空单持仓,HC
16,国投期货,35294,-86.0,2026-05-07,hc2610,空单持仓,HC
17,浙商期货,33257,-276.0,2026-05-07,hc2610,空单持仓,HC
18,瑞达期货,31423,-2074.0,2026-05-07,hc2610,空单持仓,HC
19,华宝期货,31409,336.0,2026-05-07,hc2610,空单持仓,HC
20,北金期货,27471,-18.0,2026-05-07,hc2610,空单持仓,HC
1,国泰君安,388356,-6830.0,2026-05-08,hc2610,空单持仓,HC
2,国贸期货,176501,-1767.0,2026-05-08,hc2610,空单持仓,HC
3,东证期货,118866,2353.0,2026-05-08,hc2610,空单持仓,HC
4,永安期货,117404,-275.0,2026-05-08,hc2610,空单持仓,HC
5,银河期货,102383,1210.0,2026-05-08,hc2610,空单持仓,HC
6,中信期货,72134,1960.0,2026-05-08,hc2610,空单持仓,HC
7,南华期货,54811,436.0,2026-05-08,hc2610,空单持仓,HC
8,光大期货,53762,1445.0,2026-05-08,hc2610,空单持仓,HC
9,中泰期货,48028,-1402.0,2026-05-08,hc2610,空单持仓,HC
10,一德期货,44950,-230.0,2026-05-08,hc2610,空单持仓,HC
11,方正中期,42765,1277.0,2026-05-08,hc2610,空单持仓,HC
12,物产中大,41544,-3562.0,2026-05-08,hc2610,空单持仓,HC
13,华泰期货,39297,775.0,2026-05-08,hc2610,空单持仓,HC
14,华闻期货,38987,-1502.0,2026-05-08,hc2610,空单持仓,HC
15,五矿期货,38321,949.0,2026-05-08,hc2610,空单持仓,HC
16,国投期货,34666,-628.0,2026-05-08,hc2610,空单持仓,HC
17,瑞达期货,33699,2276.0,2026-05-08,hc2610,空单持仓,HC
18,浙商期货,33074,-183.0,2026-05-08,hc2610,空单持仓,HC
19,华宝期货,31310,-99.0,2026-05-08,hc2610,空单持仓,HC
20,北金期货,27345,-126.0,2026-05-08,hc2610,空单持仓,HC
