排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,164360,39981.0,2026-05-06,hc2610,成交量,HC
2,东证期货,148527,31984.0,2026-05-06,hc2610,成交量,HC
3,中信期货,105784,24607.0,2026-05-06,hc2610,成交量,HC
4,华泰期货,58767,26436.0,2026-05-06,hc2610,成交量,HC
5,银河期货,41058,8152.0,2026-05-06,hc2610,成交量,HC
6,海通期货,39588,15005.0,2026-05-06,hc2610,成交量,HC
7,永安期货,37492,11729.0,2026-05-06,hc2610,成交量,HC
8,中泰期货,30451,9495.0,2026-05-06,hc2610,成交量,HC
9,一德期货,23056,6738.0,2026-05-06,hc2610,成交量,HC
10,方正中期,21239,5368.0,2026-05-06,hc2610,成交量,HC
11,瑞达期货,18802,1683.0,2026-05-06,hc2610,成交量,HC
12,中金财富,15960,6347.0,2026-05-06,hc2610,成交量,HC
13,五矿期货,15265,6065.0,2026-05-06,hc2610,成交量,HC
14,国贸期货,14895,-10.0,2026-05-06,hc2610,成交量,HC
15,宏源期货,14364,3865.0,2026-05-06,hc2610,成交量,HC
16,东吴期货,13968,1760.0,2026-05-06,hc2610,成交量,HC
17,中辉期货,13379,3698.0,2026-05-06,hc2610,成交量,HC
18,浙商期货,13109,-4961.0,2026-05-06,hc2610,成交量,HC
19,徽商期货,12711,4150.0,2026-05-06,hc2610,成交量,HC
20,南华期货,12618,-1325.0,2026-05-06,hc2610,成交量,HC
1,国泰君安,142661,-21699.0,2026-05-07,hc2610,成交量,HC
2,东证期货,124254,-24273.0,2026-05-07,hc2610,成交量,HC
3,中信期货,101688,-4096.0,2026-05-07,hc2610,成交量,HC
4,华泰期货,61181,2414.0,2026-05-07,hc2610,成交量,HC
5,银河期货,36435,-4623.0,2026-05-07,hc2610,成交量,HC
6,海通期货,31063,-8525.0,2026-05-07,hc2610,成交量,HC
7,华闻期货,22977,11680.0,2026-05-07,hc2610,成交量,HC
8,新湖期货,21470,9568.0,2026-05-07,hc2610,成交量,HC
9,永安期货,18540,-18952.0,2026-05-07,hc2610,成交量,HC
10,东吴期货,18003,4035.0,2026-05-07,hc2610,成交量,HC
11,光大期货,17779,7871.0,2026-05-07,hc2610,成交量,HC
12,中泰期货,17206,-13245.0,2026-05-07,hc2610,成交量,HC
13,南华期货,16633,4015.0,2026-05-07,hc2610,成交量,HC
14,创元期货,16254,4974.0,2026-05-07,hc2610,成交量,HC
15,方正中期,15453,-5786.0,2026-05-07,hc2610,成交量,HC
16,广发期货,14547,1929.0,2026-05-07,hc2610,成交量,HC
17,国贸期货,13880,-1015.0,2026-05-07,hc2610,成交量,HC
18,中辉期货,13799,420.0,2026-05-07,hc2610,成交量,HC
19,物产中大,13040,2847.0,2026-05-07,hc2610,成交量,HC
20,国信期货,12299,3848.0,2026-05-07,hc2610,成交量,HC
1,国泰君安,156144,13483.0,2026-05-08,hc2610,成交量,HC
2,东证期货,114777,-9477.0,2026-05-08,hc2610,成交量,HC
3,中信期货,74470,-27218.0,2026-05-08,hc2610,成交量,HC
4,华泰期货,45753,-15428.0,2026-05-08,hc2610,成交量,HC
5,海通期货,21469,-9594.0,2026-05-08,hc2610,成交量,HC
6,银河期货,21199,-15236.0,2026-05-08,hc2610,成交量,HC
7,永安期货,19200,660.0,2026-05-08,hc2610,成交量,HC
8,创元期货,16588,334.0,2026-05-08,hc2610,成交量,HC
9,光大期货,15735,-2044.0,2026-05-08,hc2610,成交量,HC
10,华闻期货,15614,-7363.0,2026-05-08,hc2610,成交量,HC
11,方正中期,14840,-613.0,2026-05-08,hc2610,成交量,HC
12,中泰期货,14343,-2863.0,2026-05-08,hc2610,成交量,HC
13,瑞达期货,14286,2891.0,2026-05-08,hc2610,成交量,HC
14,南华期货,13940,-2693.0,2026-05-08,hc2610,成交量,HC
15,物产中大,13558,518.0,2026-05-08,hc2610,成交量,HC
16,广发期货,11966,-2581.0,2026-05-08,hc2610,成交量,HC
17,中信建投,11580,1333.0,2026-05-08,hc2610,成交量,HC
18,东吴期货,11480,-6523.0,2026-05-08,hc2610,成交量,HC
19,浙商期货,9794,-224.0,2026-05-08,hc2610,成交量,HC
20,徽商期货,9704,-162.0,2026-05-08,hc2610,成交量,HC
