排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,57442,1204.0,2026-05-06,i2609,多单持仓,I
2,东证期货,53275,3650.0,2026-05-06,i2609,多单持仓,I
3,国泰君安,46581,1934.0,2026-05-06,i2609,多单持仓,I
4,高盛期货,36906,1677.0,2026-05-06,i2609,多单持仓,I
5,银河期货,34067,1817.0,2026-05-06,i2609,多单持仓,I
6,永安期货,28904,2594.0,2026-05-06,i2609,多单持仓,I
7,摩根大通,28273,1704.0,2026-05-06,i2609,多单持仓,I
8,华泰期货,22591,-924.0,2026-05-06,i2609,多单持仓,I
9,中金财富,18218,101.0,2026-05-06,i2609,多单持仓,I
10,海通期货,13427,537.0,2026-05-06,i2609,多单持仓,I
11,浙商期货,13085,2538.0,2026-05-06,i2609,多单持仓,I
12,广发期货,12184,646.0,2026-05-06,i2609,多单持仓,I
13,海证期货,12051,-606.0,2026-05-06,i2609,多单持仓,I
14,国投期货,11823,-454.0,2026-05-06,i2609,多单持仓,I
15,五矿期货,10467,234.0,2026-05-06,i2609,多单持仓,I
16,新湖期货,9547,985.0,2026-05-06,i2609,多单持仓,I
17,方正中期,8547,-1005.0,2026-05-06,i2609,多单持仓,I
18,光大期货,7961,57.0,2026-05-06,i2609,多单持仓,I
19,兴证期货,7777,798.0,2026-05-06,i2609,多单持仓,I
20,中信建投,7252,377.0,2026-05-06,i2609,多单持仓,I
1,中信期货,58043,601.0,2026-05-07,i2609,多单持仓,I
2,东证期货,55025,1750.0,2026-05-07,i2609,多单持仓,I
3,国泰君安,48638,2057.0,2026-05-07,i2609,多单持仓,I
4,高盛期货,36458,-448.0,2026-05-07,i2609,多单持仓,I
5,银河期货,33357,-710.0,2026-05-07,i2609,多单持仓,I
6,永安期货,30724,1820.0,2026-05-07,i2609,多单持仓,I
7,摩根大通,30183,1910.0,2026-05-07,i2609,多单持仓,I
8,华泰期货,23210,619.0,2026-05-07,i2609,多单持仓,I
9,中金财富,18120,-98.0,2026-05-07,i2609,多单持仓,I
10,浙商期货,14957,1872.0,2026-05-07,i2609,多单持仓,I
11,海通期货,13271,-156.0,2026-05-07,i2609,多单持仓,I
12,广发期货,12486,302.0,2026-05-07,i2609,多单持仓,I
13,国投期货,11876,53.0,2026-05-07,i2609,多单持仓,I
14,海证期货,11861,-190.0,2026-05-07,i2609,多单持仓,I
15,五矿期货,10731,264.0,2026-05-07,i2609,多单持仓,I
16,新湖期货,10142,595.0,2026-05-07,i2609,多单持仓,I
17,方正中期,8619,72.0,2026-05-07,i2609,多单持仓,I
18,南华期货,8394,1247.0,2026-05-07,i2609,多单持仓,I
19,兴证期货,8070,293.0,2026-05-07,i2609,多单持仓,I
20,光大期货,7887,-74.0,2026-05-07,i2609,多单持仓,I
1,中信期货,60022,1979.0,2026-05-08,i2609,多单持仓,I
2,东证期货,55258,233.0,2026-05-08,i2609,多单持仓,I
3,国泰君安,48772,134.0,2026-05-08,i2609,多单持仓,I
4,高盛期货,37893,1435.0,2026-05-08,i2609,多单持仓,I
5,银河期货,33926,569.0,2026-05-08,i2609,多单持仓,I
6,永安期货,31085,361.0,2026-05-08,i2609,多单持仓,I
7,摩根大通,30539,356.0,2026-05-08,i2609,多单持仓,I
8,华泰期货,23920,710.0,2026-05-08,i2609,多单持仓,I
9,中金财富,18991,871.0,2026-05-08,i2609,多单持仓,I
10,浙商期货,15761,804.0,2026-05-08,i2609,多单持仓,I
11,海通期货,13356,85.0,2026-05-08,i2609,多单持仓,I
12,广发期货,12422,-64.0,2026-05-08,i2609,多单持仓,I
13,国投期货,12143,267.0,2026-05-08,i2609,多单持仓,I
14,海证期货,11897,36.0,2026-05-08,i2609,多单持仓,I
15,五矿期货,10744,13.0,2026-05-08,i2609,多单持仓,I
16,新湖期货,10161,19.0,2026-05-08,i2609,多单持仓,I
17,南华期货,8760,366.0,2026-05-08,i2609,多单持仓,I
18,方正中期,8683,64.0,2026-05-08,i2609,多单持仓,I
19,光大期货,8345,458.0,2026-05-08,i2609,多单持仓,I
20,平安期货,8266,779.0,2026-05-08,i2609,多单持仓,I
