排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,64812,2137.0,2026-05-06,i2609,空单持仓,I
2,永安期货,34765,30.0,2026-05-06,i2609,空单持仓,I
3,华泰期货,33482,4853.0,2026-05-06,i2609,空单持仓,I
4,中信期货,32974,4416.0,2026-05-06,i2609,空单持仓,I
5,银河期货,26725,96.0,2026-05-06,i2609,空单持仓,I
6,一德期货,20340,221.0,2026-05-06,i2609,空单持仓,I
7,东证期货,19911,433.0,2026-05-06,i2609,空单持仓,I
8,国投期货,19276,1548.0,2026-05-06,i2609,空单持仓,I
9,建信期货,18464,327.0,2026-05-06,i2609,空单持仓,I
10,中信建投,17914,168.0,2026-05-06,i2609,空单持仓,I
11,国贸期货,17908,2166.0,2026-05-06,i2609,空单持仓,I
12,五矿期货,17015,263.0,2026-05-06,i2609,空单持仓,I
13,中泰期货,16798,998.0,2026-05-06,i2609,空单持仓,I
14,方正中期,16027,171.0,2026-05-06,i2609,空单持仓,I
15,宏源期货,15803,1388.0,2026-05-06,i2609,空单持仓,I
16,物产中大,13627,1298.0,2026-05-06,i2609,空单持仓,I
17,海通期货,13347,1892.0,2026-05-06,i2609,空单持仓,I
18,高盛期货,12685,64.0,2026-05-06,i2609,空单持仓,I
19,南华期货,11525,134.0,2026-05-06,i2609,空单持仓,I
20,浙商期货,11472,-636.0,2026-05-06,i2609,空单持仓,I
1,国泰君安,64192,-620.0,2026-05-07,i2609,空单持仓,I
2,中信期货,35577,2603.0,2026-05-07,i2609,空单持仓,I
3,永安期货,34646,-119.0,2026-05-07,i2609,空单持仓,I
4,华泰期货,34389,907.0,2026-05-07,i2609,空单持仓,I
5,银河期货,29734,3009.0,2026-05-07,i2609,空单持仓,I
6,一德期货,22471,2131.0,2026-05-07,i2609,空单持仓,I
7,东证期货,21045,1134.0,2026-05-07,i2609,空单持仓,I
8,建信期货,19144,680.0,2026-05-07,i2609,空单持仓,I
9,国投期货,19008,-268.0,2026-05-07,i2609,空单持仓,I
10,中信建投,18300,386.0,2026-05-07,i2609,空单持仓,I
11,国贸期货,18296,388.0,2026-05-07,i2609,空单持仓,I
12,五矿期货,17437,422.0,2026-05-07,i2609,空单持仓,I
13,中泰期货,17390,592.0,2026-05-07,i2609,空单持仓,I
14,方正中期,16192,165.0,2026-05-07,i2609,空单持仓,I
15,宏源期货,16102,299.0,2026-05-07,i2609,空单持仓,I
16,物产中大,14320,693.0,2026-05-07,i2609,空单持仓,I
17,海通期货,13261,-86.0,2026-05-07,i2609,空单持仓,I
18,浙商期货,12688,1216.0,2026-05-07,i2609,空单持仓,I
19,高盛期货,12308,-377.0,2026-05-07,i2609,空单持仓,I
20,南华期货,11880,355.0,2026-05-07,i2609,空单持仓,I
1,国泰君安,61649,-2543.0,2026-05-08,i2609,空单持仓,I
2,中信期货,36857,1280.0,2026-05-08,i2609,空单持仓,I
3,永安期货,36095,1449.0,2026-05-08,i2609,空单持仓,I
4,华泰期货,34737,348.0,2026-05-08,i2609,空单持仓,I
5,银河期货,29408,-326.0,2026-05-08,i2609,空单持仓,I
6,一德期货,23245,774.0,2026-05-08,i2609,空单持仓,I
7,东证期货,20980,-65.0,2026-05-08,i2609,空单持仓,I
8,建信期货,19879,735.0,2026-05-08,i2609,空单持仓,I
9,国投期货,19458,450.0,2026-05-08,i2609,空单持仓,I
10,国贸期货,18260,-36.0,2026-05-08,i2609,空单持仓,I
11,中信建投,17956,-344.0,2026-05-08,i2609,空单持仓,I
12,中泰期货,17497,107.0,2026-05-08,i2609,空单持仓,I
13,方正中期,16743,551.0,2026-05-08,i2609,空单持仓,I
14,五矿期货,16733,-704.0,2026-05-08,i2609,空单持仓,I
15,宏源期货,15960,-142.0,2026-05-08,i2609,空单持仓,I
16,物产中大,15143,823.0,2026-05-08,i2609,空单持仓,I
17,浙商期货,13366,678.0,2026-05-08,i2609,空单持仓,I
18,海通期货,13117,-144.0,2026-05-08,i2609,空单持仓,I
19,高盛期货,12491,183.0,2026-05-08,i2609,空单持仓,I
20,南华期货,12354,474.0,2026-05-08,i2609,空单持仓,I
