排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,58687,-3665.0,2026-05-06,i2609,成交量,I
2,东证期货,52507,-7297.0,2026-05-06,i2609,成交量,I
3,中信期货,51148,-2094.0,2026-05-06,i2609,成交量,I
4,华泰期货,22853,-2018.0,2026-05-06,i2609,成交量,I
5,广发期货,21693,1384.0,2026-05-06,i2609,成交量,I
6,银河期货,14999,782.0,2026-05-06,i2609,成交量,I
7,中泰期货,14440,1682.0,2026-05-06,i2609,成交量,I
8,华闻期货,14231,2420.0,2026-05-06,i2609,成交量,I
9,海通期货,12585,662.0,2026-05-06,i2609,成交量,I
10,浙商期货,11764,2035.0,2026-05-06,i2609,成交量,I
11,永安期货,10498,-813.0,2026-05-06,i2609,成交量,I
12,五矿期货,10295,-17415.0,2026-05-06,i2609,成交量,I
13,南华期货,9121,-2640.0,2026-05-06,i2609,成交量,I
14,大地期货,9089,6717.0,2026-05-06,i2609,成交量,I
15,方正中期,8704,-253.0,2026-05-06,i2609,成交量,I
16,招商期货,7441,1378.0,2026-05-06,i2609,成交量,I
17,国联期货,7389,151.0,2026-05-06,i2609,成交量,I
18,中信建投,7279,108.0,2026-05-06,i2609,成交量,I
19,东海期货,7209,1350.0,2026-05-06,i2609,成交量,I
20,光大期货,6536,-1206.0,2026-05-06,i2609,成交量,I
1,国泰君安,61402,2715.0,2026-05-07,i2609,成交量,I
2,中信期货,52202,1054.0,2026-05-07,i2609,成交量,I
3,东证期货,47004,-5503.0,2026-05-07,i2609,成交量,I
4,华泰期货,18720,-4133.0,2026-05-07,i2609,成交量,I
5,华闻期货,13504,-727.0,2026-05-07,i2609,成交量,I
6,五矿期货,11844,1549.0,2026-05-07,i2609,成交量,I
7,永安期货,11291,793.0,2026-05-07,i2609,成交量,I
8,广发期货,10901,-10792.0,2026-05-07,i2609,成交量,I
9,银河期货,10621,-4378.0,2026-05-07,i2609,成交量,I
10,海通期货,9796,-2789.0,2026-05-07,i2609,成交量,I
11,南华期货,9268,147.0,2026-05-07,i2609,成交量,I
12,中泰期货,9199,-5241.0,2026-05-07,i2609,成交量,I
13,渤海期货,7391,1735.0,2026-05-07,i2609,成交量,I
14,浙商期货,6800,-4964.0,2026-05-07,i2609,成交量,I
15,方正中期,6679,-2025.0,2026-05-07,i2609,成交量,I
16,光大期货,6531,-5.0,2026-05-07,i2609,成交量,I
17,国联期货,6091,-1298.0,2026-05-07,i2609,成交量,I
18,瑞达期货,5453,1814.0,2026-05-07,i2609,成交量,I
19,中信建投,5429,-1850.0,2026-05-07,i2609,成交量,I
20,宏源期货,5042,721.0,2026-05-07,i2609,成交量,I
1,国泰君安,66161,4759.0,2026-05-08,i2609,成交量,I
2,中信期货,57339,5137.0,2026-05-08,i2609,成交量,I
3,东证期货,50804,3800.0,2026-05-08,i2609,成交量,I
4,五矿期货,19345,7501.0,2026-05-08,i2609,成交量,I
5,华泰期货,19316,596.0,2026-05-08,i2609,成交量,I
6,广发期货,17677,6776.0,2026-05-08,i2609,成交量,I
7,海通期货,12101,2305.0,2026-05-08,i2609,成交量,I
8,华闻期货,11950,-1554.0,2026-05-08,i2609,成交量,I
9,银河期货,11451,830.0,2026-05-08,i2609,成交量,I
10,永安期货,11404,113.0,2026-05-08,i2609,成交量,I
11,中泰期货,9945,746.0,2026-05-08,i2609,成交量,I
12,徽商期货,8747,4680.0,2026-05-08,i2609,成交量,I
13,南华期货,8672,-596.0,2026-05-08,i2609,成交量,I
14,国联期货,8616,2525.0,2026-05-08,i2609,成交量,I
15,光大期货,7367,836.0,2026-05-08,i2609,成交量,I
16,宏源期货,6547,1505.0,2026-05-08,i2609,成交量,I
17,方正中期,6353,-326.0,2026-05-08,i2609,成交量,I
18,申银万国,6058,2193.0,2026-05-08,i2609,成交量,I
19,瑞达期货,5964,511.0,2026-05-08,i2609,成交量,I
20,中信建投,5940,511.0,2026-05-08,i2609,成交量,I
