排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,3506,14.0,2026-05-06,j2609,多单持仓,J
2,国泰君安,3420,371.0,2026-05-06,j2609,多单持仓,J
3,东证期货,3029,133.0,2026-05-06,j2609,多单持仓,J
4,银河期货,1689,153.0,2026-05-06,j2609,多单持仓,J
5,华泰期货,1631,-35.0,2026-05-06,j2609,多单持仓,J
6,永安期货,1053,-32.0,2026-05-06,j2609,多单持仓,J
7,中信建投,717,91.0,2026-05-06,j2609,多单持仓,J
8,国投期货,684,-97.0,2026-05-06,j2609,多单持仓,J
9,北京首创,676,-2.0,2026-05-06,j2609,多单持仓,J
10,交子期货,632,7.0,2026-05-06,j2609,多单持仓,J
11,申银万国,587,25.0,2026-05-06,j2609,多单持仓,J
12,东吴期货,529,35.0,2026-05-06,j2609,多单持仓,J
13,宝城期货,486,101.0,2026-05-06,j2609,多单持仓,J
14,海通期货,485,83.0,2026-05-06,j2609,多单持仓,J
15,宏源期货,456,75.0,2026-05-06,j2609,多单持仓,J
16,国联期货,411,28.0,2026-05-06,j2609,多单持仓,J
17,瑞达期货,407,-52.0,2026-05-06,j2609,多单持仓,J
18,国富期货,404,0.0,2026-05-06,j2609,多单持仓,J
19,国贸期货,394,-1.0,2026-05-06,j2609,多单持仓,J
20,兴证期货,375,-1.0,2026-05-06,j2609,多单持仓,J
1,中信期货,3663,157.0,2026-05-07,j2609,多单持仓,J
2,国泰君安,3572,152.0,2026-05-07,j2609,多单持仓,J
3,东证期货,3117,88.0,2026-05-07,j2609,多单持仓,J
4,华泰期货,1713,82.0,2026-05-07,j2609,多单持仓,J
5,银河期货,1659,-30.0,2026-05-07,j2609,多单持仓,J
6,永安期货,1033,-20.0,2026-05-07,j2609,多单持仓,J
7,中信建投,739,22.0,2026-05-07,j2609,多单持仓,J
8,北京首创,682,6.0,2026-05-07,j2609,多单持仓,J
9,国投期货,679,-5.0,2026-05-07,j2609,多单持仓,J
10,交子期货,619,-13.0,2026-05-07,j2609,多单持仓,J
11,申银万国,585,-2.0,2026-05-07,j2609,多单持仓,J
12,宝城期货,512,26.0,2026-05-07,j2609,多单持仓,J
13,东吴期货,510,-19.0,2026-05-07,j2609,多单持仓,J
14,海通期货,489,4.0,2026-05-07,j2609,多单持仓,J
15,瑞达期货,473,66.0,2026-05-07,j2609,多单持仓,J
16,宏源期货,435,-21.0,2026-05-07,j2609,多单持仓,J
17,国富期货,404,0.0,2026-05-07,j2609,多单持仓,J
18,国联期货,401,-10.0,2026-05-07,j2609,多单持仓,J
19,广发期货,396,78.0,2026-05-07,j2609,多单持仓,J
20,兴证期货,391,16.0,2026-05-07,j2609,多单持仓,J
1,中信期货,3626,-37.0,2026-05-08,j2609,多单持仓,J
2,国泰君安,3594,22.0,2026-05-08,j2609,多单持仓,J
3,东证期货,2959,-158.0,2026-05-08,j2609,多单持仓,J
4,华泰期货,1705,-8.0,2026-05-08,j2609,多单持仓,J
5,银河期货,1609,-50.0,2026-05-08,j2609,多单持仓,J
6,永安期货,1030,-3.0,2026-05-08,j2609,多单持仓,J
7,北京首创,736,54.0,2026-05-08,j2609,多单持仓,J
8,中信建投,716,-23.0,2026-05-08,j2609,多单持仓,J
9,国投期货,676,-3.0,2026-05-08,j2609,多单持仓,J
10,交子期货,616,-3.0,2026-05-08,j2609,多单持仓,J
11,申银万国,587,2.0,2026-05-08,j2609,多单持仓,J
12,瑞达期货,502,29.0,2026-05-08,j2609,多单持仓,J
13,东吴期货,485,-25.0,2026-05-08,j2609,多单持仓,J
14,浙商期货,419,54.0,2026-05-08,j2609,多单持仓,J
15,海通期货,419,-70.0,2026-05-08,j2609,多单持仓,J
16,宝城期货,414,-98.0,2026-05-08,j2609,多单持仓,J
17,兴证期货,413,22.0,2026-05-08,j2609,多单持仓,J
18,宏源期货,386,-49.0,2026-05-08,j2609,多单持仓,J
19,方正中期,379,46.0,2026-05-08,j2609,多单持仓,J
20,广发期货,367,-29.0,2026-05-08,j2609,多单持仓,J
