排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,4254,149.0,2026-05-06,j2609,空单持仓,J
2,华泰期货,2382,-7.0,2026-05-06,j2609,空单持仓,J
3,国泰君安,2227,-121.0,2026-05-06,j2609,空单持仓,J
4,浙商期货,1669,22.0,2026-05-06,j2609,空单持仓,J
5,东证期货,1618,119.0,2026-05-06,j2609,空单持仓,J
6,物产中大,1617,61.0,2026-05-06,j2609,空单持仓,J
7,中泰期货,1503,370.0,2026-05-06,j2609,空单持仓,J
8,国投期货,1099,145.0,2026-05-06,j2609,空单持仓,J
9,永安期货,977,65.0,2026-05-06,j2609,空单持仓,J
10,方正中期,883,11.0,2026-05-06,j2609,空单持仓,J
11,海证期货,872,240.0,2026-05-06,j2609,空单持仓,J
12,广发期货,689,32.0,2026-05-06,j2609,空单持仓,J
13,中辉期货,668,107.0,2026-05-06,j2609,空单持仓,J
14,银河期货,621,49.0,2026-05-06,j2609,空单持仓,J
15,创元期货,604,6.0,2026-05-06,j2609,空单持仓,J
16,中金财富,557,-48.0,2026-05-06,j2609,空单持仓,J
17,一德期货,495,168.0,2026-05-06,j2609,空单持仓,J
18,徽商期货,466,80.0,2026-05-06,j2609,空单持仓,J
19,国贸期货,453,96.0,2026-05-06,j2609,空单持仓,J
20,光大期货,442,37.0,2026-05-06,j2609,空单持仓,J
1,中信期货,4294,40.0,2026-05-07,j2609,空单持仓,J
2,国泰君安,2433,206.0,2026-05-07,j2609,空单持仓,J
3,华泰期货,2366,-16.0,2026-05-07,j2609,空单持仓,J
4,东证期货,1768,150.0,2026-05-07,j2609,空单持仓,J
5,物产中大,1612,-5.0,2026-05-07,j2609,空单持仓,J
6,浙商期货,1546,-123.0,2026-05-07,j2609,空单持仓,J
7,中泰期货,1488,-15.0,2026-05-07,j2609,空单持仓,J
8,国投期货,1097,-2.0,2026-05-07,j2609,空单持仓,J
9,永安期货,885,-92.0,2026-05-07,j2609,空单持仓,J
10,方正中期,863,-20.0,2026-05-07,j2609,空单持仓,J
11,海证期货,849,-23.0,2026-05-07,j2609,空单持仓,J
12,广发期货,784,95.0,2026-05-07,j2609,空单持仓,J
13,创元期货,680,76.0,2026-05-07,j2609,空单持仓,J
14,银河期货,666,45.0,2026-05-07,j2609,空单持仓,J
15,中辉期货,602,-66.0,2026-05-07,j2609,空单持仓,J
16,中金财富,584,27.0,2026-05-07,j2609,空单持仓,J
17,徽商期货,481,15.0,2026-05-07,j2609,空单持仓,J
18,平安期货,442,11.0,2026-05-07,j2609,空单持仓,J
19,光大期货,426,-16.0,2026-05-07,j2609,空单持仓,J
20,兴证期货,417,10.0,2026-05-07,j2609,空单持仓,J
1,中信期货,4115,-179.0,2026-05-08,j2609,空单持仓,J
2,国泰君安,2466,33.0,2026-05-08,j2609,空单持仓,J
3,华泰期货,2317,-49.0,2026-05-08,j2609,空单持仓,J
4,东证期货,1861,93.0,2026-05-08,j2609,空单持仓,J
5,物产中大,1616,4.0,2026-05-08,j2609,空单持仓,J
6,浙商期货,1528,-18.0,2026-05-08,j2609,空单持仓,J
7,中泰期货,1229,-259.0,2026-05-08,j2609,空单持仓,J
8,国投期货,1077,-20.0,2026-05-08,j2609,空单持仓,J
9,永安期货,954,69.0,2026-05-08,j2609,空单持仓,J
10,海证期货,877,28.0,2026-05-08,j2609,空单持仓,J
11,方正中期,844,-19.0,2026-05-08,j2609,空单持仓,J
12,广发期货,762,-22.0,2026-05-08,j2609,空单持仓,J
13,创元期货,713,33.0,2026-05-08,j2609,空单持仓,J
14,中辉期货,662,60.0,2026-05-08,j2609,空单持仓,J
15,银河期货,649,-17.0,2026-05-08,j2609,空单持仓,J
16,徽商期货,500,19.0,2026-05-08,j2609,空单持仓,J
17,中金财富,449,-135.0,2026-05-08,j2609,空单持仓,J
18,兴证期货,435,18.0,2026-05-08,j2609,空单持仓,J
19,平安期货,429,-13.0,2026-05-08,j2609,空单持仓,J
20,光大期货,399,-27.0,2026-05-08,j2609,空单持仓,J
