排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,3585,-140.0,2026-05-06,j2609,成交量,J
2,国泰君安,3060,18.0,2026-05-06,j2609,成交量,J
3,东证期货,2140,-386.0,2026-05-06,j2609,成交量,J
4,海通期货,1184,140.0,2026-05-06,j2609,成交量,J
5,华闻期货,1100,-87.0,2026-05-06,j2609,成交量,J
6,华泰期货,884,-79.0,2026-05-06,j2609,成交量,J
7,银河期货,782,132.0,2026-05-06,j2609,成交量,J
8,中泰期货,651,-61.0,2026-05-06,j2609,成交量,J
9,光大期货,520,168.0,2026-05-06,j2609,成交量,J
10,广发期货,483,15.0,2026-05-06,j2609,成交量,J
11,国投期货,480,47.0,2026-05-06,j2609,成交量,J
12,国元期货,463,19.0,2026-05-06,j2609,成交量,J
13,永安期货,443,-240.0,2026-05-06,j2609,成交量,J
14,渤海期货,433,-37.0,2026-05-06,j2609,成交量,J
15,方正中期,429,58.0,2026-05-06,j2609,成交量,J
16,海证期货,426,25.0,2026-05-06,j2609,成交量,J
17,招商期货,351,-163.0,2026-05-06,j2609,成交量,J
18,中辉期货,331,-7.0,2026-05-06,j2609,成交量,J
19,兴证期货,303,-105.0,2026-05-06,j2609,成交量,J
20,瑞达期货,303,-90.0,2026-05-06,j2609,成交量,J
1,中信期货,4075,490.0,2026-05-07,j2609,成交量,J
2,国泰君安,3378,318.0,2026-05-07,j2609,成交量,J
3,东证期货,2302,162.0,2026-05-07,j2609,成交量,J
4,华泰期货,1258,374.0,2026-05-07,j2609,成交量,J
5,华闻期货,1215,115.0,2026-05-07,j2609,成交量,J
6,海通期货,1026,-158.0,2026-05-07,j2609,成交量,J
7,中泰期货,1001,350.0,2026-05-07,j2609,成交量,J
8,银河期货,745,-37.0,2026-05-07,j2609,成交量,J
9,广发期货,669,186.0,2026-05-07,j2609,成交量,J
10,光大期货,636,116.0,2026-05-07,j2609,成交量,J
11,永安期货,616,173.0,2026-05-07,j2609,成交量,J
12,招商期货,599,248.0,2026-05-07,j2609,成交量,J
13,国元期货,597,134.0,2026-05-07,j2609,成交量,J
14,海证期货,456,30.0,2026-05-07,j2609,成交量,J
15,瑞达期货,429,126.0,2026-05-07,j2609,成交量,J
16,浙商期货,423,220.0,2026-05-07,j2609,成交量,J
17,一德期货,416,234.0,2026-05-07,j2609,成交量,J
18,方正中期,409,-20.0,2026-05-07,j2609,成交量,J
19,中财期货,390,127.0,2026-05-07,j2609,成交量,J
20,渤海期货,384,-49.0,2026-05-07,j2609,成交量,J
1,中信期货,3640,-435.0,2026-05-08,j2609,成交量,J
2,国泰君安,3111,-267.0,2026-05-08,j2609,成交量,J
3,东证期货,2215,-87.0,2026-05-08,j2609,成交量,J
4,华泰期货,1049,-209.0,2026-05-08,j2609,成交量,J
5,华闻期货,904,-311.0,2026-05-08,j2609,成交量,J
6,海通期货,876,-150.0,2026-05-08,j2609,成交量,J
7,银河期货,863,118.0,2026-05-08,j2609,成交量,J
8,中泰期货,813,-188.0,2026-05-08,j2609,成交量,J
9,光大期货,599,-37.0,2026-05-08,j2609,成交量,J
10,海证期货,559,103.0,2026-05-08,j2609,成交量,J
11,永安期货,550,-66.0,2026-05-08,j2609,成交量,J
12,渤海期货,471,87.0,2026-05-08,j2609,成交量,J
13,中辉期货,464,148.0,2026-05-08,j2609,成交量,J
14,国元期货,461,-136.0,2026-05-08,j2609,成交量,J
15,方正中期,403,-6.0,2026-05-08,j2609,成交量,J
16,瑞达期货,402,-27.0,2026-05-08,j2609,成交量,J
17,中信建投,349,39.0,2026-05-08,j2609,成交量,J
18,招商期货,348,-251.0,2026-05-08,j2609,成交量,J
19,中财期货,319,-71.0,2026-05-08,j2609,成交量,J
20,宏源期货,317,-7.0,2026-05-08,j2609,成交量,J
