排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,14576,-50.0,2026-05-06,jd2608,多单持仓,JD
2,东证期货,10065,-927.0,2026-05-06,jd2608,多单持仓,JD
3,招商期货,7401,-91.0,2026-05-06,jd2608,多单持仓,JD
4,中信期货,7185,202.0,2026-05-06,jd2608,多单持仓,JD
5,中财期货,6656,-730.0,2026-05-06,jd2608,多单持仓,JD
6,方正中期,6161,-42.0,2026-05-06,jd2608,多单持仓,JD
7,中泰期货,5235,340.0,2026-05-06,jd2608,多单持仓,JD
8,东吴期货,5068,-903.0,2026-05-06,jd2608,多单持仓,JD
9,浙商期货,4937,115.0,2026-05-06,jd2608,多单持仓,JD
10,永安期货,4831,-2085.0,2026-05-06,jd2608,多单持仓,JD
11,创元期货,4669,-312.0,2026-05-06,jd2608,多单持仓,JD
12,华泰期货,4530,-903.0,2026-05-06,jd2608,多单持仓,JD
13,中信建投,4399,-177.0,2026-05-06,jd2608,多单持仓,JD
14,中粮期货,4206,65.0,2026-05-06,jd2608,多单持仓,JD
15,宏源期货,3481,-689.0,2026-05-06,jd2608,多单持仓,JD
16,银河期货,3413,45.0,2026-05-06,jd2608,多单持仓,JD
17,齐盛期货,2798,1413.0,2026-05-06,jd2608,多单持仓,JD
18,海证期货,2705,118.0,2026-05-06,jd2608,多单持仓,JD
19,西部期货,2647,148.0,2026-05-06,jd2608,多单持仓,JD
20,一德期货,2352,-75.0,2026-05-06,jd2608,多单持仓,JD
1,国泰君安,15325,2117.0,2026-05-07,jd2607,多单持仓,JD
2,东证期货,14800,2791.0,2026-05-07,jd2607,多单持仓,JD
3,中信期货,12764,1550.0,2026-05-07,jd2607,多单持仓,JD
4,招商期货,8462,-2.0,2026-05-07,jd2607,多单持仓,JD
5,方正中期,7833,-407.0,2026-05-07,jd2607,多单持仓,JD
6,永安期货,6460,168.0,2026-05-07,jd2607,多单持仓,JD
7,银河期货,6265,2576.0,2026-05-07,jd2607,多单持仓,JD
8,中信建投,5760,1659.0,2026-05-07,jd2607,多单持仓,JD
9,宏源期货,5603,2445.0,2026-05-07,jd2607,多单持仓,JD
10,中泰期货,4881,668.0,2026-05-07,jd2607,多单持仓,JD
11,海通期货,4610,2135.0,2026-05-07,jd2607,多单持仓,JD
12,浙商期货,4153,635.0,2026-05-07,jd2607,多单持仓,JD
13,东吴期货,4143,154.0,2026-05-07,jd2607,多单持仓,JD
14,南华期货,4114,3522.0,2026-05-07,jd2607,多单持仓,JD
15,中粮期货,3838,7.0,2026-05-07,jd2607,多单持仓,JD
16,中财期货,3632,-722.0,2026-05-07,jd2607,多单持仓,JD
17,华泰期货,3070,-123.0,2026-05-07,jd2607,多单持仓,JD
18,瑞达期货,2966,1871.0,2026-05-07,jd2607,多单持仓,JD
19,国元期货,2762,1973.0,2026-05-07,jd2607,多单持仓,JD
20,创元期货,2715,442.0,2026-05-07,jd2607,多单持仓,JD
1,国泰君安,15662,337.0,2026-05-08,jd2607,多单持仓,JD
2,东证期货,14609,-191.0,2026-05-08,jd2607,多单持仓,JD
3,中信期货,12644,-120.0,2026-05-08,jd2607,多单持仓,JD
4,方正中期,9594,1761.0,2026-05-08,jd2607,多单持仓,JD
5,招商期货,8522,60.0,2026-05-08,jd2607,多单持仓,JD
6,永安期货,6755,295.0,2026-05-08,jd2607,多单持仓,JD
7,中信建投,6224,464.0,2026-05-08,jd2607,多单持仓,JD
8,宏源期货,5933,330.0,2026-05-08,jd2607,多单持仓,JD
9,银河期货,5075,-1190.0,2026-05-08,jd2607,多单持仓,JD
10,中泰期货,4984,103.0,2026-05-08,jd2607,多单持仓,JD
11,东吴期货,4733,590.0,2026-05-08,jd2607,多单持仓,JD
12,浙商期货,4186,33.0,2026-05-08,jd2607,多单持仓,JD
13,南华期货,4079,-35.0,2026-05-08,jd2607,多单持仓,JD
14,中粮期货,3877,39.0,2026-05-08,jd2607,多单持仓,JD
15,中财期货,3693,61.0,2026-05-08,jd2607,多单持仓,JD
16,华泰期货,3374,304.0,2026-05-08,jd2607,多单持仓,JD
17,创元期货,3258,543.0,2026-05-08,jd2607,多单持仓,JD
18,海通期货,3106,-1504.0,2026-05-08,jd2607,多单持仓,JD
19,国元期货,3026,264.0,2026-05-08,jd2607,多单持仓,JD
20,瑞达期货,2933,-33.0,2026-05-08,jd2607,多单持仓,JD
