排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,14485,594.0,2026-05-06,jd2608,空单持仓,JD
2,招商期货,9106,231.0,2026-05-06,jd2608,空单持仓,JD
3,东证期货,7922,140.0,2026-05-06,jd2608,空单持仓,JD
4,方正中期,7530,-1395.0,2026-05-06,jd2608,空单持仓,JD
5,中信期货,6645,80.0,2026-05-06,jd2608,空单持仓,JD
6,中信建投,6186,-285.0,2026-05-06,jd2608,空单持仓,JD
7,恒力期货,4973,29.0,2026-05-06,jd2608,空单持仓,JD
8,中泰期货,4644,-606.0,2026-05-06,jd2608,空单持仓,JD
9,中粮期货,4630,-359.0,2026-05-06,jd2608,空单持仓,JD
10,徽商期货,4026,-152.0,2026-05-06,jd2608,空单持仓,JD
11,银河期货,3700,43.0,2026-05-06,jd2608,空单持仓,JD
12,广发期货,3451,35.0,2026-05-06,jd2608,空单持仓,JD
13,宏源期货,3266,155.0,2026-05-06,jd2608,空单持仓,JD
14,申银万国,3098,192.0,2026-05-06,jd2608,空单持仓,JD
15,光大期货,3086,197.0,2026-05-06,jd2608,空单持仓,JD
16,长江期货,3005,47.0,2026-05-06,jd2608,空单持仓,JD
17,中辉期货,2680,-117.0,2026-05-06,jd2608,空单持仓,JD
18,国金期货,2672,116.0,2026-05-06,jd2608,空单持仓,JD
19,国信期货,2663,11.0,2026-05-06,jd2608,空单持仓,JD
20,东方财富,2632,-439.0,2026-05-06,jd2608,空单持仓,JD
1,国泰君安,14930,-203.0,2026-05-07,jd2607,空单持仓,JD
2,创元期货,8535,1058.0,2026-05-07,jd2607,空单持仓,JD
3,中泰期货,8445,2905.0,2026-05-07,jd2607,空单持仓,JD
4,方正中期,8414,1465.0,2026-05-07,jd2607,空单持仓,JD
5,银河期货,7602,1629.0,2026-05-07,jd2607,空单持仓,JD
6,东证期货,7599,-169.0,2026-05-07,jd2607,空单持仓,JD
7,中信期货,7331,1938.0,2026-05-07,jd2607,空单持仓,JD
8,中辉期货,7330,1382.0,2026-05-07,jd2607,空单持仓,JD
9,招商期货,7248,-59.0,2026-05-07,jd2607,空单持仓,JD
10,中信建投,5228,1701.0,2026-05-07,jd2607,空单持仓,JD
11,宁证期货,5124,126.0,2026-05-07,jd2607,空单持仓,JD
12,南华期货,4732,3121.0,2026-05-07,jd2607,空单持仓,JD
13,宏源期货,4534,528.0,2026-05-07,jd2607,空单持仓,JD
14,中粮期货,4013,146.0,2026-05-07,jd2607,空单持仓,JD
15,华安期货,3708,1935.0,2026-05-07,jd2607,空单持仓,JD
16,华泰期货,3522,727.0,2026-05-07,jd2607,空单持仓,JD
17,东吴期货,3363,23.0,2026-05-07,jd2607,空单持仓,JD
18,广发期货,3319,776.0,2026-05-07,jd2607,空单持仓,JD
19,徽商期货,3102,224.0,2026-05-07,jd2607,空单持仓,JD
20,先锋期货,2476,342.0,2026-05-07,jd2607,空单持仓,JD
1,国泰君安,14569,-361.0,2026-05-08,jd2607,空单持仓,JD
2,中泰期货,9309,864.0,2026-05-08,jd2607,空单持仓,JD
3,东证期货,8461,862.0,2026-05-08,jd2607,空单持仓,JD
4,方正中期,8245,-169.0,2026-05-08,jd2607,空单持仓,JD
5,创元期货,8111,-424.0,2026-05-08,jd2607,空单持仓,JD
6,中辉期货,7977,647.0,2026-05-08,jd2607,空单持仓,JD
7,中信期货,7727,396.0,2026-05-08,jd2607,空单持仓,JD
8,招商期货,7349,101.0,2026-05-08,jd2607,空单持仓,JD
9,银河期货,6276,-1326.0,2026-05-08,jd2607,空单持仓,JD
10,南华期货,4854,122.0,2026-05-08,jd2607,空单持仓,JD
11,宁证期货,4766,-358.0,2026-05-08,jd2607,空单持仓,JD
12,中信建投,4660,-568.0,2026-05-08,jd2607,空单持仓,JD
13,宏源期货,4405,-129.0,2026-05-08,jd2607,空单持仓,JD
14,中粮期货,4016,3.0,2026-05-08,jd2607,空单持仓,JD
15,华泰期货,3201,-321.0,2026-05-08,jd2607,空单持仓,JD
16,广发期货,3112,-207.0,2026-05-08,jd2607,空单持仓,JD
17,徽商期货,3099,-3.0,2026-05-08,jd2607,空单持仓,JD
18,东吴期货,3076,-287.0,2026-05-08,jd2607,空单持仓,JD
19,华安期货,2930,-778.0,2026-05-08,jd2607,空单持仓,JD
20,弘业期货,2918,1376.0,2026-05-08,jd2607,空单持仓,JD
