排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,东证期货,20979,6142.0,2026-05-06,jd2608,成交量,JD
2,中信期货,19018,-4378.0,2026-05-06,jd2608,成交量,JD
3,国泰君安,11062,-653.0,2026-05-06,jd2608,成交量,JD
4,招商期货,8146,1997.0,2026-05-06,jd2608,成交量,JD
5,中信建投,7706,2863.0,2026-05-06,jd2608,成交量,JD
6,方正中期,6509,-1647.0,2026-05-06,jd2608,成交量,JD
7,东吴期货,6373,3797.0,2026-05-06,jd2608,成交量,JD
8,永安期货,5990,4330.0,2026-05-06,jd2608,成交量,JD
9,徽商期货,5121,1011.0,2026-05-06,jd2608,成交量,JD
10,南华期货,4661,198.0,2026-05-06,jd2608,成交量,JD
11,华泰期货,4292,847.0,2026-05-06,jd2608,成交量,JD
12,宏源期货,4140,710.0,2026-05-06,jd2608,成交量,JD
13,银河期货,3966,-2344.0,2026-05-06,jd2608,成交量,JD
14,中泰期货,3800,-1016.0,2026-05-06,jd2608,成交量,JD
15,齐盛期货,3651,2608.0,2026-05-06,jd2608,成交量,JD
16,中财期货,3289,2317.0,2026-05-06,jd2608,成交量,JD
17,创元期货,2952,-429.0,2026-05-06,jd2608,成交量,JD
18,中粮期货,2830,1311.0,2026-05-06,jd2608,成交量,JD
19,申银万国,2739,-531.0,2026-05-06,jd2608,成交量,JD
20,海通期货,2344,-129.0,2026-05-06,jd2608,成交量,JD
1,中信期货,59160,20990.0,2026-05-07,jd2607,成交量,JD
2,国泰君安,28630,1712.0,2026-05-07,jd2607,成交量,JD
3,东证期货,24918,2908.0,2026-05-07,jd2607,成交量,JD
4,银河期货,18351,9660.0,2026-05-07,jd2607,成交量,JD
5,南华期货,16589,-3340.0,2026-05-07,jd2607,成交量,JD
6,中泰期货,12223,1606.0,2026-05-07,jd2607,成交量,JD
7,宏源期货,11249,6258.0,2026-05-07,jd2607,成交量,JD
8,中信建投,10658,1037.0,2026-05-07,jd2607,成交量,JD
9,方正中期,9912,3291.0,2026-05-07,jd2607,成交量,JD
10,华安期货,9504,5529.0,2026-05-07,jd2607,成交量,JD
11,广发期货,9333,4895.0,2026-05-07,jd2607,成交量,JD
12,海通期货,8844,2602.0,2026-05-07,jd2607,成交量,JD
13,徽商期货,7193,2938.0,2026-05-07,jd2607,成交量,JD
14,东吴期货,6483,-2094.0,2026-05-07,jd2607,成交量,JD
15,安粮期货,6420,4781.0,2026-05-07,jd2607,成交量,JD
16,创元期货,6282,2584.0,2026-05-07,jd2607,成交量,JD
17,齐盛期货,5824,3242.0,2026-05-07,jd2607,成交量,JD
18,宝城期货,5450,2670.0,2026-05-07,jd2607,成交量,JD
19,申银万国,5142,3841.0,2026-05-07,jd2607,成交量,JD
20,瑞达期货,4720,2192.0,2026-05-07,jd2607,成交量,JD
1,中信期货,61136,1976.0,2026-05-08,jd2607,成交量,JD
2,国泰君安,37344,8714.0,2026-05-08,jd2607,成交量,JD
3,东证期货,32027,7109.0,2026-05-08,jd2607,成交量,JD
4,银河期货,25596,7245.0,2026-05-08,jd2607,成交量,JD
5,南华期货,22319,5730.0,2026-05-08,jd2607,成交量,JD
6,方正中期,17186,7274.0,2026-05-08,jd2607,成交量,JD
7,中信建投,12328,1670.0,2026-05-08,jd2607,成交量,JD
8,宏源期货,11891,642.0,2026-05-08,jd2607,成交量,JD
9,东吴期货,10907,4424.0,2026-05-08,jd2607,成交量,JD
10,徽商期货,9836,2643.0,2026-05-08,jd2607,成交量,JD
11,中泰期货,9720,-2503.0,2026-05-08,jd2607,成交量,JD
12,广发期货,9388,55.0,2026-05-08,jd2607,成交量,JD
13,创元期货,8747,2465.0,2026-05-08,jd2607,成交量,JD
14,海通期货,8007,-837.0,2026-05-08,jd2607,成交量,JD
15,宝城期货,7318,1868.0,2026-05-08,jd2607,成交量,JD
16,齐盛期货,6520,696.0,2026-05-08,jd2607,成交量,JD
17,华安期货,6103,-3401.0,2026-05-08,jd2607,成交量,JD
18,财达期货,5511,1963.0,2026-05-08,jd2607,成交量,JD
19,瑞达期货,4770,50.0,2026-05-08,jd2607,成交量,JD
20,国信期货,4443,1380.0,2026-05-08,jd2607,成交量,JD
