排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,35828,6011.0,2026-05-06,jm2609,多单持仓,JM
2,中信期货,23597,752.0,2026-05-06,jm2609,多单持仓,JM
3,永安期货,21305,2265.0,2026-05-06,jm2609,多单持仓,JM
4,东证期货,20748,1519.0,2026-05-06,jm2609,多单持仓,JM
5,银河期货,20709,201.0,2026-05-06,jm2609,多单持仓,JM
6,中信建投,15206,400.0,2026-05-06,jm2609,多单持仓,JM
7,华泰期货,13053,-1901.0,2026-05-06,jm2609,多单持仓,JM
8,方正中期,12628,864.0,2026-05-06,jm2609,多单持仓,JM
9,广发期货,10267,668.0,2026-05-06,jm2609,多单持仓,JM
10,浙商期货,10261,1546.0,2026-05-06,jm2609,多单持仓,JM
11,徽商期货,9117,900.0,2026-05-06,jm2609,多单持仓,JM
12,中金财富,8922,4215.0,2026-05-06,jm2609,多单持仓,JM
13,海通期货,8817,204.0,2026-05-06,jm2609,多单持仓,JM
14,东吴期货,7747,-371.0,2026-05-06,jm2609,多单持仓,JM
15,创元期货,7340,899.0,2026-05-06,jm2609,多单持仓,JM
16,申银万国,7324,833.0,2026-05-06,jm2609,多单持仓,JM
17,中原期货,6678,-404.0,2026-05-06,jm2609,多单持仓,JM
18,国投期货,6383,232.0,2026-05-06,jm2609,多单持仓,JM
19,中财期货,6377,-1299.0,2026-05-06,jm2609,多单持仓,JM
20,中泰期货,6315,56.0,2026-05-06,jm2609,多单持仓,JM
1,国泰君安,32875,-2953.0,2026-05-07,jm2609,多单持仓,JM
2,中信期货,23571,-26.0,2026-05-07,jm2609,多单持仓,JM
3,永安期货,23057,1752.0,2026-05-07,jm2609,多单持仓,JM
4,银河期货,21755,1046.0,2026-05-07,jm2609,多单持仓,JM
5,东证期货,20971,223.0,2026-05-07,jm2609,多单持仓,JM
6,中信建投,16012,806.0,2026-05-07,jm2609,多单持仓,JM
7,方正中期,13065,437.0,2026-05-07,jm2609,多单持仓,JM
8,华泰期货,13039,-14.0,2026-05-07,jm2609,多单持仓,JM
9,浙商期货,9778,-483.0,2026-05-07,jm2609,多单持仓,JM
10,广发期货,9549,-718.0,2026-05-07,jm2609,多单持仓,JM
11,徽商期货,9360,243.0,2026-05-07,jm2609,多单持仓,JM
12,中金财富,8412,-510.0,2026-05-07,jm2609,多单持仓,JM
13,海通期货,7959,-858.0,2026-05-07,jm2609,多单持仓,JM
14,创元期货,7731,391.0,2026-05-07,jm2609,多单持仓,JM
15,中泰期货,7383,1068.0,2026-05-07,jm2609,多单持仓,JM
16,东吴期货,7334,-413.0,2026-05-07,jm2609,多单持仓,JM
17,申银万国,7191,-133.0,2026-05-07,jm2609,多单持仓,JM
18,中原期货,6751,73.0,2026-05-07,jm2609,多单持仓,JM
19,中财期货,6732,355.0,2026-05-07,jm2609,多单持仓,JM
20,国投期货,6709,326.0,2026-05-07,jm2609,多单持仓,JM
1,国泰君安,30769,-2106.0,2026-05-08,jm2609,多单持仓,JM
2,银河期货,23474,1719.0,2026-05-08,jm2609,多单持仓,JM
3,中信期货,22568,-1003.0,2026-05-08,jm2609,多单持仓,JM
4,永安期货,22531,-526.0,2026-05-08,jm2609,多单持仓,JM
5,东证期货,20283,-688.0,2026-05-08,jm2609,多单持仓,JM
6,中信建投,17001,989.0,2026-05-08,jm2609,多单持仓,JM
7,华泰期货,13660,621.0,2026-05-08,jm2609,多单持仓,JM
8,浙商期货,13586,3808.0,2026-05-08,jm2609,多单持仓,JM
9,方正中期,13148,83.0,2026-05-08,jm2609,多单持仓,JM
10,广发期货,9950,401.0,2026-05-08,jm2609,多单持仓,JM
11,中金财富,9561,1149.0,2026-05-08,jm2609,多单持仓,JM
12,徽商期货,9317,-43.0,2026-05-08,jm2609,多单持仓,JM
13,创元期货,8454,723.0,2026-05-08,jm2609,多单持仓,JM
14,海通期货,8211,252.0,2026-05-08,jm2609,多单持仓,JM
15,中泰期货,7954,571.0,2026-05-08,jm2609,多单持仓,JM
16,东吴期货,7361,27.0,2026-05-08,jm2609,多单持仓,JM
17,中财期货,7152,420.0,2026-05-08,jm2609,多单持仓,JM
18,申银万国,7038,-153.0,2026-05-08,jm2609,多单持仓,JM
19,中原期货,6967,216.0,2026-05-08,jm2609,多单持仓,JM
20,国投期货,6738,29.0,2026-05-08,jm2609,多单持仓,JM
