排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,54020,3356.0,2026-05-06,jm2609,空单持仓,JM
2,中信期货,38394,3984.0,2026-05-06,jm2609,空单持仓,JM
3,永安期货,36143,-301.0,2026-05-06,jm2609,空单持仓,JM
4,东证期货,32767,1540.0,2026-05-06,jm2609,空单持仓,JM
5,银河期货,17685,2503.0,2026-05-06,jm2609,空单持仓,JM
6,华泰期货,14072,807.0,2026-05-06,jm2609,空单持仓,JM
7,广发期货,11993,940.0,2026-05-06,jm2609,空单持仓,JM
8,东海期货,11830,374.0,2026-05-06,jm2609,空单持仓,JM
9,一德期货,10618,1380.0,2026-05-06,jm2609,空单持仓,JM
10,浙商期货,10576,-3933.0,2026-05-06,jm2609,空单持仓,JM
11,瑞达期货,9734,819.0,2026-05-06,jm2609,空单持仓,JM
12,物产中大,9351,-326.0,2026-05-06,jm2609,空单持仓,JM
13,方正中期,9278,1540.0,2026-05-06,jm2609,空单持仓,JM
14,中信建投,9091,2351.0,2026-05-06,jm2609,空单持仓,JM
15,中粮期货,8567,534.0,2026-05-06,jm2609,空单持仓,JM
16,中泰期货,7604,1694.0,2026-05-06,jm2609,空单持仓,JM
17,宝城期货,6908,296.0,2026-05-06,jm2609,空单持仓,JM
18,海证期货,6354,510.0,2026-05-06,jm2609,空单持仓,JM
19,中金财富,6133,-467.0,2026-05-06,jm2609,空单持仓,JM
20,申银万国,5640,43.0,2026-05-06,jm2609,空单持仓,JM
1,国泰君安,58400,4380.0,2026-05-07,jm2609,空单持仓,JM
2,中信期货,37735,-659.0,2026-05-07,jm2609,空单持仓,JM
3,永安期货,35795,-348.0,2026-05-07,jm2609,空单持仓,JM
4,东证期货,32678,-89.0,2026-05-07,jm2609,空单持仓,JM
5,银河期货,17351,-334.0,2026-05-07,jm2609,空单持仓,JM
6,华泰期货,13223,-849.0,2026-05-07,jm2609,空单持仓,JM
7,广发期货,12133,140.0,2026-05-07,jm2609,空单持仓,JM
8,东海期货,12043,213.0,2026-05-07,jm2609,空单持仓,JM
9,一德期货,11737,1119.0,2026-05-07,jm2609,空单持仓,JM
10,浙商期货,10834,258.0,2026-05-07,jm2609,空单持仓,JM
11,瑞达期货,9830,96.0,2026-05-07,jm2609,空单持仓,JM
12,物产中大,9522,171.0,2026-05-07,jm2609,空单持仓,JM
13,方正中期,9235,-43.0,2026-05-07,jm2609,空单持仓,JM
14,中信建投,9233,142.0,2026-05-07,jm2609,空单持仓,JM
15,中粮期货,8319,-248.0,2026-05-07,jm2609,空单持仓,JM
16,海证期货,7528,1174.0,2026-05-07,jm2609,空单持仓,JM
17,宝城期货,7260,352.0,2026-05-07,jm2609,空单持仓,JM
18,中泰期货,7130,-474.0,2026-05-07,jm2609,空单持仓,JM
19,国贸期货,5973,358.0,2026-05-07,jm2609,空单持仓,JM
20,大地期货,5891,2227.0,2026-05-07,jm2609,空单持仓,JM
1,国泰君安,59302,902.0,2026-05-08,jm2609,空单持仓,JM
2,中信期货,44220,6485.0,2026-05-08,jm2609,空单持仓,JM
3,东证期货,39230,6552.0,2026-05-08,jm2609,空单持仓,JM
4,永安期货,34971,-824.0,2026-05-08,jm2609,空单持仓,JM
5,银河期货,17113,-238.0,2026-05-08,jm2609,空单持仓,JM
6,华泰期货,14002,779.0,2026-05-08,jm2609,空单持仓,JM
7,广发期货,12128,-5.0,2026-05-08,jm2609,空单持仓,JM
8,一德期货,12078,341.0,2026-05-08,jm2609,空单持仓,JM
9,东海期货,11963,-80.0,2026-05-08,jm2609,空单持仓,JM
10,瑞达期货,10954,1124.0,2026-05-08,jm2609,空单持仓,JM
11,浙商期货,10609,-225.0,2026-05-08,jm2609,空单持仓,JM
12,物产中大,9384,-138.0,2026-05-08,jm2609,空单持仓,JM
13,中粮期货,8334,15.0,2026-05-08,jm2609,空单持仓,JM
14,方正中期,8292,-943.0,2026-05-08,jm2609,空单持仓,JM
15,中信建投,8246,-987.0,2026-05-08,jm2609,空单持仓,JM
16,宝城期货,7324,64.0,2026-05-08,jm2609,空单持仓,JM
17,海证期货,7076,-452.0,2026-05-08,jm2609,空单持仓,JM
18,国贸期货,5862,-111.0,2026-05-08,jm2609,空单持仓,JM
19,国投期货,5645,208.0,2026-05-08,jm2609,空单持仓,JM
20,海通期货,5591,257.0,2026-05-08,jm2609,空单持仓,JM
