排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,106957,-36537.0,2026-05-06,jm2609,成交量,JM
2,国泰君安,96791,-40721.0,2026-05-06,jm2609,成交量,JM
3,东证期货,70755,-19704.0,2026-05-06,jm2609,成交量,JM
4,华闻期货,42844,-15005.0,2026-05-06,jm2609,成交量,JM
5,广发期货,34314,-21729.0,2026-05-06,jm2609,成交量,JM
6,银河期货,28454,-17168.0,2026-05-06,jm2609,成交量,JM
7,华泰期货,26092,-8841.0,2026-05-06,jm2609,成交量,JM
8,海通期货,22552,-10177.0,2026-05-06,jm2609,成交量,JM
9,中泰期货,21038,-13929.0,2026-05-06,jm2609,成交量,JM
10,中信建投,18893,-17674.0,2026-05-06,jm2609,成交量,JM
11,永安期货,17210,-7909.0,2026-05-06,jm2609,成交量,JM
12,方正中期,15764,-7153.0,2026-05-06,jm2609,成交量,JM
13,徽商期货,15704,-12355.0,2026-05-06,jm2609,成交量,JM
14,宝城期货,14928,-11684.0,2026-05-06,jm2609,成交量,JM
15,中辉期货,14258,-5467.0,2026-05-06,jm2609,成交量,JM
16,招商期货,11536,-9250.0,2026-05-06,jm2609,成交量,JM
17,光大期货,11379,-7574.0,2026-05-06,jm2609,成交量,JM
18,瑞达期货,10183,-5946.0,2026-05-06,jm2609,成交量,JM
19,东吴期货,10003,-5349.0,2026-05-06,jm2609,成交量,JM
20,浙商期货,9969,-8941.0,2026-05-06,jm2609,成交量,JM
1,中信期货,136573,29616.0,2026-05-07,jm2609,成交量,JM
2,国泰君安,114503,17712.0,2026-05-07,jm2609,成交量,JM
3,东证期货,83316,12561.0,2026-05-07,jm2609,成交量,JM
4,广发期货,45776,11462.0,2026-05-07,jm2609,成交量,JM
5,华闻期货,39285,-3559.0,2026-05-07,jm2609,成交量,JM
6,银河期货,35542,7088.0,2026-05-07,jm2609,成交量,JM
7,中泰期货,34260,13222.0,2026-05-07,jm2609,成交量,JM
8,华泰期货,33953,7861.0,2026-05-07,jm2609,成交量,JM
9,中信建投,27378,8485.0,2026-05-07,jm2609,成交量,JM
10,海通期货,25394,2842.0,2026-05-07,jm2609,成交量,JM
11,徽商期货,24569,8865.0,2026-05-07,jm2609,成交量,JM
12,永安期货,21608,4398.0,2026-05-07,jm2609,成交量,JM
13,方正中期,20460,4696.0,2026-05-07,jm2609,成交量,JM
14,东吴期货,17813,7810.0,2026-05-07,jm2609,成交量,JM
15,宝城期货,16843,1915.0,2026-05-07,jm2609,成交量,JM
16,光大期货,16218,4839.0,2026-05-07,jm2609,成交量,JM
17,浙商期货,14333,4364.0,2026-05-07,jm2609,成交量,JM
18,瑞达期货,14117,3934.0,2026-05-07,jm2609,成交量,JM
19,中辉期货,13763,-495.0,2026-05-07,jm2609,成交量,JM
20,创元期货,13040,3434.0,2026-05-07,jm2609,成交量,JM
1,中信期货,144004,7431.0,2026-05-08,jm2609,成交量,JM
2,国泰君安,129652,15149.0,2026-05-08,jm2609,成交量,JM
3,东证期货,86662,3346.0,2026-05-08,jm2609,成交量,JM
4,广发期货,64018,18242.0,2026-05-08,jm2609,成交量,JM
5,华闻期货,42080,2795.0,2026-05-08,jm2609,成交量,JM
6,中泰期货,40109,5849.0,2026-05-08,jm2609,成交量,JM
7,银河期货,39157,3615.0,2026-05-08,jm2609,成交量,JM
8,华泰期货,36760,2807.0,2026-05-08,jm2609,成交量,JM
9,徽商期货,31735,7166.0,2026-05-08,jm2609,成交量,JM
10,中信建投,31030,3652.0,2026-05-08,jm2609,成交量,JM
11,海通期货,29969,4575.0,2026-05-08,jm2609,成交量,JM
12,宝城期货,25735,8892.0,2026-05-08,jm2609,成交量,JM
13,永安期货,23924,2316.0,2026-05-08,jm2609,成交量,JM
14,方正中期,23262,2802.0,2026-05-08,jm2609,成交量,JM
15,招商期货,20274,7979.0,2026-05-08,jm2609,成交量,JM
16,创元期货,17535,4495.0,2026-05-08,jm2609,成交量,JM
17,浙商期货,17455,3122.0,2026-05-08,jm2609,成交量,JM
18,光大期货,16795,577.0,2026-05-08,jm2609,成交量,JM
19,国信期货,16483,3983.0,2026-05-08,jm2609,成交量,JM
20,东吴期货,16230,-1583.0,2026-05-08,jm2609,成交量,JM
