排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,33376,6166.0,2026-05-06,l2609,多单持仓,L
2,银河期货,32692,515.0,2026-05-06,l2609,多单持仓,L
3,东证期货,30316,642.0,2026-05-06,l2609,多单持仓,L
4,中信期货,28468,3105.0,2026-05-06,l2609,多单持仓,L
5,永安期货,28187,238.0,2026-05-06,l2609,多单持仓,L
6,华泰期货,18228,-392.0,2026-05-06,l2609,多单持仓,L
7,海通期货,14074,-271.0,2026-05-06,l2609,多单持仓,L
8,浙商期货,10560,1173.0,2026-05-06,l2609,多单持仓,L
9,中泰期货,8573,285.0,2026-05-06,l2609,多单持仓,L
10,海证期货,8444,68.0,2026-05-06,l2609,多单持仓,L
11,广发期货,7744,49.0,2026-05-06,l2609,多单持仓,L
12,宏源期货,6538,250.0,2026-05-06,l2609,多单持仓,L
13,南华期货,6407,1385.0,2026-05-06,l2609,多单持仓,L
14,方正中期,5783,1131.0,2026-05-06,l2609,多单持仓,L
15,国投期货,5347,-112.0,2026-05-06,l2609,多单持仓,L
16,金瑞期货,4683,-66.0,2026-05-06,l2609,多单持仓,L
17,高盛期货,4560,530.0,2026-05-06,l2609,多单持仓,L
18,建信期货,4456,253.0,2026-05-06,l2609,多单持仓,L
19,中金财富,4164,320.0,2026-05-06,l2609,多单持仓,L
20,平安期货,3994,1043.0,2026-05-06,l2609,多单持仓,L
1,银河期货,33412,720.0,2026-05-07,l2609,多单持仓,L
2,永安期货,29233,1046.0,2026-05-07,l2609,多单持仓,L
3,国泰君安,27253,-6123.0,2026-05-07,l2609,多单持仓,L
4,东证期货,26091,-4225.0,2026-05-07,l2609,多单持仓,L
5,中信期货,25375,-3093.0,2026-05-07,l2609,多单持仓,L
6,华泰期货,19698,1470.0,2026-05-07,l2609,多单持仓,L
7,海通期货,13357,-717.0,2026-05-07,l2609,多单持仓,L
8,中泰期货,9588,1015.0,2026-05-07,l2609,多单持仓,L
9,浙商期货,8628,-1932.0,2026-05-07,l2609,多单持仓,L
10,方正中期,8625,2842.0,2026-05-07,l2609,多单持仓,L
11,海证期货,7773,-671.0,2026-05-07,l2609,多单持仓,L
12,南华期货,7717,1310.0,2026-05-07,l2609,多单持仓,L
13,广发期货,7703,-41.0,2026-05-07,l2609,多单持仓,L
14,宏源期货,5866,-672.0,2026-05-07,l2609,多单持仓,L
15,国投期货,5235,-112.0,2026-05-07,l2609,多单持仓,L
16,东吴期货,4453,543.0,2026-05-07,l2609,多单持仓,L
17,金瑞期货,4361,-322.0,2026-05-07,l2609,多单持仓,L
18,物产中大,4251,530.0,2026-05-07,l2609,多单持仓,L
19,建信期货,4141,-315.0,2026-05-07,l2609,多单持仓,L
20,高盛期货,4026,-534.0,2026-05-07,l2609,多单持仓,L
1,银河期货,33110,-302.0,2026-05-08,l2609,多单持仓,L
2,永安期货,29307,74.0,2026-05-08,l2609,多单持仓,L
3,中信期货,26978,1603.0,2026-05-08,l2609,多单持仓,L
4,东证期货,26544,453.0,2026-05-08,l2609,多单持仓,L
5,国泰君安,25042,-2211.0,2026-05-08,l2609,多单持仓,L
6,华泰期货,18472,-1226.0,2026-05-08,l2609,多单持仓,L
7,海通期货,13634,277.0,2026-05-08,l2609,多单持仓,L
8,中泰期货,10224,636.0,2026-05-08,l2609,多单持仓,L
9,广发期货,9073,1370.0,2026-05-08,l2609,多单持仓,L
10,方正中期,8984,359.0,2026-05-08,l2609,多单持仓,L
11,浙商期货,8195,-433.0,2026-05-08,l2609,多单持仓,L
12,南华期货,7668,-49.0,2026-05-08,l2609,多单持仓,L
13,宏源期货,6095,229.0,2026-05-08,l2609,多单持仓,L
14,海证期货,5955,-1818.0,2026-05-08,l2609,多单持仓,L
15,国投期货,5147,-88.0,2026-05-08,l2609,多单持仓,L
16,金瑞期货,4398,37.0,2026-05-08,l2609,多单持仓,L
17,东吴期货,4257,-196.0,2026-05-08,l2609,多单持仓,L
18,物产中大,4246,-5.0,2026-05-08,l2609,多单持仓,L
19,建信期货,4197,56.0,2026-05-08,l2609,多单持仓,L
20,中信建投,3978,201.0,2026-05-08,l2609,多单持仓,L
