排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,60221,662.0,2026-05-06,l2609,空单持仓,L
2,中信期货,21295,1188.0,2026-05-06,l2609,空单持仓,L
3,东证期货,17704,-216.0,2026-05-06,l2609,空单持仓,L
4,高盛期货,17600,3083.0,2026-05-06,l2609,空单持仓,L
5,华泰期货,13051,1150.0,2026-05-06,l2609,空单持仓,L
6,永安期货,12764,606.0,2026-05-06,l2609,空单持仓,L
7,浙商期货,12532,-427.0,2026-05-06,l2609,空单持仓,L
8,南华期货,11644,825.0,2026-05-06,l2609,空单持仓,L
9,中泰期货,10578,678.0,2026-05-06,l2609,空单持仓,L
10,光大期货,7328,-541.0,2026-05-06,l2609,空单持仓,L
11,冠通期货,6281,-42.0,2026-05-06,l2609,空单持仓,L
12,银河期货,5872,319.0,2026-05-06,l2609,空单持仓,L
13,方正中期,5718,1665.0,2026-05-06,l2609,空单持仓,L
14,国贸期货,5678,157.0,2026-05-06,l2609,空单持仓,L
15,国海良时,5405,736.0,2026-05-06,l2609,空单持仓,L
16,申银万国,5247,125.0,2026-05-06,l2609,空单持仓,L
17,瑞达期货,4841,185.0,2026-05-06,l2609,空单持仓,L
18,海通期货,4374,1381.0,2026-05-06,l2609,空单持仓,L
19,国联期货,4315,364.0,2026-05-06,l2609,空单持仓,L
20,广发期货,4214,375.0,2026-05-06,l2609,空单持仓,L
1,国泰君安,59297,-924.0,2026-05-07,l2609,空单持仓,L
2,中信期货,23835,2540.0,2026-05-07,l2609,空单持仓,L
3,高盛期货,21507,3907.0,2026-05-07,l2609,空单持仓,L
4,东证期货,20180,2476.0,2026-05-07,l2609,空单持仓,L
5,浙商期货,11475,-1057.0,2026-05-07,l2609,空单持仓,L
6,永安期货,10976,-1788.0,2026-05-07,l2609,空单持仓,L
7,南华期货,10788,-856.0,2026-05-07,l2609,空单持仓,L
8,华泰期货,10495,-2556.0,2026-05-07,l2609,空单持仓,L
9,中泰期货,9638,-940.0,2026-05-07,l2609,空单持仓,L
10,光大期货,7942,614.0,2026-05-07,l2609,空单持仓,L
11,冠通期货,7658,1377.0,2026-05-07,l2609,空单持仓,L
12,瑞达期货,6819,1978.0,2026-05-07,l2609,空单持仓,L
13,中金财富,6617,2582.0,2026-05-07,l2609,空单持仓,L
14,国海良时,6343,938.0,2026-05-07,l2609,空单持仓,L
15,国贸期货,5675,-3.0,2026-05-07,l2609,空单持仓,L
16,银河期货,5529,-343.0,2026-05-07,l2609,空单持仓,L
17,方正中期,4874,-844.0,2026-05-07,l2609,空单持仓,L
18,广发期货,4770,556.0,2026-05-07,l2609,空单持仓,L
19,国投期货,4446,848.0,2026-05-07,l2609,空单持仓,L
20,海通期货,4371,-3.0,2026-05-07,l2609,空单持仓,L
1,国泰君安,60509,1212.0,2026-05-08,l2609,空单持仓,L
2,中信期货,23775,-60.0,2026-05-08,l2609,空单持仓,L
3,东证期货,18748,-1432.0,2026-05-08,l2609,空单持仓,L
4,高盛期货,18269,-3238.0,2026-05-08,l2609,空单持仓,L
5,华泰期货,12844,2349.0,2026-05-08,l2609,空单持仓,L
6,南华期货,11949,1161.0,2026-05-08,l2609,空单持仓,L
7,浙商期货,11638,163.0,2026-05-08,l2609,空单持仓,L
8,永安期货,10862,-114.0,2026-05-08,l2609,空单持仓,L
9,中泰期货,9267,-371.0,2026-05-08,l2609,空单持仓,L
10,瑞达期货,8469,1650.0,2026-05-08,l2609,空单持仓,L
11,光大期货,7554,-388.0,2026-05-08,l2609,空单持仓,L
12,冠通期货,7158,-500.0,2026-05-08,l2609,空单持仓,L
13,方正中期,6250,1376.0,2026-05-08,l2609,空单持仓,L
14,国海良时,6204,-139.0,2026-05-08,l2609,空单持仓,L
15,中金财富,5874,-743.0,2026-05-08,l2609,空单持仓,L
16,国贸期货,5517,-158.0,2026-05-08,l2609,空单持仓,L
17,宝城期货,5466,1302.0,2026-05-08,l2609,空单持仓,L
18,银河期货,5100,-429.0,2026-05-08,l2609,空单持仓,L
19,广发期货,4776,6.0,2026-05-08,l2609,空单持仓,L
20,国投期货,3994,-452.0,2026-05-08,l2609,空单持仓,L
