排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,97253,-21791.0,2026-05-06,l2609,成交量,L
2,国泰君安,97152,1203.0,2026-05-06,l2609,成交量,L
3,东证期货,88060,-9124.0,2026-05-06,l2609,成交量,L
4,华闻期货,26720,-2832.0,2026-05-06,l2609,成交量,L
5,国信期货,26439,4608.0,2026-05-06,l2609,成交量,L
6,华泰期货,22894,2406.0,2026-05-06,l2609,成交量,L
7,广发期货,20458,-524.0,2026-05-06,l2609,成交量,L
8,海通期货,17607,1969.0,2026-05-06,l2609,成交量,L
9,银河期货,15700,-7038.0,2026-05-06,l2609,成交量,L
10,方正中期,13832,-7948.0,2026-05-06,l2609,成交量,L
11,南华期货,13774,1157.0,2026-05-06,l2609,成交量,L
12,中信建投,10959,-3304.0,2026-05-06,l2609,成交量,L
13,徽商期货,10529,-1726.0,2026-05-06,l2609,成交量,L
14,冠通期货,10455,-6800.0,2026-05-06,l2609,成交量,L
15,中泰期货,8393,-4009.0,2026-05-06,l2609,成交量,L
16,永安期货,8336,-1723.0,2026-05-06,l2609,成交量,L
17,光大期货,8197,-7638.0,2026-05-06,l2609,成交量,L
18,国投期货,8124,-5.0,2026-05-06,l2609,成交量,L
19,招商期货,7391,-806.0,2026-05-06,l2609,成交量,L
20,浙商期货,7170,791.0,2026-05-06,l2609,成交量,L
1,中信期货,152327,55074.0,2026-05-07,l2609,成交量,L
2,国泰君安,149127,51975.0,2026-05-07,l2609,成交量,L
3,东证期货,123947,35887.0,2026-05-07,l2609,成交量,L
4,国信期货,40358,13919.0,2026-05-07,l2609,成交量,L
5,华泰期货,35608,12714.0,2026-05-07,l2609,成交量,L
6,华闻期货,34557,7837.0,2026-05-07,l2609,成交量,L
7,广发期货,27861,7403.0,2026-05-07,l2609,成交量,L
8,银河期货,27545,11845.0,2026-05-07,l2609,成交量,L
9,中泰期货,27125,18732.0,2026-05-07,l2609,成交量,L
10,海通期货,25030,7423.0,2026-05-07,l2609,成交量,L
11,方正中期,23954,10122.0,2026-05-07,l2609,成交量,L
12,徽商期货,20973,10444.0,2026-05-07,l2609,成交量,L
13,光大期货,20922,12725.0,2026-05-07,l2609,成交量,L
14,南华期货,20680,6906.0,2026-05-07,l2609,成交量,L
15,冠通期货,17912,7457.0,2026-05-07,l2609,成交量,L
16,永安期货,16876,8540.0,2026-05-07,l2609,成交量,L
17,中信建投,16697,5738.0,2026-05-07,l2609,成交量,L
18,浙商期货,15223,8053.0,2026-05-07,l2609,成交量,L
19,国元期货,12178,8271.0,2026-05-07,l2609,成交量,L
20,招商期货,11998,4607.0,2026-05-07,l2609,成交量,L
1,中信期货,106973,-45354.0,2026-05-08,l2609,成交量,L
2,国泰君安,103835,-45292.0,2026-05-08,l2609,成交量,L
3,东证期货,101637,-22310.0,2026-05-08,l2609,成交量,L
4,华泰期货,24899,-10709.0,2026-05-08,l2609,成交量,L
5,华闻期货,24492,-10065.0,2026-05-08,l2609,成交量,L
6,国信期货,23184,-17174.0,2026-05-08,l2609,成交量,L
7,广发期货,22708,-5153.0,2026-05-08,l2609,成交量,L
8,银河期货,19593,-7952.0,2026-05-08,l2609,成交量,L
9,冠通期货,19186,1274.0,2026-05-08,l2609,成交量,L
10,方正中期,18579,-5375.0,2026-05-08,l2609,成交量,L
11,海通期货,17401,-7629.0,2026-05-08,l2609,成交量,L
12,中泰期货,17351,-9774.0,2026-05-08,l2609,成交量,L
13,光大期货,14148,-6774.0,2026-05-08,l2609,成交量,L
14,东吴期货,11970,1484.0,2026-05-08,l2609,成交量,L
15,南华期货,10716,-9964.0,2026-05-08,l2609,成交量,L
16,徽商期货,10123,-10850.0,2026-05-08,l2609,成交量,L
17,永安期货,9940,-6936.0,2026-05-08,l2609,成交量,L
18,中信建投,9673,-7024.0,2026-05-08,l2609,成交量,L
19,国元期货,9200,-2978.0,2026-05-08,l2609,成交量,L
20,海证期货,9086,2333.0,2026-05-08,l2609,成交量,L
