排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安期货,49314,1511.0,2026-05-06,LC2609,多单持仓,LC
2,华泰期货,33177,-216.0,2026-05-06,LC2609,多单持仓,LC
3,中信期货,32432,1462.0,2026-05-06,LC2609,多单持仓,LC
4,永安期货,30483,1229.0,2026-05-06,LC2609,多单持仓,LC
5,东证期货,26344,-250.0,2026-05-06,LC2609,多单持仓,LC
6,中信建投,21008,774.0,2026-05-06,LC2609,多单持仓,LC
7,中泰期货,12359,-157.0,2026-05-06,LC2609,多单持仓,LC
8,中财期货,11772,367.0,2026-05-06,LC2609,多单持仓,LC
9,光大期货,11406,-294.0,2026-05-06,LC2609,多单持仓,LC
10,银河期货,10934,-169.0,2026-05-06,LC2609,多单持仓,LC
11,浙商期货,9896,538.0,2026-05-06,LC2609,多单持仓,LC
12,东吴期货,9596,1190.0,2026-05-06,LC2609,多单持仓,LC
13,广发期货,8869,916.0,2026-05-06,LC2609,多单持仓,LC
14,创元期货,8441,370.0,2026-05-06,LC2609,多单持仓,LC
15,中辉期货,8291,737.0,2026-05-06,LC2609,多单持仓,LC
16,海通期货,7074,942.0,2026-05-06,LC2609,多单持仓,LC
17,招商期货,6717,2529.0,2026-05-06,LC2609,多单持仓,LC
18,申银万国,6380,658.0,2026-05-06,LC2609,多单持仓,LC
19,新湖期货,6370,405.0,2026-05-06,LC2609,多单持仓,LC
20,方正中期,6286,-205.0,2026-05-06,LC2609,多单持仓,LC
1,国泰君安期货,50103,789.0,2026-05-07,LC2609,多单持仓,LC
2,华泰期货,33353,176.0,2026-05-07,LC2609,多单持仓,LC
3,永安期货,31492,1009.0,2026-05-07,LC2609,多单持仓,LC
4,中信期货,31482,-950.0,2026-05-07,LC2609,多单持仓,LC
5,东证期货,26749,405.0,2026-05-07,LC2609,多单持仓,LC
6,中信建投,20543,-465.0,2026-05-07,LC2609,多单持仓,LC
7,中泰期货,12622,263.0,2026-05-07,LC2609,多单持仓,LC
8,中财期货,12253,481.0,2026-05-07,LC2609,多单持仓,LC
9,光大期货,11605,199.0,2026-05-07,LC2609,多单持仓,LC
10,银河期货,11277,343.0,2026-05-07,LC2609,多单持仓,LC
11,浙商期货,10585,689.0,2026-05-07,LC2609,多单持仓,LC
12,东吴期货,9961,365.0,2026-05-07,LC2609,多单持仓,LC
13,中辉期货,8836,545.0,2026-05-07,LC2609,多单持仓,LC
14,广发期货,8610,-259.0,2026-05-07,LC2609,多单持仓,LC
15,创元期货,7641,-800.0,2026-05-07,LC2609,多单持仓,LC
16,海通期货,7064,-10.0,2026-05-07,LC2609,多单持仓,LC
17,申银万国,6873,493.0,2026-05-07,LC2609,多单持仓,LC
18,国投期货,6342,110.0,2026-05-07,LC2609,多单持仓,LC
19,方正中期,6323,37.0,2026-05-07,LC2609,多单持仓,LC
20,东海期货,6304,648.0,2026-05-07,LC2609,多单持仓,LC
1,国泰君安期货,50172,69.0,2026-05-08,LC2609,多单持仓,LC
2,华泰期货,33142,-211.0,2026-05-08,LC2609,多单持仓,LC
3,永安期货,31524,32.0,2026-05-08,LC2609,多单持仓,LC
4,中信期货,30833,-649.0,2026-05-08,LC2609,多单持仓,LC
5,东证期货,24809,-1940.0,2026-05-08,LC2609,多单持仓,LC
6,中信建投,20184,-359.0,2026-05-08,LC2609,多单持仓,LC
7,中泰期货,12617,-5.0,2026-05-08,LC2609,多单持仓,LC
8,中财期货,12538,285.0,2026-05-08,LC2609,多单持仓,LC
9,光大期货,11822,217.0,2026-05-08,LC2609,多单持仓,LC
10,银河期货,10720,-557.0,2026-05-08,LC2609,多单持仓,LC
11,浙商期货,10290,-295.0,2026-05-08,LC2609,多单持仓,LC
12,中辉期货,8882,46.0,2026-05-08,LC2609,多单持仓,LC
13,东吴期货,8740,-1221.0,2026-05-08,LC2609,多单持仓,LC
14,广发期货,8144,-466.0,2026-05-08,LC2609,多单持仓,LC
15,创元期货,7904,263.0,2026-05-08,LC2609,多单持仓,LC
16,海通期货,7113,49.0,2026-05-08,LC2609,多单持仓,LC
17,申银万国,6949,76.0,2026-05-08,LC2609,多单持仓,LC
18,方正中期,6930,607.0,2026-05-08,LC2609,多单持仓,LC
19,新湖期货,6337,264.0,2026-05-08,LC2609,多单持仓,LC
20,国投期货,6239,-103.0,2026-05-08,LC2609,多单持仓,LC
