排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,中信期货,70144,1610.0,2026-05-06,LC2609,空单持仓,LC
2,国泰君安期货,63262,809.0,2026-05-06,LC2609,空单持仓,LC
3,广发期货,33036,630.0,2026-05-06,LC2609,空单持仓,LC
4,东证期货,30825,135.0,2026-05-06,LC2609,空单持仓,LC
5,中粮期货,27613,114.0,2026-05-06,LC2609,空单持仓,LC
6,银河期货,25400,1678.0,2026-05-06,LC2609,空单持仓,LC
7,国贸期货,23583,269.0,2026-05-06,LC2609,空单持仓,LC
8,瑞达期货,21981,451.0,2026-05-06,LC2609,空单持仓,LC
9,五矿期货,20745,158.0,2026-05-06,LC2609,空单持仓,LC
10,华泰期货,16233,1143.0,2026-05-06,LC2609,空单持仓,LC
11,国投期货,13895,387.0,2026-05-06,LC2609,空单持仓,LC
12,中信建投,12593,583.0,2026-05-06,LC2609,空单持仓,LC
13,浙商期货,12108,146.0,2026-05-06,LC2609,空单持仓,LC
14,方正中期,9820,509.0,2026-05-06,LC2609,空单持仓,LC
15,永安期货,8318,29.0,2026-05-06,LC2609,空单持仓,LC
16,宝城期货,6387,92.0,2026-05-06,LC2609,空单持仓,LC
17,中国国际期货,6107,3066.0,2026-05-06,LC2609,空单持仓,LC
18,弘业期货,4927,233.0,2026-05-06,LC2609,空单持仓,LC
19,中泰期货,4597,947.0,2026-05-06,LC2609,空单持仓,LC
20,建信期货,4206,902.0,2026-05-06,LC2609,空单持仓,LC
1,中信期货,72019,1875.0,2026-05-07,LC2609,空单持仓,LC
2,国泰君安期货,63623,361.0,2026-05-07,LC2609,空单持仓,LC
3,广发期货,33378,342.0,2026-05-07,LC2609,空单持仓,LC
4,东证期货,31409,584.0,2026-05-07,LC2609,空单持仓,LC
5,中粮期货,27430,-183.0,2026-05-07,LC2609,空单持仓,LC
6,银河期货,25497,97.0,2026-05-07,LC2609,空单持仓,LC
7,国贸期货,23697,114.0,2026-05-07,LC2609,空单持仓,LC
8,瑞达期货,22036,55.0,2026-05-07,LC2609,空单持仓,LC
9,五矿期货,20795,50.0,2026-05-07,LC2609,空单持仓,LC
10,华泰期货,16632,399.0,2026-05-07,LC2609,空单持仓,LC
11,国投期货,13812,-83.0,2026-05-07,LC2609,空单持仓,LC
12,中信建投,12362,-231.0,2026-05-07,LC2609,空单持仓,LC
13,浙商期货,12093,-15.0,2026-05-07,LC2609,空单持仓,LC
14,方正中期,9652,-168.0,2026-05-07,LC2609,空单持仓,LC
15,永安期货,8597,279.0,2026-05-07,LC2609,空单持仓,LC
16,宝城期货,6375,-12.0,2026-05-07,LC2609,空单持仓,LC
17,中国国际期货,6038,-69.0,2026-05-07,LC2609,空单持仓,LC
18,弘业期货,4947,20.0,2026-05-07,LC2609,空单持仓,LC
19,中泰期货,4603,6.0,2026-05-07,LC2609,空单持仓,LC
20,申银万国,4220,139.0,2026-05-07,LC2609,空单持仓,LC
1,中信期货,72686,667.0,2026-05-08,LC2609,空单持仓,LC
2,国泰君安期货,63223,-400.0,2026-05-08,LC2609,空单持仓,LC
3,广发期货,33289,-89.0,2026-05-08,LC2609,空单持仓,LC
4,东证期货,31810,401.0,2026-05-08,LC2609,空单持仓,LC
5,中粮期货,27595,165.0,2026-05-08,LC2609,空单持仓,LC
6,银河期货,25019,-478.0,2026-05-08,LC2609,空单持仓,LC
7,国贸期货,23530,-167.0,2026-05-08,LC2609,空单持仓,LC
8,瑞达期货,21932,-104.0,2026-05-08,LC2609,空单持仓,LC
9,五矿期货,20925,130.0,2026-05-08,LC2609,空单持仓,LC
10,华泰期货,16366,-266.0,2026-05-08,LC2609,空单持仓,LC
11,国投期货,13941,129.0,2026-05-08,LC2609,空单持仓,LC
12,中信建投,12124,-238.0,2026-05-08,LC2609,空单持仓,LC
13,浙商期货,11917,-176.0,2026-05-08,LC2609,空单持仓,LC
14,永安期货,9008,411.0,2026-05-08,LC2609,空单持仓,LC
15,方正中期,8599,-1053.0,2026-05-08,LC2609,空单持仓,LC
16,宝城期货,6354,-21.0,2026-05-08,LC2609,空单持仓,LC
17,中国国际期货,6032,-6.0,2026-05-08,LC2609,空单持仓,LC
18,弘业期货,4926,-21.0,2026-05-08,LC2609,空单持仓,LC
19,中泰期货,4396,-207.0,2026-05-08,LC2609,空单持仓,LC
20,申银万国,4106,-114.0,2026-05-08,LC2609,空单持仓,LC
