排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,国泰君安期货,46188,179.0,2026-05-06,LC2609,成交量,LC
2,中信期货,34230,-12081.0,2026-05-06,LC2609,成交量,LC
3,东证期货,19799,-4772.0,2026-05-06,LC2609,成交量,LC
4,广发期货,17164,-546.0,2026-05-06,LC2609,成交量,LC
5,银河期货,14845,-3772.0,2026-05-06,LC2609,成交量,LC
6,华泰期货,14231,735.0,2026-05-06,LC2609,成交量,LC
7,中信建投,13671,-1808.0,2026-05-06,LC2609,成交量,LC
8,方正中期,10798,-3104.0,2026-05-06,LC2609,成交量,LC
9,中泰期货,10142,-963.0,2026-05-06,LC2609,成交量,LC
10,海通期货,9408,226.0,2026-05-06,LC2609,成交量,LC
11,永安期货,7710,-2415.0,2026-05-06,LC2609,成交量,LC
12,徽商期货,7363,-4897.0,2026-05-06,LC2609,成交量,LC
13,宏源期货,7237,-375.0,2026-05-06,LC2609,成交量,LC
14,东吴期货,6998,-2540.0,2026-05-06,LC2609,成交量,LC
15,宝城期货,6886,-872.0,2026-05-06,LC2609,成交量,LC
16,国信期货,6630,-809.0,2026-05-06,LC2609,成交量,LC
17,招商期货,6334,2559.0,2026-05-06,LC2609,成交量,LC
18,中辉期货,6332,-1877.0,2026-05-06,LC2609,成交量,LC
19,华闻期货,6126,946.0,2026-05-06,LC2609,成交量,LC
20,东方财富期货,5743,-3033.0,2026-05-06,LC2609,成交量,LC
1,国泰君安期货,48992,2804.0,2026-05-07,LC2609,成交量,LC
2,中信期货,42825,8595.0,2026-05-07,LC2609,成交量,LC
3,东证期货,25059,5260.0,2026-05-07,LC2609,成交量,LC
4,广发期货,18595,1431.0,2026-05-07,LC2609,成交量,LC
5,中信建投,17760,4089.0,2026-05-07,LC2609,成交量,LC
6,银河期货,17528,2683.0,2026-05-07,LC2609,成交量,LC
7,华泰期货,14559,328.0,2026-05-07,LC2609,成交量,LC
8,方正中期,13759,2961.0,2026-05-07,LC2609,成交量,LC
9,徽商期货,12367,5004.0,2026-05-07,LC2609,成交量,LC
10,海通期货,10044,636.0,2026-05-07,LC2609,成交量,LC
11,中泰期货,10027,-115.0,2026-05-07,LC2609,成交量,LC
12,永安期货,9714,2004.0,2026-05-07,LC2609,成交量,LC
13,国信期货,9154,2524.0,2026-05-07,LC2609,成交量,LC
14,宝城期货,8996,2110.0,2026-05-07,LC2609,成交量,LC
15,东吴期货,8857,1859.0,2026-05-07,LC2609,成交量,LC
16,东方财富期货,8403,2660.0,2026-05-07,LC2609,成交量,LC
17,宏源期货,8315,1078.0,2026-05-07,LC2609,成交量,LC
18,创元期货,7647,2812.0,2026-05-07,LC2609,成交量,LC
19,浙商期货,7344,2672.0,2026-05-07,LC2609,成交量,LC
20,中财期货,7220,3135.0,2026-05-07,LC2609,成交量,LC
1,国泰君安期货,43617,-5375.0,2026-05-08,LC2609,成交量,LC
2,中信期货,40510,-2315.0,2026-05-08,LC2609,成交量,LC
3,东证期货,23115,-1944.0,2026-05-08,LC2609,成交量,LC
4,中信建投,18527,767.0,2026-05-08,LC2609,成交量,LC
5,银河期货,16181,-1347.0,2026-05-08,LC2609,成交量,LC
6,广发期货,15991,-2604.0,2026-05-08,LC2609,成交量,LC
7,徽商期货,12943,576.0,2026-05-08,LC2609,成交量,LC
8,华泰期货,11341,-3218.0,2026-05-08,LC2609,成交量,LC
9,方正中期,11064,-2695.0,2026-05-08,LC2609,成交量,LC
10,中泰期货,10614,587.0,2026-05-08,LC2609,成交量,LC
11,东吴期货,9198,341.0,2026-05-08,LC2609,成交量,LC
12,东方财富期货,8792,389.0,2026-05-08,LC2609,成交量,LC
13,国信期货,8598,-556.0,2026-05-08,LC2609,成交量,LC
14,永安期货,8347,-1367.0,2026-05-08,LC2609,成交量,LC
15,海通期货,8155,-1889.0,2026-05-08,LC2609,成交量,LC
16,民生期货,7842,707.0,2026-05-08,LC2609,成交量,LC
17,宏源期货,7721,-594.0,2026-05-08,LC2609,成交量,LC
18,中财期货,7695,475.0,2026-05-08,LC2609,成交量,LC
19,宝城期货,6966,-2030.0,2026-05-08,LC2609,成交量,LC
20,创元期货,6627,-1020.0,2026-05-08,LC2609,成交量,LC
