排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,11825,-477.0,2026-05-06,lh2607,多单持仓,LH
2,中信期货,11022,-1307.0,2026-05-06,lh2607,多单持仓,LH
3,东证期货,10881,507.0,2026-05-06,lh2607,多单持仓,LH
4,中泰期货,6920,23.0,2026-05-06,lh2607,多单持仓,LH
5,中信建投,5752,-228.0,2026-05-06,lh2607,多单持仓,LH
6,银河期货,5221,-239.0,2026-05-06,lh2607,多单持仓,LH
7,东方财富,5159,155.0,2026-05-06,lh2607,多单持仓,LH
8,方正中期,5156,-276.0,2026-05-06,lh2607,多单持仓,LH
9,华泰期货,4803,157.0,2026-05-06,lh2607,多单持仓,LH
10,永安期货,4794,63.0,2026-05-06,lh2607,多单持仓,LH
11,广发期货,4708,-443.0,2026-05-06,lh2607,多单持仓,LH
12,平安期货,3293,-185.0,2026-05-06,lh2607,多单持仓,LH
13,招商期货,3217,-67.0,2026-05-06,lh2607,多单持仓,LH
14,海通期货,3217,-339.0,2026-05-06,lh2607,多单持仓,LH
15,光大期货,3129,-156.0,2026-05-06,lh2607,多单持仓,LH
16,南华期货,2861,12.0,2026-05-06,lh2607,多单持仓,LH
17,兴证期货,2538,4.0,2026-05-06,lh2607,多单持仓,LH
18,国信期货,2511,59.0,2026-05-06,lh2607,多单持仓,LH
19,东吴期货,2368,-371.0,2026-05-06,lh2607,多单持仓,LH
20,华闻期货,2354,-240.0,2026-05-06,lh2607,多单持仓,LH
1,国泰君安,12742,917.0,2026-05-07,lh2607,多单持仓,LH
2,中信期货,11553,531.0,2026-05-07,lh2607,多单持仓,LH
3,东证期货,10896,15.0,2026-05-07,lh2607,多单持仓,LH
4,中泰期货,7153,233.0,2026-05-07,lh2607,多单持仓,LH
5,中信建投,5637,-115.0,2026-05-07,lh2607,多单持仓,LH
6,永安期货,5400,606.0,2026-05-07,lh2607,多单持仓,LH
7,银河期货,5302,81.0,2026-05-07,lh2607,多单持仓,LH
8,方正中期,5211,55.0,2026-05-07,lh2607,多单持仓,LH
9,广发期货,4920,212.0,2026-05-07,lh2607,多单持仓,LH
10,东方财富,4914,-245.0,2026-05-07,lh2607,多单持仓,LH
11,华泰期货,4687,-116.0,2026-05-07,lh2607,多单持仓,LH
12,海通期货,3357,140.0,2026-05-07,lh2607,多单持仓,LH
13,平安期货,3333,40.0,2026-05-07,lh2607,多单持仓,LH
14,光大期货,3292,163.0,2026-05-07,lh2607,多单持仓,LH
15,招商期货,2940,-277.0,2026-05-07,lh2607,多单持仓,LH
16,南华期货,2818,-43.0,2026-05-07,lh2607,多单持仓,LH
17,兴证期货,2539,1.0,2026-05-07,lh2607,多单持仓,LH
18,东吴期货,2390,22.0,2026-05-07,lh2607,多单持仓,LH
19,宏源期货,2362,126.0,2026-05-07,lh2607,多单持仓,LH
20,徽商期货,2228,280.0,2026-05-07,lh2607,多单持仓,LH
1,国泰君安,12299,-443.0,2026-05-08,lh2607,多单持仓,LH
2,中信期货,11244,-309.0,2026-05-08,lh2607,多单持仓,LH
3,东证期货,9778,-1118.0,2026-05-08,lh2607,多单持仓,LH
4,中泰期货,7415,262.0,2026-05-08,lh2607,多单持仓,LH
5,中信建投,6057,420.0,2026-05-08,lh2607,多单持仓,LH
6,银河期货,5800,498.0,2026-05-08,lh2607,多单持仓,LH
7,东方财富,5654,740.0,2026-05-08,lh2607,多单持仓,LH
8,永安期货,5642,242.0,2026-05-08,lh2607,多单持仓,LH
9,广发期货,5107,187.0,2026-05-08,lh2607,多单持仓,LH
10,方正中期,5053,-158.0,2026-05-08,lh2607,多单持仓,LH
11,华泰期货,4736,49.0,2026-05-08,lh2607,多单持仓,LH
12,平安期货,3777,444.0,2026-05-08,lh2607,多单持仓,LH
13,海通期货,3183,-174.0,2026-05-08,lh2607,多单持仓,LH
14,招商期货,2918,-22.0,2026-05-08,lh2607,多单持仓,LH
15,南华期货,2869,51.0,2026-05-08,lh2607,多单持仓,LH
16,光大期货,2835,-457.0,2026-05-08,lh2607,多单持仓,LH
17,兴证期货,2611,72.0,2026-05-08,lh2607,多单持仓,LH
18,国信期货,2479,336.0,2026-05-08,lh2607,多单持仓,LH
19,东吴期货,2357,-33.0,2026-05-08,lh2607,多单持仓,LH
20,徽商期货,2305,77.0,2026-05-08,lh2607,多单持仓,LH
