排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,15645,-559.0,2026-05-06,lh2607,空单持仓,LH
2,中信期货,14938,-1248.0,2026-05-06,lh2607,空单持仓,LH
3,永安期货,9207,-210.0,2026-05-06,lh2607,空单持仓,LH
4,东证期货,9025,-202.0,2026-05-06,lh2607,空单持仓,LH
5,格林大华,5676,-237.0,2026-05-06,lh2607,空单持仓,LH
6,中粮期货,5390,137.0,2026-05-06,lh2607,空单持仓,LH
7,中泰期货,5385,-220.0,2026-05-06,lh2607,空单持仓,LH
8,中信建投,5279,261.0,2026-05-06,lh2607,空单持仓,LH
9,银河期货,4608,27.0,2026-05-06,lh2607,空单持仓,LH
10,华泰期货,4434,-77.0,2026-05-06,lh2607,空单持仓,LH
11,广发期货,3775,-566.0,2026-05-06,lh2607,空单持仓,LH
12,东方财富,3666,23.0,2026-05-06,lh2607,空单持仓,LH
13,国投期货,3593,-135.0,2026-05-06,lh2607,空单持仓,LH
14,方正中期,3231,150.0,2026-05-06,lh2607,空单持仓,LH
15,东吴期货,2954,-337.0,2026-05-06,lh2607,空单持仓,LH
16,招商期货,2862,-49.0,2026-05-06,lh2607,空单持仓,LH
17,光大期货,2681,-6.0,2026-05-06,lh2607,空单持仓,LH
18,国信期货,2615,68.0,2026-05-06,lh2607,空单持仓,LH
19,南华期货,2551,32.0,2026-05-06,lh2607,空单持仓,LH
20,长江期货,2543,74.0,2026-05-06,lh2607,空单持仓,LH
1,国泰君安,16160,515.0,2026-05-07,lh2607,空单持仓,LH
2,中信期货,15999,1061.0,2026-05-07,lh2607,空单持仓,LH
3,东证期货,9661,636.0,2026-05-07,lh2607,空单持仓,LH
4,永安期货,9385,178.0,2026-05-07,lh2607,空单持仓,LH
5,格林大华,5812,136.0,2026-05-07,lh2607,空单持仓,LH
6,中泰期货,5473,88.0,2026-05-07,lh2607,空单持仓,LH
7,中信建投,5343,64.0,2026-05-07,lh2607,空单持仓,LH
8,中粮期货,5327,-63.0,2026-05-07,lh2607,空单持仓,LH
9,银河期货,4979,371.0,2026-05-07,lh2607,空单持仓,LH
10,华泰期货,4397,-37.0,2026-05-07,lh2607,空单持仓,LH
11,广发期货,4155,380.0,2026-05-07,lh2607,空单持仓,LH
12,国投期货,3914,321.0,2026-05-07,lh2607,空单持仓,LH
13,东方财富,3664,-2.0,2026-05-07,lh2607,空单持仓,LH
14,东吴期货,3158,204.0,2026-05-07,lh2607,空单持仓,LH
15,方正中期,3084,-147.0,2026-05-07,lh2607,空单持仓,LH
16,招商期货,2911,49.0,2026-05-07,lh2607,空单持仓,LH
17,光大期货,2809,128.0,2026-05-07,lh2607,空单持仓,LH
18,海通期货,2725,188.0,2026-05-07,lh2607,空单持仓,LH
19,创元期货,2708,204.0,2026-05-07,lh2607,空单持仓,LH
20,南华期货,2548,-3.0,2026-05-07,lh2607,空单持仓,LH
1,国泰君安,16747,587.0,2026-05-08,lh2607,空单持仓,LH
2,中信期货,16062,63.0,2026-05-08,lh2607,空单持仓,LH
3,东证期货,10563,902.0,2026-05-08,lh2607,空单持仓,LH
4,永安期货,9282,-103.0,2026-05-08,lh2607,空单持仓,LH
5,格林大华,5880,68.0,2026-05-08,lh2607,空单持仓,LH
6,中泰期货,5178,-295.0,2026-05-08,lh2607,空单持仓,LH
7,中粮期货,5158,-169.0,2026-05-08,lh2607,空单持仓,LH
8,中信建投,4974,-369.0,2026-05-08,lh2607,空单持仓,LH
9,银河期货,4594,-385.0,2026-05-08,lh2607,空单持仓,LH
10,华泰期货,4235,-162.0,2026-05-08,lh2607,空单持仓,LH
11,广发期货,4158,3.0,2026-05-08,lh2607,空单持仓,LH
12,国投期货,4037,123.0,2026-05-08,lh2607,空单持仓,LH
13,东吴期货,3574,416.0,2026-05-08,lh2607,空单持仓,LH
14,招商期货,3183,272.0,2026-05-08,lh2607,空单持仓,LH
15,海通期货,2917,192.0,2026-05-08,lh2607,空单持仓,LH
16,东方财富,2851,-813.0,2026-05-08,lh2607,空单持仓,LH
17,创元期货,2652,-56.0,2026-05-08,lh2607,空单持仓,LH
18,国信期货,2593,123.0,2026-05-08,lh2607,空单持仓,LH
19,方正中期,2566,-518.0,2026-05-08,lh2607,空单持仓,LH
20,光大期货,2549,-260.0,2026-05-08,lh2607,空单持仓,LH
