排名,会员简称,成交量,比上交易增减,date,contract,position_type,symbol
1,中信期货,37169,-16215.0,2026-05-06,lh2607,成交量,LH
2,国泰君安,31434,-28996.0,2026-05-06,lh2607,成交量,LH
3,南华期货,17736,-16246.0,2026-05-06,lh2607,成交量,LH
4,中信建投,15897,-11092.0,2026-05-06,lh2607,成交量,LH
5,东证期货,14809,-6916.0,2026-05-06,lh2607,成交量,LH
6,东方财富,8218,-9911.0,2026-05-06,lh2607,成交量,LH
7,银河期货,8014,-6016.0,2026-05-06,lh2607,成交量,LH
8,华泰期货,7988,-4172.0,2026-05-06,lh2607,成交量,LH
9,中泰期货,7033,-6100.0,2026-05-06,lh2607,成交量,LH
10,华闻期货,6963,-2172.0,2026-05-06,lh2607,成交量,LH
11,海通期货,6167,-4029.0,2026-05-06,lh2607,成交量,LH
12,广发期货,5483,-7431.0,2026-05-06,lh2607,成交量,LH
13,徽商期货,4185,-2926.0,2026-05-06,lh2607,成交量,LH
14,方正中期,4152,-4598.0,2026-05-06,lh2607,成交量,LH
15,光大期货,4002,-2864.0,2026-05-06,lh2607,成交量,LH
16,招商期货,3938,-4187.0,2026-05-06,lh2607,成交量,LH
17,渤海期货,3423,-2661.0,2026-05-06,lh2607,成交量,LH
18,东吴期货,3164,-3582.0,2026-05-06,lh2607,成交量,LH
19,宝城期货,3154,-2609.0,2026-05-06,lh2607,成交量,LH
20,平安期货,2994,-3854.0,2026-05-06,lh2607,成交量,LH
1,国泰君安,42540,11106.0,2026-05-07,lh2607,成交量,LH
2,中信期货,42474,5305.0,2026-05-07,lh2607,成交量,LH
3,中信建投,19765,3868.0,2026-05-07,lh2607,成交量,LH
4,南华期货,17764,28.0,2026-05-07,lh2607,成交量,LH
5,东证期货,17567,2758.0,2026-05-07,lh2607,成交量,LH
6,东方财富,11277,3059.0,2026-05-07,lh2607,成交量,LH
7,银河期货,10026,2012.0,2026-05-07,lh2607,成交量,LH
8,华泰期货,9430,1442.0,2026-05-07,lh2607,成交量,LH
9,中泰期货,8804,1771.0,2026-05-07,lh2607,成交量,LH
10,广发期货,8636,3153.0,2026-05-07,lh2607,成交量,LH
11,海通期货,6730,563.0,2026-05-07,lh2607,成交量,LH
12,华闻期货,6263,-700.0,2026-05-07,lh2607,成交量,LH
13,徽商期货,5517,1332.0,2026-05-07,lh2607,成交量,LH
14,方正中期,5162,1010.0,2026-05-07,lh2607,成交量,LH
15,招商期货,4920,982.0,2026-05-07,lh2607,成交量,LH
16,光大期货,4775,773.0,2026-05-07,lh2607,成交量,LH
17,东吴期货,4642,1478.0,2026-05-07,lh2607,成交量,LH
18,宝城期货,4271,1117.0,2026-05-07,lh2607,成交量,LH
19,国信期货,4047,1532.0,2026-05-07,lh2607,成交量,LH
20,平安期货,3957,963.0,2026-05-07,lh2607,成交量,LH
1,国泰君安,39406,-3134.0,2026-05-08,lh2607,成交量,LH
2,中信期货,38454,-4020.0,2026-05-08,lh2607,成交量,LH
3,中信建投,19685,-80.0,2026-05-08,lh2607,成交量,LH
4,东证期货,18238,671.0,2026-05-08,lh2607,成交量,LH
5,南华期货,16070,-1694.0,2026-05-08,lh2607,成交量,LH
6,东方财富,10959,-318.0,2026-05-08,lh2607,成交量,LH
7,银河期货,9901,-125.0,2026-05-08,lh2607,成交量,LH
8,中泰期货,8649,-155.0,2026-05-08,lh2607,成交量,LH
9,华泰期货,6719,-2711.0,2026-05-08,lh2607,成交量,LH
10,广发期货,6306,-2330.0,2026-05-08,lh2607,成交量,LH
11,方正中期,6292,1130.0,2026-05-08,lh2607,成交量,LH
12,招商期货,6268,1348.0,2026-05-08,lh2607,成交量,LH
13,光大期货,5961,1186.0,2026-05-08,lh2607,成交量,LH
14,华闻期货,5172,-1091.0,2026-05-08,lh2607,成交量,LH
15,海通期货,5122,-1608.0,2026-05-08,lh2607,成交量,LH
16,徽商期货,4712,-805.0,2026-05-08,lh2607,成交量,LH
17,平安期货,4199,242.0,2026-05-08,lh2607,成交量,LH
18,东吴期货,3915,-727.0,2026-05-08,lh2607,成交量,LH
19,渤海期货,3636,-205.0,2026-05-08,lh2607,成交量,LH
20,国投期货,3590,1446.0,2026-05-08,lh2607,成交量,LH
