排名,会员简称,持仓量,比上交易增减,date,contract,position_type,symbol
1,国泰君安,259278,8660.0,2026-05-06,m2609,多单持仓,M
2,东证期货,208852,6279.0,2026-05-06,m2609,多单持仓,M
3,中信期货,114521,-2326.0,2026-05-06,m2609,多单持仓,M
4,银河期货,96252,-1738.0,2026-05-06,m2609,多单持仓,M
5,永安期货,89289,283.0,2026-05-06,m2609,多单持仓,M
6,南华期货,81141,2216.0,2026-05-06,m2609,多单持仓,M
7,海通期货,81021,761.0,2026-05-06,m2609,多单持仓,M
8,中粮期货,69415,281.0,2026-05-06,m2609,多单持仓,M
9,广发期货,68838,2036.0,2026-05-06,m2609,多单持仓,M
10,华泰期货,66864,-6751.0,2026-05-06,m2609,多单持仓,M
11,高盛期货,61492,-1894.0,2026-05-06,m2609,多单持仓,M
12,国投期货,58718,1033.0,2026-05-06,m2609,多单持仓,M
13,瑞银期货,58481,2231.0,2026-05-06,m2609,多单持仓,M
14,中信建投,49079,-1538.0,2026-05-06,m2609,多单持仓,M
15,东吴期货,42009,586.0,2026-05-06,m2609,多单持仓,M
16,摩根大通,40649,2616.0,2026-05-06,m2609,多单持仓,M
17,招商期货,36433,-1065.0,2026-05-06,m2609,多单持仓,M
18,中泰期货,34376,428.0,2026-05-06,m2609,多单持仓,M
19,一德期货,31355,3494.0,2026-05-06,m2609,多单持仓,M
20,申银万国,31166,-714.0,2026-05-06,m2609,多单持仓,M
1,国泰君安,255721,-3557.0,2026-05-07,m2609,多单持仓,M
2,东证期货,221576,12724.0,2026-05-07,m2609,多单持仓,M
3,中信期货,104578,-9943.0,2026-05-07,m2609,多单持仓,M
4,银河期货,99296,3044.0,2026-05-07,m2609,多单持仓,M
5,永安期货,85732,-3557.0,2026-05-07,m2609,多单持仓,M
6,南华期货,82707,1566.0,2026-05-07,m2609,多单持仓,M
7,海通期货,81820,799.0,2026-05-07,m2609,多单持仓,M
8,中粮期货,76074,6659.0,2026-05-07,m2609,多单持仓,M
9,广发期货,72987,4149.0,2026-05-07,m2609,多单持仓,M
10,华泰期货,65446,-1418.0,2026-05-07,m2609,多单持仓,M
11,国投期货,59113,395.0,2026-05-07,m2609,多单持仓,M
12,瑞银期货,58481,0.0,2026-05-07,m2609,多单持仓,M
13,中信建投,55356,6277.0,2026-05-07,m2609,多单持仓,M
14,高盛期货,49707,-11785.0,2026-05-07,m2609,多单持仓,M
15,东吴期货,41827,-182.0,2026-05-07,m2609,多单持仓,M
16,中泰期货,38730,4354.0,2026-05-07,m2609,多单持仓,M
17,摩根大通,38713,-1936.0,2026-05-07,m2609,多单持仓,M
18,招商期货,35793,-640.0,2026-05-07,m2609,多单持仓,M
19,一德期货,32113,758.0,2026-05-07,m2609,多单持仓,M
20,申银万国,31944,778.0,2026-05-07,m2609,多单持仓,M
1,国泰君安,259567,3846.0,2026-05-08,m2609,多单持仓,M
2,东证期货,224051,2475.0,2026-05-08,m2609,多单持仓,M
3,中信期货,113778,9200.0,2026-05-08,m2609,多单持仓,M
4,银河期货,101165,1869.0,2026-05-08,m2609,多单持仓,M
5,永安期货,92463,6731.0,2026-05-08,m2609,多单持仓,M
6,海通期货,81277,-543.0,2026-05-08,m2609,多单持仓,M
7,南华期货,80972,-1735.0,2026-05-08,m2609,多单持仓,M
8,华泰期货,77661,12215.0,2026-05-08,m2609,多单持仓,M
9,中粮期货,76894,820.0,2026-05-08,m2609,多单持仓,M
10,广发期货,73515,528.0,2026-05-08,m2609,多单持仓,M
11,瑞银期货,58483,2.0,2026-05-08,m2609,多单持仓,M
12,中信建投,56826,1470.0,2026-05-08,m2609,多单持仓,M
13,国投期货,56422,-2691.0,2026-05-08,m2609,多单持仓,M
14,高盛期货,49446,-261.0,2026-05-08,m2609,多单持仓,M
15,东吴期货,40876,-951.0,2026-05-08,m2609,多单持仓,M
16,中泰期货,38349,-381.0,2026-05-08,m2609,多单持仓,M
17,摩根大通,37540,-1173.0,2026-05-08,m2609,多单持仓,M
18,招商期货,35649,-144.0,2026-05-08,m2609,多单持仓,M
19,申银万国,34776,2832.0,2026-05-08,m2609,多单持仓,M
20,创元期货,30911,-539.0,2026-05-08,m2609,多单持仓,M
